,hue,performance,model,dataset_name,level,repeat,seed,use_train_data
64,test_performance_singlemodelFalse,0.9388197517577385,XTModel,9981,3,5,27,True
65,test_performance_singlemodelFalse,0.9388197517577385,RFModel,9981,3,5,27,True
66,test_performance_singlemodelFalse,0.9104971095933276,TabularNeuralNetModel,9981,3,5,27,True
67,test_performance_singlemodelFalse,0.9393685484272248,LinearModel,9981,3,5,27,True
68,test_performance_singlemodelFalse,0.9375691505071371,LGBModel,9981,3,5,27,True
69,test_performance_singlemodelFalse,0.9460347589727456,CatBoostModel,9981,3,5,27,True
70,test_performance_singlemodelFalse,0.9374571433386785,XGBoostModel,9981,4,5,27,True
71,test_performance_singlemodelFalse,0.9460347589727456,XTModel,9981,4,5,27,True
72,test_performance_singlemodelFalse,0.935452748390735,RFModel,9981,4,5,27,True
73,test_performance_singlemodelFalse,0.9041479032441213,TabularNeuralNetModel,9981,4,5,27,True
74,test_performance_singlemodelFalse,0.9393685484272248,LinearModel,9981,4,5,27,True
75,test_performance_singlemodelFalse,0.9372099551048384,LGBModel,9981,4,5,27,True
76,test_performance_singlemodelFalse,0.9428601557981424,CatBoostModel,9981,4,5,27,True
77,test_performance_singlemodelFalse,0.9429953368635238,XGBoostModel,9981,5,5,27,True
78,test_performance_singlemodelFalse,0.9442159759039624,XTModel,9981,5,5,27,True
79,test_performance_singlemodelFalse,0.9410413727293593,RFModel,9981,5,5,27,True
80,test_performance_singlemodelFalse,0.9126135117097297,TabularNeuralNetModel,9981,5,5,27,True
81,test_performance_singlemodelFalse,0.9393685484272248,LinearModel,9981,5,5,27,True
82,test_performance_singlemodelFalse,0.924503302798631,LGBModel,9981,5,5,27,True
83,test_performance_singlemodelFalse,0.9427481486296837,CatBoostModel,9981,5,5,27,True
