,hue,performance,model,dataset_name,level,repeat,seed,use_train_data
0,test_performance_singlemodelTrue,0.9949174756063912,XGBoostModel,3,0,5,44,True
1,test_performance_singlemodelTrue,0.9922680412371134,XTModel,3,0,5,44,True
2,test_performance_singlemodelTrue,0.9922680412371134,RFModel,3,0,5,44,True
3,test_performance_singlemodelTrue,0.9937009305942258,TabularNeuralNetModel,3,0,5,44,True
4,test_performance_singlemodelTrue,0.9627103870368976,LinearModel,3,0,5,44,True
5,test_performance_singlemodelTrue,0.9924122708004114,LGBModel,3,0,5,44,True
6,test_performance_singlemodelTrue,0.9975669099756691,CatBoostModel,3,0,5,44,True
7,test_performance_singlemodelTrue,0.9937730453758749,XGBoostModel,3,1,5,44,True
8,test_performance_singlemodelTrue,0.9922680412371134,XTModel,3,1,5,44,True
9,test_performance_singlemodelTrue,0.9922680412371134,RFModel,3,1,5,44,True
10,test_performance_singlemodelTrue,0.9937009305942258,TabularNeuralNetModel,3,1,5,44,True
11,test_performance_singlemodelTrue,0.9639269320490631,LinearModel,3,1,5,44,True
12,test_performance_singlemodelTrue,0.9936288158125768,LGBModel,3,1,5,44,True
13,test_performance_singlemodelTrue,0.9987834549878345,CatBoostModel,3,1,5,44,True
14,test_performance_singlemodelTrue,0.9937730453758749,XGBoostModel,3,2,5,44,True
15,test_performance_singlemodelTrue,0.9922680412371134,XTModel,3,2,5,44,True
16,test_performance_singlemodelTrue,0.9922680412371134,RFModel,3,2,5,44,True
17,test_performance_singlemodelTrue,0.9937009305942258,TabularNeuralNetModel,3,2,5,44,True
18,test_performance_singlemodelTrue,0.9639269320490631,LinearModel,3,2,5,44,True
19,test_performance_singlemodelTrue,0.9924122708004114,LGBModel,3,2,5,44,True
20,test_performance_singlemodelTrue,0.9987834549878345,CatBoostModel,3,2,5,44,True
21,test_performance_singlemodelTrue,0.9937730453758749,XGBoostModel,3,3,5,44,True
22,test_performance_singlemodelTrue,0.9922680412371134,XTModel,3,3,5,44,True
23,test_performance_singlemodelTrue,0.9922680412371134,RFModel,3,3,5,44,True
24,test_performance_singlemodelTrue,0.9937009305942258,TabularNeuralNetModel,3,3,5,44,True
25,test_performance_singlemodelTrue,0.9639269320490631,LinearModel,3,3,5,44,True
26,test_performance_singlemodelTrue,0.9949174756063912,LGBModel,3,3,5,44,True
27,test_performance_singlemodelTrue,0.9987834549878345,CatBoostModel,3,3,5,44,True
28,test_performance_singlemodelTrue,0.9937730453758749,XGBoostModel,3,4,5,44,True
29,test_performance_singlemodelTrue,0.9922680412371134,XTModel,3,4,5,44,True
30,test_performance_singlemodelTrue,0.9922680412371134,RFModel,3,4,5,44,True
31,test_performance_singlemodelTrue,0.9937009305942258,TabularNeuralNetModel,3,4,5,44,True
32,test_performance_singlemodelTrue,0.9639269320490631,LinearModel,3,4,5,44,True
33,test_performance_singlemodelTrue,0.9924122708004114,LGBModel,3,4,5,44,True
34,test_performance_singlemodelTrue,0.9987834549878345,CatBoostModel,3,4,5,44,True
35,test_performance_singlemodelTrue,0.9937730453758749,XGBoostModel,3,5,5,44,True
36,test_performance_singlemodelTrue,0.9922680412371134,XTModel,3,5,5,44,True
37,test_performance_singlemodelTrue,0.9922680412371134,RFModel,3,5,5,44,True
38,test_performance_singlemodelTrue,0.9937009305942258,TabularNeuralNetModel,3,5,5,44,True
39,test_performance_singlemodelTrue,0.9639269320490631,LinearModel,3,5,5,44,True
40,test_performance_singlemodelTrue,0.9936288158125768,LGBModel,3,5,5,44,True
41,test_performance_singlemodelTrue,0.9987834549878345,CatBoostModel,3,5,5,44,True
42,test_performance_singlemodelFalse,0.9949174756063912,XGBoostModel,3,0,5,44,True
43,test_performance_singlemodelFalse,0.9922680412371134,XTModel,3,0,5,44,True
44,test_performance_singlemodelFalse,0.9922680412371134,RFModel,3,0,5,44,True
45,test_performance_singlemodelFalse,0.9937009305942258,TabularNeuralNetModel,3,0,5,44,True
46,test_performance_singlemodelFalse,0.9627103870368976,LinearModel,3,0,5,44,True
47,test_performance_singlemodelFalse,0.9924122708004114,LGBModel,3,0,5,44,True
48,test_performance_singlemodelFalse,0.9975669099756691,CatBoostModel,3,0,5,44,True
49,test_performance_singlemodelFalse,0.9974947951940201,XGBoostModel,3,1,5,44,True
50,test_performance_singlemodelFalse,0.9949895903880402,XTModel,3,1,5,44,True
51,test_performance_singlemodelFalse,0.9949895903880402,RFModel,3,1,5,44,True
52,test_performance_singlemodelFalse,0.9962061354002056,TabularNeuralNetModel,3,1,5,44,True
53,test_performance_singlemodelFalse,0.9949174756063912,LinearModel,3,1,5,44,True
54,test_performance_singlemodelFalse,0.9962061354002056,LGBModel,3,1,5,44,True
55,test_performance_singlemodelFalse,0.9962061354002056,CatBoostModel,3,1,5,44,True
56,test_performance_singlemodelFalse,0.9949895903880402,XGBoostModel,3,2,5,44,True
57,test_performance_singlemodelFalse,0.9924122708004114,XTModel,3,2,5,44,True
58,test_performance_singlemodelFalse,0.9949174756063912,RFModel,3,2,5,44,True
59,test_performance_singlemodelFalse,0.9962061354002056,TabularNeuralNetModel,3,2,5,44,True
60,test_performance_singlemodelFalse,0.9962061354002056,LinearModel,3,2,5,44,True
61,test_performance_singlemodelFalse,0.991195725788246,LGBModel,3,2,5,44,True
62,test_performance_singlemodelFalse,0.9974947951940201,CatBoostModel,3,2,5,44,True
