,hue,performance,model,dataset_name,level,repeat,seed,val_score
52,test_performance_singlemodelFalse,0.9986338797814207,XGBClassifier,3,2,20,86,0.9949365712517666
53,test_performance_singlemodelFalse,0.9986338797814207,GradientBoostingClassifier,3,2,20,86,0.9949104387747423
54,test_performance_singlemodelFalse,0.9986338797814207,LGBMClassifier,3,2,20,86,0.9953411019961032
55,test_performance_singlemodelFalse,0.9986338797814207,MLPClassifier,3,2,20,86,0.99453204050743
56,test_performance_singlemodelFalse,0.9986338797814207,HistGradientBoostingClassifier,3,3,20,86,0.994884306297718
57,test_performance_singlemodelFalse,0.9986338797814207,RandomForestClassifier,3,3,20,86,0.9949365712517666
58,test_performance_singlemodelFalse,0.9974791453703353,DecisionTreeClassifier,3,3,20,86,0.9916480603430253
59,test_performance_singlemodelFalse,0.9928602077259936,LinearDiscriminantAnalysis,3,3,20,86,0.9880595485980449
60,test_performance_singlemodelFalse,0.9986338797814207,XGBClassifier,3,3,20,86,0.9944797755533814
61,test_performance_singlemodelFalse,0.9986338797814207,GradientBoostingClassifier,3,3,20,86,0.9932661833203716
62,test_performance_singlemodelFalse,0.9986338797814207,LGBMClassifier,3,3,20,86,0.9944797755533814
63,test_performance_singlemodelFalse,0.9986338797814207,MLPClassifier,3,3,20,86,0.9936968465417325
