hue, dataset_name, level, repeat
test_performance_singlemodelFalse, 7592, 0, 1->2, -6.331550397620234e-05
test_performance_singlemodelFalse, 7592, 0, 2->5, 0.011837718498735827
test_performance_singlemodelFalse, 7592, 0, 5->10, 0.003386458807080217
test_performance_singlemodelFalse, 7592, 1, 1->2, 0.054778195671568386
test_performance_singlemodelFalse, 7592, 1, 2->5, 0.04810829120042881
test_performance_singlemodelFalse, 7592, 1, 5->10, 0.019786704352086293
test_performance_singlemodelFalse, 7592, 2, 1->2, 0.0005452062825098691
test_performance_singlemodelFalse, 7592, 2, 2->5, 0.027635011044197855
test_performance_singlemodelFalse, 7592, 2, 5->10, 0.014438424315922016
test_performance_singlemodelFalse, 7592, 3, 1->2, 0.004053679342876593
test_performance_singlemodelFalse, 7592, 3, 2->5, 0.0367641380234216
test_performance_singlemodelFalse, 7592, 3, 5->10, 0.01609397517495581
test_performance_singlemodelFalse, 10101, 0, 1->2, 0.0030435392541559025
test_performance_singlemodelFalse, 10101, 0, 2->5, 0.019118424103703346
test_performance_singlemodelFalse, 10101, 0, 5->10, 0.008112436373728271
test_performance_singlemodelFalse, 10101, 0, 10->20, 0.004805483414689449
test_performance_singlemodelFalse, 10101, 1, 1->2, 0.014947442905970942
test_performance_singlemodelFalse, 10101, 1, 2->5, 0.03764301118299651
test_performance_singlemodelFalse, 10101, 1, 5->10, 0.0064677254262249795
test_performance_singlemodelFalse, 10101, 1, 10->20, 0.035098312733217174
test_performance_singlemodelFalse, 10101, 2, 1->2, 0.004638964712172844
test_performance_singlemodelFalse, 10101, 2, 2->5, 0.03689092957980378
test_performance_singlemodelFalse, 10101, 2, 5->10, 0.010613753637135348
test_performance_singlemodelFalse, 10101, 2, 10->20, 0.026627818089263622
test_performance_singlemodelFalse, 10101, 3, 1->2, 0.011843128143587456
test_performance_singlemodelFalse, 10101, 3, 2->5, 0.06375346472968924
test_performance_singlemodelFalse, 10101, 3, 5->10, 0.011551210664316636
test_performance_singlemodelFalse, 10101, 3, 10->20, 0.032836772632783284
test_performance_singlemodelFalse, 146818, 0, 1->2, 0.0026979714311439196
test_performance_singlemodelFalse, 146818, 0, 2->5, 0.010825476686950553
test_performance_singlemodelFalse, 146818, 0, 5->10, 0.010985507487373924
test_performance_singlemodelFalse, 146818, 0, 10->20, 0.006250412002631989
test_performance_singlemodelFalse, 146818, 1, 1->2, 0.009589738883645338
test_performance_singlemodelFalse, 146818, 1, 2->5, 0.019762099089677188
test_performance_singlemodelFalse, 146818, 1, 5->10, 0.0058038090562588796
test_performance_singlemodelFalse, 146818, 1, 10->20, 0.0037365583208651687
test_performance_singlemodelFalse, 146818, 2, 1->2, 0.017589312978188
test_performance_singlemodelFalse, 146818, 2, 2->5, 0.00867825844522363
test_performance_singlemodelFalse, 146818, 2, 5->10, 0.009915995930158239
test_performance_singlemodelFalse, 146818, 2, 10->20, 0.004849729213192822
test_performance_singlemodelFalse, 146818, 3, 1->2, 0.01502764380669419
test_performance_singlemodelFalse, 146818, 3, 2->5, -0.002629322245513266
test_performance_singlemodelFalse, 146818, 3, 5->10, 0.008096790941489851
test_performance_singlemodelFalse, 146818, 3, 10->20, 0.007116988776446953
test_performance_singlemodelFalse, 146822, 0, 1->2, 0.008980556293892161
test_performance_singlemodelFalse, 146822, 0, 2->5, 0.002798711871604409
test_performance_singlemodelFalse, 146822, 0, 5->10, 0.00038830502719433557
test_performance_singlemodelFalse, 146822, 1, 1->2, 0.025505567886028535
test_performance_singlemodelFalse, 146822, 1, 2->5, 0.0045343790405423245
test_performance_singlemodelFalse, 146822, 1, 5->10, 0.00041127591423606447
test_performance_singlemodelFalse, 146822, 2, 1->2, 0.010646420340676976
test_performance_singlemodelFalse, 146822, 2, 2->5, 0.007856962200283202
test_performance_singlemodelFalse, 146822, 2, 5->10, 0.0001930065654185409
test_performance_singlemodelFalse, 146822, 3, 1->2, 0.015149222177838984
test_performance_singlemodelFalse, 146822, 3, 2->5, 0.006335247281482714
test_performance_singlemodelFalse, 146822, 3, 5->10, 0.002409054652825371
test_performance_singlemodelTrue, 3, 0, 1->2, 0.000786714855453563
test_performance_singlemodelTrue, 3, 0, 2->5, -4.355056790306122e-06
test_performance_singlemodelTrue, 3, 0, 5->10, 0.000546113903451384
test_performance_singlemodelTrue, 3, 0, 10->20, 0.0006090821624765708
test_performance_singlemodelTrue, 3, 1, 1->2, 0.0006932443690615964
test_performance_singlemodelTrue, 3, 1, 2->5, 0.0008647266827294109
test_performance_singlemodelTrue, 3, 1, 5->10, 0.000571199303942671
test_performance_singlemodelTrue, 3, 1, 10->20, 0.0011030893119844398
test_performance_singlemodelTrue, 3, 2, 1->2, 0.0015645700563852172
