,tool,max_number_models,max_number_folds,max_num_repetitions,stacking_levels,cv_type,allowed_folds_to_use,task,model,fold,train,val,test,overfit,seed
0,autosklearn,20,10,1,1,cv,1.0,40981,best_individual_model,0,0.9295706684629264,0.8773356477577257,0.8609930215769632,0.01098901098901095,64
1,autosklearn,20,10,1,1,cv,1.0,40981,best_ensemble_model,0,0.8927280939476061,inf,0.8445496109729687,0.029237186171492735,64
2,autosklearn,20,10,1,1,cv,1.0,40981,best_individual_model,1,0.9553515351574782,0.8735564363486441,0.8518889869254833,0.02009304564049086,64
3,autosklearn,20,10,1,1,cv,1.0,40981,best_ensemble_model,1,0.8965108401084011,inf,0.8518488810459613,0.021937916098500043,64
4,autosklearn,20,10,1,1,cv,1.0,40981,best_individual_model,2,0.9553515351574782,0.8735564363486441,0.8518889869254833,0.02009304564049086,64
5,autosklearn,20,10,1,1,cv,1.0,40981,best_ensemble_model,2,0.8941960252935863,inf,0.8481992460094651,0.025587551134996334,64
6,autosklearn,20,10,1,1,cv,1.0,40981,best_individual_model,3,0.9553515351574782,0.8735564363486441,0.8518889869254833,0.02009304564049086,64
7,autosklearn,20,10,1,1,cv,1.0,40981,best_ensemble_model,3,0.8892841011743451,inf,0.8756316676024705,0.0,64
8,autosklearn,20,10,1,1,cv,1.0,40981,best_individual_model,4,0.9553515351574782,0.8735564363486441,0.8518889869254833,0.02009304564049086,64
9,autosklearn,20,10,1,1,cv,1.0,40981,best_ensemble_model,4,0.8921635049683828,inf,0.8481992460094651,0.025587551134996334,64
