,Timestamp,single_best_optimization_score,single_best_test_score,single_best_train_score,task_x,fold_x,framework_x,ensemble_optimization_score,ensemble_test_score,task_y,fold_y,framework_y
32,2021-01-01 20:39:02.220,0.7641004946089691,0.8002705627705629,1.0,vehicle,0.0,autosklearn,0.8588274249,0.7883658009,vehicle,0.0,autosklearn
33,2021-01-01 20:39:07.000,0.7370801514869312,0.7213203463203464,0.9612680288461538,vehicle,0.0,autosklearn,0.8588274249,0.7883658009,vehicle,0.0,autosklearn
34,2021-01-01 20:39:12.000,0.7528310672378469,0.8466991341991342,0.9844951923076923,vehicle,0.0,autosklearn,0.8588274249,0.7883658009,vehicle,0.0,autosklearn
35,2021-01-01 20:39:14.977,0.7528310672378469,0.8466991341991342,0.9844951923076923,vehicle,0.0,autosklearn,0.8588274249,0.7883658009,vehicle,0.0,autosklearn
36,2021-01-01 20:39:19.000,0.7915368059435857,0.7889069264069264,1.0,vehicle,0.0,autosklearn,0.8588274249,0.7883658009,vehicle,0.0,autosklearn
37,2021-01-01 20:39:32.000,0.6890203017321661,0.7093614718614718,0.8869637985662557,vehicle,0.0,autosklearn,0.8588274249,0.7883658009,vehicle,0.0,autosklearn
38,2021-01-01 20:39:35.780,0.6890203017321661,0.7093614718614718,0.8869637985662557,vehicle,0.0,autosklearn,0.8588274249,0.7883658009,vehicle,0.0,autosklearn
39,2021-01-01 20:39:38.000,0.4206349206349207,0.41666666666666663,0.42578125,vehicle,0.0,autosklearn,0.8588274249,0.7883658009,vehicle,0.0,autosklearn
40,2021-01-01 20:39:40.000,0.4702872457109746,0.42873376623376624,0.5182719068066157,vehicle,0.0,autosklearn,0.8588274249,0.7883658009,vehicle,0.0,autosklearn
41,2021-01-01 20:39:43.765,0.4702872457109746,0.42873376623376624,0.5182719068066157,vehicle,0.0,autosklearn,0.8558608059,0.7770021645,vehicle,0.0,autosklearn
42,2021-01-01 20:39:46.000,0.5809865275966971,0.6054653679653679,0.6621384291201801,vehicle,0.0,autosklearn,0.8558608059,0.7770021645,vehicle,0.0,autosklearn
43,2021-01-01 20:39:48.000,0.48787173278698703,0.5258658008658008,0.5419383991485613,vehicle,0.0,autosklearn,0.8558608059,0.7770021645,vehicle,0.0,autosklearn
44,2021-01-01 20:39:51.768,0.48787173278698703,0.5258658008658008,0.5419383991485613,vehicle,0.0,autosklearn,0.8553724054,0.79004329,vehicle,0.0,autosklearn
45,2021-01-01 20:39:54.000,0.49629871070549036,0.5140151515151514,0.5668276876590331,vehicle,0.0,autosklearn,0.8553724054,0.79004329,vehicle,0.0,autosklearn
46,2021-01-01 20:39:57.000,0.6985306595476087,0.7412337662337662,0.8966346153846154,vehicle,0.0,autosklearn,0.8553724054,0.79004329,vehicle,0.0,autosklearn
47,2021-01-01 20:40:01.353,0.6985306595476087,0.7412337662337662,0.8966346153846154,vehicle,0.0,autosklearn,0.8588274249,0.7883658009,vehicle,0.0,autosklearn
48,2021-01-01 20:40:06.000,0.6960296765381511,0.718560606060606,0.86561964792523,vehicle,0.0,autosklearn,0.8588274249,0.7883658009,vehicle,0.0,autosklearn
