,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,WeightedEnsemble_L1,0.972222,0.947531,54.086510,44.696123,9209.807297,0.006403,0.001008,0.931755,1,True,14
1,LightGBMXT_BAG_L1,0.962963,0.945473,100.371284,82.337371,14284.453098,0.943763,0.467213,1601.715946,1,True,24
2,RandomForestEntr_BAG_L1,0.962963,0.940329,103.724504,85.727819,12744.886777,4.296984,3.857661,62.149626,1,True,20
3,ExtraTreesGini_BAG_L1,0.962963,0.945473,104.402958,85.618740,12716.726171,4.975437,3.748583,33.989020,1,True,21
4,ExtraTreesEntr_BAG_L1,0.962963,0.944444,104.611807,85.624317,12719.937307,5.184286,3.754159,37.200155,1,True,22
5,LightGBMCustom_BAG_L0,0.953704,0.931070,1.940037,0.641995,7338.901657,1.940037,0.641995,7338.901657,0,True,13
6,RandomForestGini_BAG_L0,0.953704,0.919753,5.648514,4.662275,53.140743,5.648514,4.662275,53.140743,0,True,5
7,ExtraTreesGini_BAG_L0,0.953704,0.927984,5.817948,4.668898,53.012907,5.817948,4.668898,53.012907,0,True,7
8,CatBoost_BAG_L1,0.953704,0.940329,100.142632,82.554447,14376.507340,0.715111,0.684290,1693.770189,1,True,25
9,LightGBM_BAG_L1,0.953704,0.950617,100.302822,82.320285,14275.429235,0.875302,0.450127,1592.692084,1,True,23
10,LightGBMCustom_BAG_L1,0.953704,0.948560,101.003610,82.404679,20047.436527,1.576089,0.534522,7364.699375,1,True,27
11,RandomForestGini_BAG_L1,0.953704,0.939300,103.594742,85.845124,12726.690315,4.167221,3.974966,43.953163,1,True,19
12,KNeighborsUnif_BAG_L1,0.953704,0.930041,107.574581,88.286903,12686.156292,8.147061,6.416746,3.419141,1,True,17
13,KNeighborsDist_BAG_L1,0.953704,0.931070,107.674702,88.692753,12686.170676,8.247181,6.822595,3.433525,1,True,18
14,WeightedEnsemble_L2,0.953704,0.953704,147.263237,123.431524,25899.028666,0.005537,0.000842,0.934754,2,True,28
15,XGBoost_BAG_L0,0.953704,0.917695,0.518220,0.366266,478.305571,0.518220,0.366266,478.305571,0,True,12
16,CatBoost_BAG_L0,0.953704,0.920782,0.776127,0.811183,603.448920,0.776127,0.811183,603.448920,0,True,11
17,ExtraTreesEntr_BAG_L0,0.944444,0.921811,6.108125,4.663249,58.926039,6.108125,4.663249,58.926039,0,True,8
18,NeuralNetMXNet_BAG_L0,0.944444,0.930041,6.716540,6.641157,562.967267,6.716540,6.641157,562.967267,0,True,1
19,XGBoost_BAG_L1,0.944444,0.947531,99.856680,82.217155,12964.229926,0.429160,0.346998,281.492774,1,True,26
20,NeuralNetMXNet_BAG_L1,0.944444,0.917695,108.195494,89.818865,13078.928628,8.767974,7.948707,396.191477,1,True,15
21,RandomForestEntr_BAG_L0,0.925926,0.917695,5.684061,4.672257,55.721086,5.684061,4.672257,55.721086,0,True,6
22,KNeighborsDist_BAG_L0,0.898148,0.888889,9.543390,8.427633,3.312652,9.543390,8.427633,3.312652,0,True,4
23,KNeighborsUnif_BAG_L0,0.888889,0.880658,9.396117,8.527250,3.371924,9.396117,8.527250,3.371924,0,True,3
24,LightGBM_BAG_L0,0.870370,0.859053,1.391819,0.595837,1207.879577,1.391819,0.595837,1207.879577,0,True,9
25,LightGBMXT_BAG_L0,0.861111,0.862140,1.239220,0.591375,1560.191110,1.239220,0.591375,1560.191110,0,True,10
26,NeuralNetFastAI_BAG_L1,0.768519,0.645062,138.421291,117.089870,13301.573918,38.993770,35.219713,618.836767,1,True,16
27,NeuralNetFastAI_BAG_L0,0.638889,0.355967,44.647404,36.600780,703.557699,44.647404,36.600780,703.557699,0,True,2
