,single_model,dataset_name,model,level,repeat,iteration,seed,performance,skip
0,True,146822,RandomForestClassifier,0,1,0,43,0.9781641338706024,True
1,True,146822,RandomForestClassifier,0,1,1,43,0.9664518520586529,True
2,True,146822,RandomForestClassifier,0,1,2,43,0.9514235151424911,True
3,True,146822,RandomForestClassifier,0,1,3,43,0.9531041874113987,True
4,True,146822,RandomForestClassifier,0,1,4,43,0.9514430578432923,True
5,True,146822,DecisionTreeClassifier,0,1,0,43,0.9681920830347642,True
6,True,146822,DecisionTreeClassifier,0,1,1,43,0.944891910252473,True
7,True,146822,DecisionTreeClassifier,0,1,2,43,0.9332792031541298,True
8,True,146822,DecisionTreeClassifier,0,1,3,43,0.923312425745492,True
9,True,146822,DecisionTreeClassifier,0,1,4,43,0.9149481498025567,True
10,True,146822,XGBClassifier,0,1,0,43,0.9781245831666,True
11,True,146822,XGBClassifier,0,1,1,43,0.9698532126028706,True
12,True,146822,XGBClassifier,0,1,2,43,0.9598673577958314,True
13,True,146822,XGBClassifier,0,1,3,43,0.961548030064739,True
14,True,146822,XGBClassifier,0,1,4,43,0.961548030064739,True
15,True,146822,GradientBoostingClassifier,0,1,0,43,0.9797519007603042,True
16,True,146822,GradientBoostingClassifier,0,1,1,43,0.9680791696523571,True
17,True,146822,GradientBoostingClassifier,0,1,2,43,0.9548248756867087,True
18,True,146822,GradientBoostingClassifier,0,1,3,43,0.9565250906564176,True
19,True,146822,GradientBoostingClassifier,0,1,4,43,0.9531632808162024,True
20,True,146822,LGBMClassifier,0,1,0,43,0.9781441258674013,True
21,True,146822,LGBMClassifier,0,1,1,43,0.966530953466658,True
22,True,146822,LGBMClassifier,0,1,2,43,0.9648898319017529,True
23,True,146822,LGBMClassifier,0,1,3,43,0.9665705041706605,True
24,True,146822,LGBMClassifier,0,1,4,43,0.9632287023336465,True
25,True,146822,MLPClassifier,0,1,0,43,0.9579346467269078,True
26,True,146822,MLPClassifier,0,1,1,43,0.9513096711552838,True
27,True,146822,MLPClassifier,0,1,2,43,0.9479248891632449,True
28,True,146822,MLPClassifier,0,1,3,43,0.942941500458926,True
29,True,146822,MLPClassifier,0,1,4,43,0.9378394596425995,True
30,True,146822,RandomForestClassifier,1,1,5,43,0.9798105288627079,True
31,True,146822,RandomForestClassifier,1,1,6,43,0.9764491843248928,True
32,True,146822,RandomForestClassifier,1,1,7,43,0.9764491843248928,True
33,True,146822,RandomForestClassifier,1,1,8,43,0.9764491843248928,True
34,True,146822,RandomForestClassifier,1,1,9,43,0.9747880547567865,True
35,True,146822,DecisionTreeClassifier,1,1,5,43,0.9631748823560431,True
36,True,146822,DecisionTreeClassifier,1,1,6,43,0.946421049039771,True
37,True,146822,DecisionTreeClassifier,1,1,7,43,0.9380958584984381,True
38,True,146822,DecisionTreeClassifier,1,1,8,43,0.9314122548244104,True
39,True,146822,DecisionTreeClassifier,1,1,9,43,0.9232542629454883,True
40,True,146822,XGBClassifier,1,1,5,43,0.9848139255702282,True
41,True,146822,XGBClassifier,1,1,6,43,0.9782236925778063,True
42,True,146822,XGBClassifier,1,1,7,43,0.9699918727180794,True
43,True,146822,XGBClassifier,1,1,8,43,0.9650032105865601,True
44,True,146822,XGBClassifier,1,1,9,43,0.966703890858669,True
45,True,146822,GradientBoostingClassifier,1,1,5,43,0.9798300715635092,True
