,single_model,dataset_name,model,level,repeat,iteration,seed,performance,skip
0,True,146822,RandomForestClassifier,0,1,0,85,0.988453945879904,True
1,True,146822,RandomForestClassifier,0,1,1,85,0.9832274650436671,True
2,True,146822,RandomForestClassifier,0,1,2,85,0.9730070602602542,True
3,True,146822,RandomForestClassifier,0,1,3,85,0.9656990372727888,True
4,True,146822,RandomForestClassifier,0,1,4,85,0.9656990372727888,True
5,True,146822,DecisionTreeClassifier,0,1,0,85,0.9629491013782535,True
6,True,146822,DecisionTreeClassifier,0,1,1,85,0.9478972185490768,True
7,True,146822,DecisionTreeClassifier,0,1,2,85,0.9343334309579954,True
8,True,146822,DecisionTreeClassifier,0,1,3,85,0.9184770524782139,True
9,True,146822,DecisionTreeClassifier,0,1,4,85,0.915246796961373,True
10,True,146822,XGBClassifier,0,1,0,85,0.9869658506418089,True
11,True,146822,XGBClassifier,0,1,1,85,0.9813721774740938,True
12,True,146822,XGBClassifier,0,1,2,85,0.9777747296257749,True
13,True,146822,XGBClassifier,0,1,3,85,0.9708338989697874,True
14,True,146822,XGBClassifier,0,1,4,85,0.9678577084935969,True
15,True,146822,GradientBoostingClassifier,0,1,0,85,0.9782550492480807,True
16,True,146822,GradientBoostingClassifier,0,1,1,85,0.9671871325108841,True
17,True,146822,GradientBoostingClassifier,0,1,2,85,0.9673002598017116,True
18,True,146822,GradientBoostingClassifier,0,1,3,85,0.9617343970929918,True
19,True,146822,GradientBoostingClassifier,0,1,4,85,0.9587582066168012,True
20,True,146822,LGBMClassifier,0,1,0,85,0.9834815300843177,True
21,True,146822,LGBMClassifier,0,1,1,85,0.978141921957253,True
22,True,146822,LGBMClassifier,0,1,2,85,0.978141921957253,True
23,True,146822,LGBMClassifier,0,1,3,85,0.9690917386910419,True
24,True,146822,LGBMClassifier,0,1,4,85,0.9673495784122962,True
25,True,146822,MLPClassifier,0,1,0,85,0.9530208467490697,True
26,True,146822,MLPClassifier,0,1,1,85,0.9329605499030587,True
27,True,146822,MLPClassifier,0,1,2,85,0.9293631020547396,True
28,True,146822,MLPClassifier,0,1,3,85,0.9174220451441705,True
29,True,146822,MLPClassifier,0,1,4,85,0.8962215194793591,True
30,True,146822,RandomForestClassifier,1,1,5,85,0.9829518918514273,True
31,True,146822,RandomForestClassifier,1,1,6,85,0.9792135062532855,True
32,True,146822,RandomForestClassifier,1,1,7,85,0.9777254110151904,True
33,True,146822,RandomForestClassifier,1,1,8,85,0.9760047588880341,True
34,True,146822,RandomForestClassifier,1,1,9,85,0.9745166636499389,True
35,True,146822,DecisionTreeClassifier,1,1,5,85,0.9577226205420165,True
36,True,146822,DecisionTreeClassifier,1,1,6,85,0.9380870224003209,True
37,True,146822,DecisionTreeClassifier,1,1,7,85,0.9306465462098447,True
38,True,146822,DecisionTreeClassifier,1,1,8,85,0.9241860351761629,True
39,True,146822,DecisionTreeClassifier,1,1,9,85,0.9157292988230851,True
40,True,146822,XGBClassifier,1,1,5,85,0.988453945879904,True
41,True,146822,XGBClassifier,1,1,6,85,0.9881998808392536,True
42,True,146822,XGBClassifier,1,1,7,85,0.986457720560508,True
43,True,146822,XGBClassifier,1,1,8,85,0.9847155602817622,True
44,True,146822,XGBClassifier,1,1,9,85,0.981463796613332,True
45,True,146822,GradientBoostingClassifier,1,1,5,85,0.9799757013752367,True
46,True,146822,GradientBoostingClassifier,1,1,6,85,0.9743820282075218,True
47,True,146822,GradientBoostingClassifier,1,1,7,85,0.9711517726906809,True
48,True,146822,GradientBoostingClassifier,1,1,8,85,0.9711517726906809,True
49,True,146822,GradientBoostingClassifier,1,1,9,85,0.9640700042848708,True
50,True,146822,LGBMClassifier,1,1,5,85,0.9797431444861758,True
51,True,146822,LGBMClassifier,1,1,6,85,0.9762373157770952,True
52,True,146822,LGBMClassifier,1,1,7,85,0.9694096124119352,True
53,True,146822,LGBMClassifier,1,1,8,85,0.967554324842362,True
54,True,146822,LGBMClassifier,1,1,9,85,0.9658121645636164,True
55,True,146822,MLPClassifier,1,1,5,85,0.9721532459990649,True
56,True,146822,MLPClassifier,1,1,6,85,0.9652437791592845,True
57,True,146822,MLPClassifier,1,1,7,85,0.9617594586017931,True
58,True,146822,MLPClassifier,1,1,8,85,0.9597910437413921,True
59,True,146822,MLPClassifier,1,1,9,85,0.9553267580271064,True
60,True,146822,RandomForestClassifier,2,1,10,85,0.9826978268107769,True
61,True,146822,RandomForestClassifier,2,1,11,85,0.9841859220488721,True
62,True,146822,RandomForestClassifier,2,1,12,85,0.9808425392412036,True
63,True,146822,RandomForestClassifier,2,1,13,85,0.9793544440031084,True
64,True,146822,RandomForestClassifier,2,1,14,85,0.9761241884862674,True
65,True,146822,DecisionTreeClassifier,2,1,10,85,0.9556217524786049,True
66,True,146822,DecisionTreeClassifier,2,1,11,85,0.9398291826790665,True
67,True,146822,DecisionTreeClassifier,2,1,12,85,0.9285371935996211,True
68,True,146822,DecisionTreeClassifier,2,1,13,85,0.9282831285589707,True
69,True,146822,DecisionTreeClassifier,2,1,14,85,0.9163420716484015,True
70,True,146822,XGBClassifier,2,1,10,85,0.9849696253224128,True
71,True,146822,XGBClassifier,2,1,11,85,0.9829734000030167,True
72,True,146822,XGBClassifier,2,1,12,85,0.9814853047649216,True
73,True,146822,XGBClassifier,2,1,13,85,0.9797431444861758,True
74,True,146822,XGBClassifier,2,1,14,85,0.9780009842074302,True
75,True,146822,GradientBoostingClassifier,2,1,10,85,0.9742625986092884,True
76,True,146822,GradientBoostingClassifier,2,1,11,85,0.9702979584294916,True
77,True,146822,GradientBoostingClassifier,2,1,12,85,0.9656712268137936,True
78,True,146822,GradientBoostingClassifier,2,1,13,85,0.962327844006125,True
79,True,146822,GradientBoostingClassifier,2,1,14,85,0.9608397487680298,True
80,True,146822,LGBMClassifier,2,1,10,85,0.9765128889693351,True
81,True,146822,LGBMClassifier,2,1,11,85,0.9715404731737484,True
82,True,146822,LGBMClassifier,2,1,12,85,0.9700523779356532,True
