,level_0,seed,tool,model,task,fold_mean,overfit_mean,test_mean,train_mean,val_mean
0,0,0,None_es50_B100_N1.0,best_ensemble_model,Australian,2,0.0,0.8460101867572156,0.8862318840579709,inf
1,1,0,None_es50_B100_N1.0,best_ensemble_model,MiniBooNE,2,0.0,0.9285653832024894,0.9306199911540538,inf
2,2,0,None_es50_B100_N1.0,best_ensemble_model,adult,2,0.0,0.8437872036981776,0.8460286740337573,inf
3,3,0,None_es50_B100_N1.0,best_ensemble_model,cnae-9,2,0.0,0.9481481481481481,0.965843621399177,inf
4,4,0,None_es50_B100_N1.0,best_ensemble_model,connect-4,2,0.0,0.7188820761062854,0.7124119114272851,inf
5,5,0,None_es50_B100_N1.0,best_ensemble_model,higgs,2,0.0,0.732913782529393,0.7291196404676396,inf
6,6,0,None_es50_B100_N1.0,best_ensemble_model,kr-vs-kp,2,0.0,0.9956987984814685,0.9973753578440778,inf
7,7,0,None_es50_B100_N1.0,best_ensemble_model,segment,2,0.0,0.9922077922077921,0.9876863876863876,inf
8,8,0,None_es50_B100_N1.0,best_ensemble_model,vehicle,2,0.0,0.8533441558441558,0.8766863701406556,inf
9,9,0,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B100_N1.0,best_ensemble_model,Australian,2,0.0,0.8433786078098471,0.8739855072463769,inf
10,10,0,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B100_N1.0,best_ensemble_model,MiniBooNE,2,0.0,0.9287023995364821,0.9306328543407844,inf
11,11,0,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B100_N1.0,best_ensemble_model,adult,2,0.0,0.8441045122747877,0.8451186568809966,inf
12,12,0,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B100_N1.0,best_ensemble_model,cnae-9,2,0.0,0.9462962962962962,0.9617283950617284,inf
13,13,0,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B100_N1.0,best_ensemble_model,connect-4,2,0.0,0.7063178932216051,0.6988909102243387,inf
14,14,0,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B100_N1.0,best_ensemble_model,higgs,2,0.0,0.7330477169972189,0.7289359196907924,inf
15,15,0,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B100_N1.0,best_ensemble_model,kr-vs-kp,2,0.0,0.9962976008766781,0.9968241277520317,inf
16,16,0,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B100_N1.0,best_ensemble_model,segment,2,0.0,0.9922077922077921,0.9870129870129871,inf
17,17,0,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B100_N1.0,best_ensemble_model,vehicle,2,0.0,0.8487987012987013,0.8660525330465536,inf
18,18,0,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B10_N1.0,best_ensemble_model,Australian,2,0.0,0.8518675721561969,0.8755797101449275,inf
19,19,0,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B10_N1.0,best_ensemble_model,MiniBooNE,2,0.0,0.9286322460237967,0.9305698792809178,inf
20,20,0,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B10_N1.0,best_ensemble_model,adult,2,0.0,0.8439410018991002,0.8458557751868622,inf
21,21,0,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B10_N1.0,best_ensemble_model,cnae-9,2,0.0,0.9481481481481481,0.961111111111111,inf
22,22,0,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B10_N1.0,best_ensemble_model,connect-4,2,0.0,0.7189755140361416,0.7124530609722524,inf
23,23,0,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B10_N1.0,best_ensemble_model,higgs,2,0.0,0.7330781587172125,0.7289238189920538,inf
24,24,0,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B10_N1.0,best_ensemble_model,kr-vs-kp,2,0.0,0.9962976008766781,0.9963208686331857,inf
25,25,0,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B10_N1.0,best_ensemble_model,segment,2,0.0,0.9922077922077921,0.9853775853775855,inf
26,26,0,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B10_N1.0,best_ensemble_model,vehicle,2,0.0,0.8536796536796537,0.8647099734738616,inf
27,27,0,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B50_N0.5,best_ensemble_model,Australian,2,0.0,0.8433786078098471,0.8731159420289855,inf
28,28,0,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B50_N0.5,best_ensemble_model,MiniBooNE,2,0.0,0.9287037506185547,0.9304875343033856,inf
29,29,0,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B50_N0.5,best_ensemble_model,adult,2,0.0,0.8443567536007087,0.845882975191467,inf
30,30,0,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B50_N0.5,best_ensemble_model,cnae-9,2,0.0,0.9462962962962962,0.9592592592592594,inf
31,31,0,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B50_N0.5,best_ensemble_model,connect-4,2,0.0,0.7200969340315774,0.711861957959788,inf
32,32,0,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B50_N0.5,best_ensemble_model,higgs,2,0.0,0.7331430675974143,0.7288645689387389,inf
