,index,autosklearn,"Alg. 6
(no Line 12.) es50 B100 N1.0","Alg. 6
(no Line 12.) es50 B10 N1.0","Alg. 6
(no Line 12.) es50 B50 N0.5",Alg. 7 es50 B100 N1.0,Alg. 7 es50 B10 N1.0,Alg. 7 es50 B50 N0.5,Alg. 6 es50 B100 N1.0,Alg. 6 es50 B10 N1.0,Alg. 6 es50 B50 N0.5,Alg. 9 es50 B100 N1.0,Alg. 9 es50 B10 N1.0,Alg. 9 es50 B50 N0.5,bagging
0,autosklearn,0.0,2.0,2.0,1.0,2.0,4.0,1.0,4.0,3.0,1.0,4.0,1.0,3.0,5.0
1,"Alg. 6
(no Line 12.) es50 B100 N1.0",6.0,0.0,2.0,3.0,1.0,3.0,1.0,2.0,3.0,2.0,5.0,5.0,4.0,4.0
2,"Alg. 6
(no Line 12.) es50 B10 N1.0",6.0,4.0,0.0,4.0,4.0,4.0,2.0,4.0,5.0,2.0,7.0,5.0,5.0,6.0
3,"Alg. 6
(no Line 12.) es50 B50 N0.5",6.0,4.0,3.0,0.0,3.0,4.0,2.0,4.0,4.0,3.0,5.0,6.0,4.0,5.0
4,Alg. 7 es50 B100 N1.0,6.0,2.0,3.0,5.0,0.0,3.0,2.0,3.0,4.0,4.0,5.0,6.0,3.0,4.0
5,Alg. 7 es50 B10 N1.0,4.0,4.0,3.0,4.0,3.0,0.0,3.0,4.0,5.0,3.0,6.0,4.0,4.0,5.0
6,Alg. 7 es50 B50 N0.5,7.0,5.0,4.0,3.0,5.0,4.0,0.0,4.0,4.0,4.0,6.0,7.0,5.0,5.0
7,Alg. 6 es50 B100 N1.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,0.0,5.0,3.0,5.0,4.0,4.0,5.0
8,Alg. 6 es50 B10 N1.0,5.0,4.0,2.0,2.0,4.0,3.0,2.0,3.0,0.0,3.0,5.0,4.0,3.0,5.0
9,Alg. 6 es50 B50 N0.5,7.0,3.0,4.0,3.0,2.0,4.0,2.0,5.0,4.0,0.0,6.0,6.0,4.0,5.0
10,Alg. 9 es50 B100 N1.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,0.0,3.0,3.0,4.0
11,Alg. 9 es50 B10 N1.0,3.0,3.0,3.0,2.0,2.0,4.0,1.0,4.0,4.0,2.0,5.0,0.0,3.0,5.0
12,Alg. 9 es50 B50 N0.5,3.0,4.0,3.0,3.0,5.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,0.0,4.0
13,bagging,3.0,3.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,5.0,3.0,3.0,0.0
