,index,fold,model,overfit,task,test,tool,train,val,seed
0,0,0,best_ensemble_model,0.0,Albert,0.5666917505408711,autosklearn,0.5656204600800594,inf,0
1,1,1,best_ensemble_model,0.0,Albert,0.6422020506067162,autosklearn,0.6355522110389951,inf,0
2,2,2,best_ensemble_model,0.0,Albert,0.6447888251340419,autosklearn,0.6365033079359107,inf,0
3,3,3,best_ensemble_model,0.0,Albert,0.5645988147869438,autosklearn,0.5660698794928877,inf,0
4,4,4,best_ensemble_model,0.0,Albert,0.6469993415483022,autosklearn,0.6389150179245184,inf,0
5,5,0,best_ensemble_model,0.0,Australian,0.8989813242784379,autosklearn,0.8884057971014493,inf,0
6,6,1,best_ensemble_model,0.0,Australian,0.8314940577249575,autosklearn,0.8923913043478261,inf,0
7,7,2,best_ensemble_model,0.0,Australian,0.8726655348047538,autosklearn,0.8916666666666666,inf,0
8,8,3,best_ensemble_model,0.0,Australian,0.8463497453310695,autosklearn,0.8971014492753624,inf,0
9,9,4,best_ensemble_model,0.0,Australian,0.8828522920203735,autosklearn,0.8960144927536231,inf,0
10,10,0,best_ensemble_model,0.0,MiniBooNE,0.9384046520003336,autosklearn,0.9403382547932192,inf,0
11,11,1,best_ensemble_model,0.0,MiniBooNE,0.9371339602173159,autosklearn,0.9403281235587362,inf,0
12,12,2,best_ensemble_model,0.0,MiniBooNE,0.9390119184084584,autosklearn,0.9403239300023836,inf,0
13,13,3,best_ensemble_model,0.0,MiniBooNE,0.9438025886414244,autosklearn,0.9400637561628142,inf,0
14,14,4,best_ensemble_model,0.0,MiniBooNE,0.9408531174410454,autosklearn,0.9398391624884208,inf,0
15,15,0,best_ensemble_model,0.0,adult,0.8496563308873565,autosklearn,0.844658883137374,inf,0
16,16,1,best_ensemble_model,0.0,adult,0.836330261206021,autosklearn,0.8462222629336309,inf,0
17,17,2,best_ensemble_model,0.0,adult,0.8498205649026056,autosklearn,0.8455448817798012,inf,0
18,18,3,best_ensemble_model,0.0,adult,0.8455148598434021,autosklearn,0.8460949751356837,inf,0
19,19,4,best_ensemble_model,0.0,adult,0.8363905805329047,autosklearn,0.8465953378403637,inf,0
20,20,0,best_ensemble_model,0.0,cnae-9,0.9629629629629628,autosklearn,0.9598765432098766,inf,0
21,21,1,best_ensemble_model,0.0,cnae-9,0.9166666666666666,autosklearn,0.9732510288065844,inf,0
22,22,2,best_ensemble_model,0.0,cnae-9,0.9629629629629628,autosklearn,0.9639917695473248,inf,0
23,23,3,best_ensemble_model,0.0,cnae-9,0.9351851851851852,autosklearn,0.9681069958847738,inf,0
24,24,4,best_ensemble_model,0.0,cnae-9,0.9722222222222222,autosklearn,0.9670781893004116,inf,0
25,25,0,best_ensemble_model,0.0,connect-4,0.7429618287078933,autosklearn,0.7469765394156865,inf,0
26,26,1,best_ensemble_model,0.0,connect-4,0.7592758105532244,autosklearn,0.7470883716241016,inf,0
27,27,2,best_ensemble_model,0.0,connect-4,0.7643646031447089,autosklearn,0.7457377388822243,inf,0
28,28,3,best_ensemble_model,0.0,connect-4,0.759593547258515,autosklearn,0.7493890395092451,inf,0
29,29,4,best_ensemble_model,0.0,connect-4,0.7642407070121845,autosklearn,0.7447197295602782,inf,0
30,30,0,best_ensemble_model,0.0,higgs,0.7372633543306575,autosklearn,0.7274388898966828,inf,0
31,31,1,best_ensemble_model,0.0,higgs,0.7213806790389836,autosklearn,0.7279586143704082,inf,0
32,32,2,best_ensemble_model,0.0,higgs,0.7315863294238121,autosklearn,0.7256180376328571,inf,0
33,33,3,best_ensemble_model,0.0,higgs,0.7311789833504384,autosklearn,0.7259197407901062,inf,0
34,34,4,best_ensemble_model,0.0,higgs,0.7362338288815422,autosklearn,0.7261809069544851,inf,0
35,35,0,best_ensemble_model,0.0,kr-vs-kp,0.9904700403115341,autosklearn,0.9982425179818466,inf,0
36,36,1,best_ensemble_model,0.0,kr-vs-kp,0.9850299401197604,autosklearn,0.9982425179818466,inf,0
37,37,2,best_ensemble_model,0.0,kr-vs-kp,0.9967320261437908,autosklearn,0.9965160475019236,inf,0
38,38,3,best_ensemble_model,0.0,kr-vs-kp,1.0,autosklearn,0.9972128380015391,inf,0
39,39,4,best_ensemble_model,0.0,kr-vs-kp,1.0,autosklearn,0.9972128380015391,inf,0
40,40,0,best_ensemble_model,0.0,segment,0.987012987012987,autosklearn,0.988936988936989,inf,0
41,41,1,best_ensemble_model,0.0,segment,0.9783549783549784,autosklearn,0.9865319865319864,inf,0
42,42,2,best_ensemble_model,0.0,segment,0.987012987012987,autosklearn,0.987012987012987,inf,0
43,43,3,best_ensemble_model,0.0,segment,0.9956709956709956,autosklearn,0.9874939874939876,inf,0
44,44,4,best_ensemble_model,0.0,segment,1.0,autosklearn,0.9884559884559884,inf,0
45,45,0,best_ensemble_model,0.0,vehicle,0.8825216450216451,autosklearn,0.8677330940656028,inf,0
46,46,1,best_ensemble_model,0.0,vehicle,0.8138528138528138,autosklearn,0.8909370635534648,inf,0
47,47,2,best_ensemble_model,0.0,vehicle,0.8365800865800865,autosklearn,0.8765384990756664,inf,0
48,48,3,best_ensemble_model,0.0,vehicle,0.8138528138528138,autosklearn,0.8817741011699072,inf,0
49,49,4,best_ensemble_model,0.0,vehicle,0.8382034632034632,autosklearn,0.8715582810295813,inf,0
50,50,0,best_ensemble_model,0.0,Albert,0.5681732668610666,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,0.5673292990102321,inf,0
51,51,1,best_ensemble_model,0.0,Albert,0.5665976860126046,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,0.5678205248800677,inf,0
52,52,2,best_ensemble_model,0.0,Albert,0.5671150409180699,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,0.5676141054985943,inf,0
53,53,3,best_ensemble_model,0.0,Albert,0.5650926535603424,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,0.5671072022073809,inf,0
54,54,4,best_ensemble_model,0.0,Albert,0.5713714608221241,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,0.5666055247232935,inf,0
55,55,0,best_ensemble_model,0.0,Australian,0.9282682512733448,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,0.8891304347826088,inf,0
56,56,1,best_ensemble_model,0.0,Australian,0.8314940577249575,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,0.8931159420289855,inf,0
57,57,2,best_ensemble_model,0.0,Australian,0.8433786078098472,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,0.8945652173913043,inf,0
58,58,3,best_ensemble_model,0.0,Australian,0.8463497453310695,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,0.8865942028985507,inf,0
59,59,4,best_ensemble_model,0.0,Australian,0.9019524617996604,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,0.8960144927536231,inf,0
60,60,0,best_ensemble_model,0.0,MiniBooNE,0.937219325945999,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,0.9408820683122578,inf,0
61,61,1,best_ensemble_model,0.0,MiniBooNE,0.9383435154400559,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,0.9412047771148804,inf,0
62,62,2,best_ensemble_model,0.0,MiniBooNE,0.9374224264011559,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,0.9406303302089564,inf,0
63,63,3,best_ensemble_model,0.0,MiniBooNE,0.9431049789111074,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,0.9403085177790044,inf,0
64,64,4,best_ensemble_model,0.0,MiniBooNE,0.9413874767442408,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,0.9401797086637104,inf,0
65,65,0,best_ensemble_model,0.0,adult,0.8487768427469219,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,0.8467616824660122,inf,0
66,66,1,best_ensemble_model,0.0,adult,0.8363783735005769,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,0.8477227246673111,inf,0
67,67,2,best_ensemble_model,0.0,adult,0.8517775778934485,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,0.8473409138074608,inf,0
68,68,3,best_ensemble_model,0.0,adult,0.8456982578114631,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,0.8464842203613159,inf,0
69,69,4,best_ensemble_model,0.0,adult,0.8384577244643674,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,0.847517669775859,inf,0
70,70,0,best_ensemble_model,0.0,cnae-9,0.9629629629629628,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,0.9578189300411524,inf,0
71,71,1,best_ensemble_model,0.0,cnae-9,0.8981481481481483,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,0.9598765432098766,inf,0
72,72,2,best_ensemble_model,0.0,cnae-9,0.9444444444444444,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,0.9588477366255144,inf,0
73,73,3,best_ensemble_model,0.0,cnae-9,0.9166666666666666,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,0.9557613168724279,inf,0
74,74,4,best_ensemble_model,0.0,cnae-9,0.9537037037037036,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,0.9475308641975309,inf,0
75,75,0,best_ensemble_model,0.0,connect-4,0.7060545444135259,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,0.7131856675128289,inf,0
76,76,1,best_ensemble_model,0.0,connect-4,0.7162593042236841,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,0.7128013601634944,inf,0
