task,tool,0,1,2,3,4
Albert,AutoGluon,0.684484,0.45585233333333336,0.23023866666666667,0.6858716666666668,0.6843819999999999
Albert,autosklearn,0.6181453333333333,0.642202,0.644938,0.564599,0.646999
Albert,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_overall_max,0.567703,0.566268,0.567632,0.564505,0.57076
Albert,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_overall_max_stackinstance,0.647117,0.638933,0.645087,0.564599,0.646999
Albert,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max,0.567703,0.566268,0.567632,0.564505,0.57076
Albert,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max_stackinstance,0.648928,0.641285,0.644938,0.564599,0.646999
Albert,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max,0.567562,0.5660569999999999,0.566739,0.565163,0.569866
Albert,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,0.5924186666666666,0.642202,0.645087,0.564599,0.646999
Albert,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_perrun_max,0.567562,0.5660569999999999,0.566739,0.565163,0.569866
Albert,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_perrun_max_stackinstance,0.643872,0.642202,0.645087,0.564599,0.646999
Australian,AutoGluon,0.8814376666666667,0.8314940000000001,0.857527,0.840407,0.8989809999999999
Australian,autosklearn,0.8682796666666667,0.8422466666666666,0.837578,0.8517263333333335,0.8892186666666667
Australian,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_overall_max,0.8790323333333334,0.8368703333333333,0.82824,0.833192,0.898981
Australian,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_overall_max_stackinstance,0.8790326666666668,0.847623,0.8322016666666667,0.8365876666666666,0.8794563333333333
Australian,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max,0.8770513333333332,0.8368703333333333,0.8443693333333334,0.8473403333333334,0.9043573333333333
Australian,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max_stackinstance,0.8931806666666667,0.8422466666666666,0.841964,0.8483306666666667,0.8848326666666667
Australian,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max,0.8887950000000001,0.8314940000000001,0.840407,0.84635,0.8696940000000001
Australian,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,0.8911993333333332,0.8368703333333333,0.8365876666666668,0.8254103333333332,0.8926143333333334
Australian,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_perrun_max,0.9063383333333334,0.8314940000000001,0.8477646666666666,0.8439446666666667,0.8945949999999999
Australian,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_perrun_max_stackinstance,0.8756370000000001,0.83588,0.8224393333333334,0.8365876666666666,0.8989809999999999
MiniBooNE,AutoGluon,0.931232,0.930098,0.9313533333333334,0.9367613333333334,0.9349436666666667
MiniBooNE,autosklearn,0.938405,0.937134,0.939012,0.943803,0.940853
MiniBooNE,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_overall_max,0.937677,0.937665,0.937369,0.943105,0.941227
MiniBooNE,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_overall_max_stackinstance,0.9333490000000001,0.941303,0.935238,0.940099,0.9394839999999999
MiniBooNE,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max,0.9372760000000001,0.937218,0.9377270000000001,0.9429380000000002,0.9412569999999999
MiniBooNE,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max_stackinstance,0.9333490000000001,0.9414250000000001,0.935238,0.940099,0.9394839999999999
MiniBooNE,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max,0.927673,0.9365436666666667,0.927181,0.933582,0.930103
MiniBooNE,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,0.938405,0.937134,0.939012,0.943803,0.940853
MiniBooNE,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_perrun_max,0.927673,0.9369739999999999,0.927181,0.933582,0.930103
MiniBooNE,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_perrun_max_stackinstance,0.938405,0.937134,0.939012,0.943803,0.940853
adult,AutoGluon,0.8132153333333333,0.8154916666666666,0.808477,0.8096956666666667,0.8086356666666666
adult,autosklearn,0.849656,0.8363299999999999,0.8494210000000001,0.8435580000000001,0.8366233333333333
adult,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_overall_max,0.8488389999999999,0.8385549999999999,0.849723,0.8462120000000001,0.8406350000000001
adult,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_overall_max_stackinstance,0.835306,0.8285819999999999,0.84055,0.827683,0.826105
adult,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max,0.847176,0.8375206666666667,0.8513413333333334,0.8455150000000001,0.8377120000000001
adult,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max_stackinstance,0.849656,0.8376129999999998,0.850518,0.8435580000000001,0.836843
adult,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max,0.849767,0.8377193333333333,0.849417,0.844683,0.8385919999999999
adult,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,0.849656,0.8367496666666666,0.849376,0.8435580000000001,0.8368556666666667
adult,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_perrun_max,0.8501949999999999,0.8376743333333333,0.849417,0.844683,0.8393260000000001
