task,tool,0,1,2,3,4
adult,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_perrun_max_stackinstance,0.849656,0.8364199999999999,0.8494820000000001,0.8435580000000001,0.8368556666666667
cnae-9,AutoGluon,0.9660493333333333,0.8858026666666666,0.9691356666666667,0.9012343333333334,0.9629629999999999
cnae-9,autosklearn,0.9567899999999999,0.9197533333333333,0.9691356666666667,0.9228396666666666,0.9567899999999999
cnae-9,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_overall_max,0.944444,0.8611110000000001,0.935185,0.8888889999999999,0.944444
cnae-9,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_overall_max_stackinstance,0.953704,0.8888889999999999,0.944444,0.87963,0.953704
cnae-9,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max,0.9629629999999999,0.9043206666666667,0.9537036666666666,0.9290123333333334,0.944444
cnae-9,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max_stackinstance,0.9691356666666667,0.9166666666666666,0.9629629999999999,0.9228396666666666,0.9475306666666666
cnae-9,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max,0.944444,0.882716,0.941358,0.8950616666666665,0.9475306666666666
cnae-9,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,0.9444443333333333,0.9104939999999999,0.953704,0.907407,0.944444
cnae-9,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_perrun_max,0.9629629999999999,0.9104936666666666,0.953704,0.9320986666666666,0.9598766666666667
cnae-9,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_perrun_max_stackinstance,0.972222,0.9074073333333333,0.9629629999999999,0.935185,0.9598763333333333
connect-4,AutoGluon,0.7581203333333333,0.7494833333333334,0.7689509999999999,0.7566636666666667,0.7652990000000001
connect-4,autosklearn,0.742962,0.7519870000000001,0.765966,0.7525729999999999,0.7642409999999998
connect-4,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_overall_max,0.706462,0.715627,0.725324,0.707871,0.716446
connect-4,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_overall_max_stackinstance,0.7554890000000002,0.763958,0.7669289999999999,0.7538279999999999,0.764063
connect-4,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max,0.750838,0.7497919999999999,0.76451,0.754877,0.7630979999999999
connect-4,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max_stackinstance,0.7544270000000001,0.759994,0.7698619999999999,0.7546609999999999,0.7648809999999999
connect-4,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max,0.7047690000000001,0.713726,0.722512,0.7060460000000001,0.715629
connect-4,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,0.742962,0.7519870000000001,0.765966,0.7525729999999999,0.7642409999999998
connect-4,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_perrun_max,0.7047690000000001,0.713726,0.722512,0.7060460000000001,0.715629
connect-4,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_perrun_max_stackinstance,0.742962,0.7519870000000001,0.765966,0.7525729999999999,0.7642409999999998
higgs,AutoGluon,0.7300473333333333,0.7209976666666668,0.7273826666666666,0.7296450000000001,0.729551
higgs,autosklearn,0.7353556666666666,0.721588,0.730212,0.730715,0.735246
higgs,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_overall_max,0.738552,0.7241050000000001,0.735937,0.73455,0.735343
higgs,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_overall_max_stackinstance,0.736201,0.7213970000000001,0.7303386666666668,0.7344743333333333,0.735002
higgs,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max,0.7376229999999998,0.724053,0.735291,0.734807,0.738099
higgs,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max_stackinstance,0.736009,0.7215863333333333,0.7302949999999999,0.7345783333333333,0.7345266666666666
higgs,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max,0.7390260000000001,0.721845,0.7334710000000001,0.7355119999999999,0.734541
higgs,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,0.7356380000000001,0.721588,0.730212,0.731179,0.735246
higgs,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_perrun_max,0.7390260000000001,0.721845,0.7334710000000001,0.7355119999999999,0.734541
higgs,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_perrun_max_stackinstance,0.7356380000000001,0.721588,0.730212,0.731179,0.735246
kr-vs-kp,AutoGluon,0.993738,0.98503,0.9956426666666666,1.0,1.0
kr-vs-kp,autosklearn,0.995734,0.986028,0.9967320000000001,1.0,1.0
kr-vs-kp,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_overall_max,0.994736,0.9880239999999999,0.9967320000000001,1.0,1.0
kr-vs-kp,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_overall_max_stackinstance,0.0,0.0,0.0,0.0,0.0
kr-vs-kp,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max,0.9967320000000001,0.98503,0.9967320000000001,1.0,1.0
kr-vs-kp,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max_stackinstance,0.0,0.0,0.0,0.0,0.3333333333333333
kr-vs-kp,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max,0.9967320000000001,0.9880239999999999,0.9967320000000001,1.0,1.0
kr-vs-kp,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,0.9967320000000001,0.991018,0.9967320000000001,0.997006,1.0
kr-vs-kp,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_perrun_max,0.9967320000000001,0.98503,0.9967320000000001,1.0,1.0
kr-vs-kp,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_perrun_max_stackinstance,0.9967320000000001,0.986028,0.9967320000000001,1.0,1.0
segment,AutoGluon,0.991342,0.9855700000000001,0.9956710000000001,0.991342,0.9956710000000001
segment,autosklearn,0.991342,0.974026,0.989899,0.9927849999999999,1.0
segment,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_overall_max,0.991342,0.987013,0.991342,0.991342,0.9956710000000001
segment,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_overall_max_stackinstance,0.991342,0.987013,0.991342,0.991342,0.9956710000000001
segment,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max,0.991342,0.9797980000000001,0.9927849999999999,0.987013,0.9956710000000001
segment,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max_stackinstance,0.991342,0.987013,0.994228,0.987013,0.997114
segment,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max,0.991342,0.987013,0.991342,0.991342,0.9956710000000001
segment,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,0.6565656666666667,0.987013,0.6464646666666667,0.9956710000000001,1.0
segment,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_perrun_max,0.991342,0.976912,0.991342,0.9884559999999999,0.9956710000000001
segment,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_perrun_max_stackinstance,0.6594516666666667,0.6479076666666667,0.9884560000000001,0.9913420000000001,1.0
vehicle,AutoGluon,0.8475286666666667,0.8405483333333335,0.8484846666666667,0.8670276666666666,0.8528136666666667
vehicle,autosklearn,0.8830629999999999,0.8174603333333333,0.8291846666666666,0.8371213333333333,0.8535353333333333
vehicle,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_overall_max,0.879293,0.83658,0.7981599999999999,0.7902233333333334,0.8493866666666667
vehicle,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_overall_max_stackinstance,0.871158,0.8098846666666667,0.0,0.2748916666666667,0.0
vehicle,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max,0.8717353333333334,0.8098846666666666,0.8098846666666667,0.8064576666666667,0.829726
vehicle,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max_stackinstance,0.8630413333333333,0.806638,0.7790403333333332,0.2705626666666667,0.0
vehicle,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max,0.8700760000000001,0.812175,0.7321430000000001,0.812771,0.8376620000000002
vehicle,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,0.290386,0.2790403333333333,0.22474733333333333,0.8138529999999999,0.27525266666666665
vehicle,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_perrun_max,0.8284633333333332,0.8172796666666665,0.7169913333333332,0.819805,0.8295456666666666
vehicle,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_perrun_max_stackinstance,0.2949133333333333,0.5467173333333334,0.49511166666666667,0.8167390000000001,0.2790403333333333
