,index,constraint,fold,model,overfit,task,test,tool,train,val,seed
0,0,3600s4c8G,0,best_ensemble_model,,Albert,0.6857770000000001,autosklearn,,,0
1,1,3600s4c8G,1,best_ensemble_model,,Albert,0.687588,autosklearn,,,0
2,2,3600s4c8G,2,best_ensemble_model,,Albert,0.6869529999999999,autosklearn,,,0
3,3,3600s4c8G,3,best_ensemble_model,,Albert,0.684884,autosklearn,,,0
4,4,3600s4c8G,4,best_ensemble_model,,Albert,0.686624,autosklearn,,,0
5,5,3600s4c8G,0,best_ensemble_model,,Australian,0.8493209999999999,autosklearn,,,0
6,6,3600s4c8G,1,best_ensemble_model,,Australian,0.8476229999999999,autosklearn,,,0
7,7,3600s4c8G,2,best_ensemble_model,,Australian,0.820034,autosklearn,,,0
8,8,3600s4c8G,3,best_ensemble_model,,Australian,0.8302209999999999,autosklearn,,,0
9,9,3600s4c8G,4,best_ensemble_model,,Australian,0.8989809999999999,autosklearn,,,0
10,10,3600s4c8G,0,best_ensemble_model,,MiniBooNE,0.938398,autosklearn,,,0
11,11,3600s4c8G,1,best_ensemble_model,,MiniBooNE,0.936117,autosklearn,,,0
12,12,3600s4c8G,2,best_ensemble_model,,MiniBooNE,0.9387,autosklearn,,,0
13,13,3600s4c8G,3,best_ensemble_model,,MiniBooNE,0.943648,autosklearn,,,0
14,14,3600s4c8G,4,best_ensemble_model,,MiniBooNE,0.94222,autosklearn,,,0
15,15,3600s4c8G,0,best_ensemble_model,,adult,0.849767,autosklearn,,,0
16,16,3600s4c8G,1,best_ensemble_model,,adult,0.837686,autosklearn,,,0
17,17,3600s4c8G,2,best_ensemble_model,,adult,0.8485370000000001,autosklearn,,,0
18,18,3600s4c8G,3,best_ensemble_model,,adult,0.842726,autosklearn,,,0
19,19,3600s4c8G,4,best_ensemble_model,,adult,0.8391549999999999,autosklearn,,,0
20,20,3600s4c8G,0,best_ensemble_model,,cnae-9,0.972222,autosklearn,,,0
21,21,3600s4c8G,1,best_ensemble_model,,cnae-9,0.925926,autosklearn,,,0
22,22,3600s4c8G,2,best_ensemble_model,,cnae-9,0.972222,autosklearn,,,0
23,23,3600s4c8G,3,best_ensemble_model,,cnae-9,0.944444,autosklearn,,,0
24,24,3600s4c8G,4,best_ensemble_model,,cnae-9,0.972222,autosklearn,,,0
25,25,3600s4c8G,0,best_ensemble_model,,connect-4,0.759015,autosklearn,,,0
26,26,3600s4c8G,1,best_ensemble_model,,connect-4,0.755568,autosklearn,,,0
27,27,3600s4c8G,2,best_ensemble_model,,connect-4,0.764183,autosklearn,,,0
28,28,3600s4c8G,3,best_ensemble_model,,connect-4,0.753131,autosklearn,,,0
29,29,3600s4c8G,4,best_ensemble_model,,connect-4,0.75803,autosklearn,,,0
30,30,3600s4c8G,0,best_ensemble_model,,higgs,0.734107,autosklearn,,,0
31,31,3600s4c8G,1,best_ensemble_model,,higgs,0.72058,autosklearn,,,0
32,32,3600s4c8G,2,best_ensemble_model,,higgs,0.729282,autosklearn,,,0
33,33,3600s4c8G,3,best_ensemble_model,,higgs,0.731178,autosklearn,,,0
34,34,3600s4c8G,4,best_ensemble_model,,higgs,0.735596,autosklearn,,,0
35,35,3600s4c8G,0,best_ensemble_model,,kr-vs-kp,0.993738,autosklearn,,,0
36,36,3600s4c8G,1,best_ensemble_model,,kr-vs-kp,0.98503,autosklearn,,,0
37,37,3600s4c8G,2,best_ensemble_model,,kr-vs-kp,0.996732,autosklearn,,,0
38,38,3600s4c8G,3,best_ensemble_model,,kr-vs-kp,1.0,autosklearn,,,0
39,39,3600s4c8G,4,best_ensemble_model,,kr-vs-kp,1.0,autosklearn,,,0
40,40,3600s4c8G,0,best_ensemble_model,,segment,0.987013,autosklearn,,,0
41,41,3600s4c8G,1,best_ensemble_model,,segment,0.987013,autosklearn,,,0
42,42,3600s4c8G,2,best_ensemble_model,,segment,0.987013,autosklearn,,,0
43,43,3600s4c8G,3,best_ensemble_model,,segment,0.995671,autosklearn,,,0
44,44,3600s4c8G,4,best_ensemble_model,,segment,1.0,autosklearn,,,0
45,45,3600s4c8G,0,best_ensemble_model,,vehicle,0.871699,autosklearn,,,0
46,46,3600s4c8G,1,best_ensemble_model,,vehicle,0.848485,autosklearn,,,0
47,47,3600s4c8G,2,best_ensemble_model,,vehicle,0.825758,autosklearn,,,0
48,48,3600s4c8G,3,best_ensemble_model,,vehicle,0.826299,autosklearn,,,0
49,49,3600s4c8G,4,best_ensemble_model,,vehicle,0.885281,autosklearn,,,0
50,50,14400s1c8G,0,best_ensemble_model,,Albert,0.687964,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamic,,,0
51,51,14400s1c8G,1,best_ensemble_model,,Albert,0.689281,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamic,,,0
52,52,14400s1c8G,2,best_ensemble_model,,Albert,0.6911390000000001,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamic,,,0
53,53,14400s1c8G,3,best_ensemble_model,,Albert,0.688294,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamic,,,0
54,54,14400s1c8G,4,best_ensemble_model,,Albert,0.691492,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamic,,,0
55,55,14400s1c8G,0,best_ensemble_model,,Australian,0.8726659999999999,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamic,,,0
56,56,14400s1c8G,1,best_ensemble_model,,Australian,0.8314940000000001,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamic,,,0
57,57,14400s1c8G,2,best_ensemble_model,,Australian,0.84635,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamic,,,0
58,58,14400s1c8G,3,best_ensemble_model,,Australian,0.8433790000000001,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamic,,,0
59,59,14400s1c8G,4,best_ensemble_model,,Australian,0.8989809999999999,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamic,,,0
60,60,14400s1c8G,0,best_ensemble_model,,MiniBooNE,0.93801,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamic,,,0
