tool,Albert,Australian,MiniBooNE,adult,cnae-9,connect-4,higgs,kr-vs-kp,segment,vehicle
autosklearn,2.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0
autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny_dynamic,1.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0
autosklearnEnsembleIntensification_10incumbents_repeats5_folds5_level2_20diversestacks_stackAny_dynamicParallel,3.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0
