,hue,performance,model,dataset_name,level,repeat,seed,val_score,estimated_val_score
0,test_performance_singlemodelTrue,0.9854407979407979,HistGradientBoostingClassifier,146822,0,5,61,0.9529288688988576,0.9718939660067706
1,test_performance_singlemodelTrue,0.9838174213174213,RandomForestClassifier,146822,0,5,61,0.9523736347084013,0.9688570737534526
2,test_performance_singlemodelTrue,0.9823293260793261,DecisionTreeClassifier,146822,0,5,61,0.8978811811392432,0.9510782147838956
3,test_performance_singlemodelTrue,0.9252844565344566,LinearDiscriminantAnalysis,146822,0,5,61,0.8965916655670856,0.901958826832519
4,test_performance_singlemodelTrue,0.9857479232479233,XGBClassifier,146822,0,5,61,0.9522651906611621,0.970610986944513
5,test_performance_singlemodelTrue,0.9741649116649116,GradientBoostingClassifier,146822,0,5,61,0.9463607063127214,0.9675334922632379
6,test_performance_singlemodelTrue,0.9818869193869194,LGBMClassifier,146822,0,5,61,0.9506810434283596,0.9685148546061848
7,test_performance_singlemodelTrue,0.9639091201591201,MLPClassifier,146822,0,5,61,0.9085949209617087,0.947373437036829
8,test_performance_singlemodelTrue,0.9800916988416989,HistGradientBoostingClassifier,146822,1,5,61,0.9603558647231166,0.9717133980741559
9,test_performance_singlemodelTrue,0.9823293260793261,RandomForestClassifier,146822,1,5,61,0.9620438896390918,0.9677065590799048
10,test_performance_singlemodelTrue,0.9668853106353107,DecisionTreeClassifier,146822,1,5,61,0.9178713226303129,0.9501047800271057
11,test_performance_singlemodelTrue,0.9252844565344566,LinearDiscriminantAnalysis,146822,1,5,61,0.9023818822948023,0.9022594016272986
12,test_performance_singlemodelTrue,0.9799564174564175,XGBClassifier,146822,1,5,61,0.9601165236042354,0.9691719538802093
13,test_performance_singlemodelTrue,0.9768449455949456,GradientBoostingClassifier,146822,1,5,61,0.9567901888580638,0.9663001893522555
14,test_performance_singlemodelTrue,0.9803988241488242,LGBMClassifier,146822,1,5,61,0.9625466589333332,0.9686830932025147
15,test_performance_singlemodelTrue,0.9674499009942048,MLPClassifier,146822,1,5,61,0.9352134311757282,0.9532911402655623
16,test_performance_singlemodelTrue,0.9803988241488242,HistGradientBoostingClassifier,146822,2,5,61,0.9614139870602657,0.9722724994233698
17,test_performance_singlemodelTrue,0.9823293260793261,RandomForestClassifier,146822,2,5,61,0.9592537110676632,0.9677245882696026
18,test_performance_singlemodelTrue,0.9803988241488242,DecisionTreeClassifier,146822,2,5,61,0.9229093266722395,0.9488994426006367
19,test_performance_singlemodelTrue,0.9252844565344566,LinearDiscriminantAnalysis,146822,2,5,61,0.9023818822948023,0.9021378210801863
20,test_performance_singlemodelTrue,0.9818869193869195,XGBClassifier,146822,2,5,61,0.9590550348711504,0.9696257616240426
21,test_performance_singlemodelTrue,0.975221568971569,GradientBoostingClassifier,146822,2,5,61,0.956232153143778,0.9674085972171347
22,test_performance_singlemodelTrue,0.9842598280098279,LGBMClassifier,146822,2,5,61,0.9603145160761903,0.968842038239496
23,test_performance_singlemodelTrue,0.9674499009942049,MLPClassifier,146822,2,5,61,0.9390102521582898,0.9539945732277316
24,test_performance_singlemodelTrue,0.9784683222183223,HistGradientBoostingClassifier,146822,3,5,61,0.9603507334869436,0.9701341624832426
25,test_performance_singlemodelTrue,0.9823293260793261,RandomForestClassifier,146822,3,5,61,0.9614858539248061,0.9676082340356013
26,test_performance_singlemodelTrue,0.969097344097344,DecisionTreeClassifier,146822,3,5,61,0.9216514760293204,0.9496910912685209
27,test_performance_singlemodelTrue,0.9252844565344566,LinearDiscriminantAnalysis,146822,3,5,61,0.9023818822948023,0.9021378210801863
28,test_performance_singlemodelTrue,0.9838174213174213,XGBClassifier,146822,3,5,61,0.9602280704209453,0.9696920831786374
29,test_performance_singlemodelTrue,0.977152070902071,GradientBoostingClassifier,146822,3,5,61,0.9545886313575931,0.9656578680547659
30,test_performance_singlemodelTrue,0.9842598280098279,LGBMClassifier,146822,3,5,61,0.960872551790476,0.9684889870353811
31,test_performance_singlemodelTrue,0.9659618057561096,MLPClassifier,146822,3,5,61,0.9459429190791292,0.9530748672766114
32,test_performance_singlemodelTrue,0.9803988241488242,HistGradientBoostingClassifier,146822,4,5,61,0.9541376432350087,0.9699251558036477
33,test_performance_singlemodelTrue,0.9823293260793261,RandomForestClassifier,146822,4,5,61,0.9609278182105204,0.9670566287781136
34,test_performance_singlemodelTrue,0.9701430326430327,DecisionTreeClassifier,146822,4,5,61,0.9085821139525173,0.9480711752483165
35,test_performance_singlemodelTrue,0.9252844565344566,LinearDiscriminantAnalysis,146822,4,5,61,0.9023818822948023,0.9021378210801863
36,test_performance_singlemodelTrue,0.9838174213174213,XGBClassifier,146822,4,5,61,0.9596700347066596,0.9701616346027082
37,test_performance_singlemodelTrue,0.9790825728325728,GradientBoostingClassifier,146822,4,5,61,0.9540045095116436,0.9662156573243198
38,test_performance_singlemodelTrue,0.9842598280098279,LGBMClassifier,146822,4,5,61,0.9631269271461961,0.968962788077893
39,test_performance_singlemodelTrue,0.9693804029247068,MLPClassifier,146822,4,5,61,0.9437041591977062,0.9533260965066512
40,test_performance_singlemodelTrue,0.9820222007722007,HistGradientBoostingClassifier,146822,5,5,61,0.9557745479969135,0.9691177532354192
41,test_performance_singlemodelTrue,0.9823293260793261,RandomForestClassifier,146822,5,5,61,0.9603697824962347,0.9666106042144422
42,test_performance_singlemodelTrue,0.9750497250497251,DecisionTreeClassifier,146822,5,5,61,0.900958306728814,0.9436861572714599
