,hue,performance,model,dataset_name,level,repeat,seed,val_score,skip
51,test_performance_singlemodelTrue,0.7748996808962296,GradientBoostingClassifier,53,0,1,57,0.7683166633011868,False
52,test_performance_singlemodelTrue,0.7585898782866612,LGBMClassifier,53,0,1,57,0.7572038798374099,False
53,test_performance_singlemodelTrue,0.6042567386459905,MLPClassifier,53,0,1,57,0.6047821521745362,False
54,test_performance_singlemodelTrue,0.7697976400799031,RandomForestClassifier,53,1,1,57,0.7574541484525649,False
55,test_performance_singlemodelTrue,0.7148090757729608,DecisionTreeClassifier,53,1,1,57,0.6739974920942384,False
56,test_performance_singlemodelTrue,0.7743244723831437,XGBClassifier,53,1,1,57,0.7496861612089801,False
57,test_performance_singlemodelTrue,0.7544664745391974,GradientBoostingClassifier,53,1,1,57,0.7493571699679531,False
58,test_performance_singlemodelTrue,0.7703347948325145,LGBMClassifier,53,1,1,57,0.7374710272691125,False
59,test_performance_singlemodelTrue,0.6441215255155844,MLPClassifier,53,1,1,57,0.6248807280156258,False
60,test_performance_singlemodelTrue,0.7437122274851845,RandomForestClassifier,53,2,1,57,0.7485578295396896,False
61,test_performance_singlemodelTrue,0.6504336563500868,DecisionTreeClassifier,53,2,1,57,0.6871962498582136,False
62,test_performance_singlemodelTrue,0.7754954325704972,XGBClassifier,53,2,1,57,0.7404344803387418,False
63,test_performance_singlemodelTrue,0.7399014710859897,GradientBoostingClassifier,53,2,1,57,0.7270539710793094,False
64,test_performance_singlemodelTrue,0.7611343933604503,LGBMClassifier,53,2,1,57,0.7292833677983405,False
65,test_performance_singlemodelTrue,0.629918472997482,MLPClassifier,53,2,1,57,0.5975929184070561,False
66,test_performance_singlemodelTrue,0.7324208256785602,RandomForestClassifier,53,3,1,57,0.7467728008146954,False
67,test_performance_singlemodelTrue,0.7191950406852415,DecisionTreeClassifier,53,3,1,57,0.6769023219318353,False
68,test_performance_singlemodelTrue,0.7456373173370585,XGBClassifier,53,3,1,57,0.7309706651684049,False
69,test_performance_singlemodelTrue,0.7480981923974652,GradientBoostingClassifier,53,3,1,57,0.7304946289433765,False
70,test_performance_singlemodelTrue,0.7302359137500269,LGBMClassifier,53,3,1,57,0.7340441974763887,False
71,test_performance_singlemodelTrue,0.6476793075585137,MLPClassifier,53,3,1,57,0.6000420840796596,False
72,test_performance_singlemodelFalse,0.7577521086087584,RandomForestClassifier,53,0,1,57,0.7460464959745121,False
73,test_performance_singlemodelFalse,0.6731573273542952,DecisionTreeClassifier,53,0,1,57,0.7008471271266405,False
74,test_performance_singlemodelFalse,0.7876482776026718,XGBClassifier,53,0,1,57,0.7758984974378726,False
75,test_performance_singlemodelFalse,0.7595935584472501,GradientBoostingClassifier,53,0,1,57,0.7728837831234894,False
76,test_performance_singlemodelFalse,0.7585898782866612,LGBMClassifier,53,0,1,57,0.7572038798374099,False
77,test_performance_singlemodelFalse,0.6215088854063339,MLPClassifier,53,0,1,57,0.6536489982088168,False
78,test_performance_singlemodelFalse,0.7957613589007648,RandomForestClassifier,53,1,1,57,0.7582212363651322,False
79,test_performance_singlemodelFalse,0.7784372132517084,DecisionTreeClassifier,53,1,1,57,0.6958749421947665,False
80,test_performance_singlemodelFalse,0.7954737546442218,XGBClassifier,53,1,1,57,0.7490868019589586,False
81,test_performance_singlemodelFalse,0.7866576081108314,GradientBoostingClassifier,53,1,1,57,0.7431017789677451,False
82,test_performance_singlemodelFalse,0.7779943613913786,LGBMClassifier,53,1,1,57,0.7386378827765957,False
83,test_performance_singlemodelFalse,0.7577428152739382,MLPClassifier,53,1,1,57,0.7185898670386145,False
84,test_performance_singlemodelFalse,0.8037554855131583,RandomForestClassifier,53,2,1,57,0.7109885177927936,False
85,test_performance_singlemodelFalse,0.7750669609229944,DecisionTreeClassifier,53,2,1,57,0.6771217013622715,False
86,test_performance_singlemodelFalse,0.8027518053525696,XGBClassifier,53,2,1,57,0.7138677559603273,False
87,test_performance_singlemodelFalse,0.7904567233853564,GradientBoostingClassifier,53,2,1,57,0.7038567386879364,False
88,test_performance_singlemodelFalse,0.7832636822344698,LGBMClassifier,53,2,1,57,0.7027811484513184,False
89,test_performance_singlemodelFalse,0.8060240374550741,MLPClassifier,53,2,1,57,0.7276459683420524,False
90,test_performance_singlemodelFalse,0.7570360327047125,RandomForestClassifier,53,3,1,57,0.7247158584529013,False
91,test_performance_singlemodelFalse,0.7403299427334926,DecisionTreeClassifier,53,3,1,57,0.6821965256405942,False
92,test_performance_singlemodelFalse,0.7770743212441721,XGBClassifier,53,3,1,57,0.7305007055043047,False
93,test_performance_singlemodelFalse,0.7494731168279795,GradientBoostingClassifier,53,3,1,57,0.747327559665596,False
94,test_performance_singlemodelFalse,0.7448245907508819,LGBMClassifier,53,3,1,57,0.7228604428971547,False
95,test_performance_singlemodelFalse,0.7654689025452,MLPClassifier,53,3,1,57,0.7072763233503228,False
96,test_performance_singlemodelTrue,0.747464386962723,RandomForestClassifier,53,0,2,57,0.7387986389749994,True
97,test_performance_singlemodelTrue,0.6811044981697021,DecisionTreeClassifier,53,0,2,57,0.6740326660334579,True
98,test_performance_singlemodelTrue,0.7784478761306075,XGBClassifier,53,0,2,57,0.7488475958008782,True
99,test_performance_singlemodelTrue,0.7667029595847543,GradientBoostingClassifier,53,0,2,57,0.7439774659307483,True
100,test_performance_singlemodelTrue,0.7753531956354587,LGBMClassifier,53,0,2,57,0.7403895683211117,True
101,test_performance_singlemodelTrue,0.6754522919320158,MLPClassifier,53,0,2,57,0.6233998779078681,True
102,test_performance_singlemodelTrue,0.791375393988484,RandomForestClassifier,53,1,2,57,0.7519266203850856,True
103,test_performance_singlemodelTrue,0.6947015274329461,DecisionTreeClassifier,53,1,2,57,0.6512609876686324,True
104,test_performance_singlemodelTrue,0.8178070077614019,XGBClassifier,53,1,2,57,0.7445504544644338,True
105,test_performance_singlemodelTrue,0.7769070412174073,GradientBoostingClassifier,53,1,2,57,0.7342110302357208,True
106,test_performance_singlemodelTrue,0.7886519577632606,LGBMClassifier,53,1,2,57,0.7214101703556066,True
107,test_performance_singlemodelTrue,0.6709316225771298,MLPClassifier,53,1,2,57,0.6293283421396724,True
108,test_performance_singlemodelTrue,0.770967230723178,RandomForestClassifier,53,2,2,57,0.735370134232789,True
109,test_performance_singlemodelTrue,0.7143685717024801,DecisionTreeClassifier,53,2,2,57,0.6614383702725914,True
110,test_performance_singlemodelTrue,0.8040417202256226,XGBClassifier,53,2,2,57,0.7492147213569615,True
