,single_model,dataset_name,model,level,repeat,iteration,seed,performance,skip
77,True,146822,GradientBoostingClassifier,2,1,12,31,0.9584305411662382,True
78,True,146822,GradientBoostingClassifier,2,1,13,31,0.9516028100738011,True
79,True,146822,GradientBoostingClassifier,2,1,14,31,0.9516028100738011,True
80,True,146822,LGBMClassifier,2,1,10,31,0.9669117647058824,True
81,True,146822,LGBMClassifier,2,1,11,31,0.9582983193277312,True
82,True,146822,LGBMClassifier,2,1,12,31,0.9582983193277312,True
83,True,146822,LGBMClassifier,2,1,13,31,0.9565126050420167,True
84,True,146822,LGBMClassifier,2,1,14,31,0.9565126050420167,True
85,True,146822,MLPClassifier,2,1,10,31,0.9756302521008404,True
86,True,146822,MLPClassifier,2,1,11,31,0.9703781512605042,True
87,True,146822,MLPClassifier,2,1,12,31,0.9652310924369748,True
88,True,146822,MLPClassifier,2,1,13,31,0.9532563025210085,True
89,True,146822,MLPClassifier,2,1,14,31,0.9532563025210085,True
90,True,146822,RandomForestClassifier,3,1,15,31,0.9788203637619431,True
91,True,146822,RandomForestClassifier,3,1,16,31,0.9667405318291701,True
92,True,146822,RandomForestClassifier,3,1,17,31,0.9650598595602625,True
93,True,146822,RandomForestClassifier,3,1,18,31,0.963379187291355,True
94,True,146822,RandomForestClassifier,3,1,19,31,0.963379187291355,True
95,True,146822,DecisionTreeClassifier,3,1,15,31,0.9737783469552205,True
96,True,146822,DecisionTreeClassifier,3,1,16,31,0.9480313815023725,True
97,True,146822,DecisionTreeClassifier,3,1,17,31,0.9293339025107761,True
98,True,146822,DecisionTreeClassifier,3,1,18,31,0.9187635099701982,True
99,True,146822,DecisionTreeClassifier,3,1,19,31,0.9119357788777612,True
100,True,146822,XGBClassifier,3,1,15,31,0.9702731092436975,True
101,True,146822,XGBClassifier,3,1,16,31,0.9668067226890756,True
102,True,146822,XGBClassifier,3,1,17,31,0.9668067226890756,True
103,True,146822,XGBClassifier,3,1,18,31,0.961764705882353,True
104,True,146822,XGBClassifier,3,1,19,31,0.9565126050420167,True
105,True,146822,GradientBoostingClassifier,3,1,15,31,0.9720860033511122,True
106,True,146822,GradientBoostingClassifier,3,1,16,31,0.9616868436872466,True
107,True,146822,GradientBoostingClassifier,3,1,17,31,0.9634725579729609,True
108,True,146822,GradientBoostingClassifier,3,1,18,31,0.9565397848637173,True
109,True,146822,GradientBoostingClassifier,3,1,19,31,0.9565397848637173,True
110,True,146822,LGBMClassifier,3,1,15,31,0.9738445378151261,True
111,True,146822,LGBMClassifier,3,1,16,31,0.9703781512605042,True
112,True,146822,LGBMClassifier,3,1,17,31,0.9703781512605042,True
113,True,146822,LGBMClassifier,3,1,18,31,0.9633403361344539,True
114,True,146822,LGBMClassifier,3,1,19,31,0.9599789915966388,True
115,True,146822,MLPClassifier,3,1,15,31,0.9741596638655462,True
116,True,146822,MLPClassifier,3,1,16,31,0.9634453781512605,True
117,True,146822,MLPClassifier,3,1,17,31,0.9600840336134454,True
118,True,146822,MLPClassifier,3,1,18,31,0.9565126050420167,True
119,True,146822,MLPClassifier,3,1,19,31,0.9515756302521009,True
120,False,146822,RandomForestClassifier,0,1,0,31,0.9774159663865546,True
121,False,146822,RandomForestClassifier,0,1,1,31,0.9671218487394958,True
122,False,146822,RandomForestClassifier,0,1,2,31,0.9600178427535397,True
123,False,146822,RandomForestClassifier,0,1,3,31,0.9583371704846322,True
124,False,146822,RandomForestClassifier,0,1,4,31,0.9512993553585817,True
125,False,146822,DecisionTreeClassifier,0,1,0,31,0.9668455738459768,True
126,False,146822,DecisionTreeClassifier,0,1,1,31,0.9494085990560608,True
127,False,146822,DecisionTreeClassifier,0,1,2,31,0.9425808679636237,True
128,False,146822,DecisionTreeClassifier,0,1,3,31,0.9358465075527928,True
129,False,146822,DecisionTreeClassifier,0,1,4,31,0.9202886177301971,True
130,False,146822,XGBClassifier,0,1,0,31,0.9842436974789915,True
131,False,146822,XGBClassifier,0,1,1,31,0.9705882352941178,True
132,False,146822,XGBClassifier,0,1,2,31,0.9686312881316911,True
133,False,146822,XGBClassifier,0,1,3,31,0.9687363301484978,True
134,False,146822,XGBClassifier,0,1,4,31,0.9566448268805238,True
135,False,146822,GradientBoostingClassifier,0,1,0,31,0.9772330621746416,True
136,False,146822,GradientBoostingClassifier,0,1,1,31,0.9632624739393475,True
137,False,146822,GradientBoostingClassifier,0,1,2,31,0.9599011294015324,True
138,False,146822,GradientBoostingClassifier,0,1,3,31,0.9527582722586752,True
139,False,146822,GradientBoostingClassifier,0,1,4,31,0.9475061714183389,True
140,False,146822,LGBMClassifier,0,1,0,31,0.9789915966386555,True
141,False,146822,LGBMClassifier,0,1,1,31,0.961488430988834,True
142,False,146822,LGBMClassifier,0,1,2,31,0.9598077587199264,True
143,False,146822,LGBMClassifier,0,1,3,31,0.9598077587199264,True
144,False,146822,LGBMClassifier,0,1,4,31,0.9511826420065744,True
145,False,146822,MLPClassifier,0,1,0,31,0.9701680672268908,True
146,False,146822,MLPClassifier,0,1,1,31,0.9545168067226891,True
147,False,146822,MLPClassifier,0,1,2,31,0.9294117647058824,True
148,False,146822,MLPClassifier,0,1,3,31,0.927626050420168,True
149,False,146822,MLPClassifier,0,1,4,31,0.9222689075630253,True
150,False,146822,RandomForestClassifier,1,1,5,31,0.9738445378151261,True
151,False,146822,RandomForestClassifier,1,1,6,31,0.970483193277311,True
152,False,146822,RandomForestClassifier,1,1,7,31,0.9685262461148844,True
153,False,146822,RandomForestClassifier,1,1,8,31,0.9723739495798319,True
154,False,146822,RandomForestClassifier,1,1,9,31,0.9723739495798319,True
155,False,146822,DecisionTreeClassifier,1,1,5,31,0.9751438931737079,True
156,False,146822,DecisionTreeClassifier,1,1,6,31,0.9530850696442961,True
157,False,146822,DecisionTreeClassifier,1,1,7,31,0.9321817082997582,True
158,False,146822,DecisionTreeClassifier,1,1,8,31,0.9306060780476574,True
159,False,146822,DecisionTreeClassifier,1,1,9,31,0.9341775066190859,True
160,False,146822,XGBClassifier,1,1,5,31,0.9771008403361344,True
161,False,146822,XGBClassifier,1,1,6,31,0.9703781512605042,True
162,False,146822,XGBClassifier,1,1,7,31,0.9648497755266491,True
163,False,146822,XGBClassifier,1,1,8,31,0.9634453781512605,True
164,False,146822,XGBClassifier,1,1,9,31,0.961764705882353,True
165,False,146822,GradientBoostingClassifier,1,1,5,31,0.9738445378151261,True
166,False,146822,GradientBoostingClassifier,1,1,6,31,0.9671218487394958,True
167,False,146822,GradientBoostingClassifier,1,1,7,31,0.9616985150224474,True
168,False,146822,GradientBoostingClassifier,1,1,8,31,0.9602941176470587,True
169,False,146822,GradientBoostingClassifier,1,1,9,31,0.9602941176470587,True
170,False,146822,LGBMClassifier,1,1,5,31,0.9736344537815126,True
171,False,146822,LGBMClassifier,1,1,6,31,0.971953781512605,True
172,False,146822,LGBMClassifier,1,1,7,31,0.9699968343501784,True
173,False,146822,LGBMClassifier,1,1,8,31,0.9633403361344539,True
174,False,146822,LGBMClassifier,1,1,9,31,0.9597027167031198,True
175,False,146822,MLPClassifier,1,1,5,31,0.9826680672268908,True
176,False,146822,MLPClassifier,1,1,6,31,0.9759453781512606,True
177,False,146822,MLPClassifier,1,1,7,31,0.9688413721653044,True
178,False,146822,MLPClassifier,1,1,8,31,0.9688413721653044,True
179,False,146822,MLPClassifier,1,1,9,31,0.9688413721653044,True
180,False,146822,RandomForestClassifier,2,1,10,31,0.9793067226890757,True
181,False,146822,RandomForestClassifier,2,1,11,31,0.9793067226890757,True
182,False,146822,RandomForestClassifier,2,1,12,31,0.9775210084033613,True
183,False,146822,RandomForestClassifier,2,1,13,31,0.9758403361344538,True
184,False,146822,RandomForestClassifier,2,1,14,31,0.9758403361344538,True
185,False,146822,DecisionTreeClassifier,2,1,10,31,0.9771008403361344,True
186,False,146822,DecisionTreeClassifier,2,1,11,31,0.9582983193277312,True
187,False,146822,DecisionTreeClassifier,2,1,12,31,0.9551470588235293,True
188,False,146822,DecisionTreeClassifier,2,1,13,31,0.9465336134453782,True
189,False,146822,DecisionTreeClassifier,2,1,14,31,0.9431722689075631,True
190,False,146822,XGBClassifier,2,1,10,31,0.9807773109243697,True
191,False,146822,XGBClassifier,2,1,11,31,0.9723739495798319,True
192,False,146822,XGBClassifier,2,1,12,31,0.9669506158627834,True
193,False,146822,XGBClassifier,2,1,13,31,0.9671218487394958,True
194,False,146822,XGBClassifier,2,1,14,31,0.9671218487394958,True
195,False,146822,GradientBoostingClassifier,2,1,10,31,0.9775210084033613,True
196,False,146822,GradientBoostingClassifier,2,1,11,31,0.9705882352941178,True
197,False,146822,GradientBoostingClassifier,2,1,12,31,0.9705882352941178,True
198,False,146822,GradientBoostingClassifier,2,1,13,31,0.9654411764705882,True
199,False,146822,GradientBoostingClassifier,2,1,14,31,0.9672268907563026,True
200,False,146822,LGBMClassifier,2,1,10,31,0.9739495798319329,True
