,hue,performance,model,dataset_name,level,repeat,seed,val_score,skip
10,test_performance_singlemodelTrue,0.7369837637572192,LGBMClassifier,53,1,1,51,0.7286298557447066,True
10,test_performance_singlemodelTrue,0.7703347948325145,LGBMClassifier,53,1,1,57,0.7374710272691125,True
10,test_performance_singlemodelTrue,0.7791162029459902,LGBMClassifier,53,1,1,23,0.7513986881480701,True
10,test_performance_singlemodelTrue,0.7795910125815503,LGBMClassifier,7592,1,1,95,0.7838618768939215,True
10,test_performance_singlemodelTrue,0.78434392801328,LGBMClassifier,7592,1,1,52,0.7876144622982715,True
10,test_performance_singlemodelTrue,0.7846534417294464,LGBMClassifier,7592,1,1,32,0.7842003411560419,True
10,test_performance_singlemodelTrue,0.7847502115729973,LGBMClassifier,7592,1,1,70,0.7848832352878508,True
10,test_performance_singlemodelTrue,0.7866695591279991,LGBMClassifier,53,1,1,75,0.7587671720265305,True
10,test_performance_singlemodelTrue,0.7921602761439686,LGBMClassifier,7592,1,1,49,0.782890799096122,True
10,test_performance_singlemodelTrue,0.7998327813494382,LGBMClassifier,53,1,1,55,0.7548852848101266,True
10,test_performance_singlemodelTrue,0.8505140692640694,LGBMClassifier,146818,1,1,25,0.8446826238448719,True
10,test_performance_singlemodelTrue,0.8556462585034014,LGBMClassifier,146818,1,1,15,0.8377041742286752,True
10,test_performance_singlemodelTrue,0.8726027397260274,LGBMClassifier,146818,1,1,17,0.8424617196702002,True
10,test_performance_singlemodelTrue,0.8796918767507003,LGBMClassifier,146818,1,1,71,0.8599003642274465,True
10,test_performance_singlemodelTrue,0.9076704545454546,LGBMClassifier,146818,1,1,61,0.8394258445690047,True
10,test_performance_singlemodelTrue,0.9448140562492221,LGBMClassifier,146822,1,1,54,0.9681383556344837,True
10,test_performance_singlemodelTrue,0.9506077510537619,LGBMClassifier,146822,1,1,91,0.9684351014226287,True
10,test_performance_singlemodelTrue,0.9581270864510189,LGBMClassifier,146822,1,1,31,0.9654062498818314,True
10,test_performance_singlemodelTrue,0.9658121645636164,LGBMClassifier,146822,1,1,85,0.9631039552103322,True
10,test_performance_singlemodelTrue,0.9680839777771574,LGBMClassifier,146822,1,1,43,0.9545071642181588,True
10,test_performance_singlemodelTrue,0.9858937319432233,LGBMClassifier,3,1,1,36,0.986225283347864,True
10,test_performance_singlemodelTrue,0.987312898239264,LGBMClassifier,3,1,1,98,0.9840162013791257,True
10,test_performance_singlemodelTrue,0.988280366788092,LGBMClassifier,3,1,1,97,0.9845893635571055,True
10,test_performance_singlemodelTrue,0.9912043132092032,LGBMClassifier,3,1,1,21,0.9835793860200193,True
10,test_performance_singlemodelTrue,0.9924268070967337,LGBMClassifier,3,1,1,25,0.9830967039410312,True
100,test_performance_singlemodelTrue,0.7597054009819967,LGBMClassifier,53,0,2,23,0.7347537162002015,True
100,test_performance_singlemodelTrue,0.7680393982212739,LGBMClassifier,7592,0,2,70,0.769246578877132,True
100,test_performance_singlemodelTrue,0.7703167638856478,LGBMClassifier,7592,0,2,32,0.7702602485331782,True
100,test_performance_singlemodelTrue,0.7711086261290065,LGBMClassifier,7592,0,2,95,0.7718579932921814,True
100,test_performance_singlemodelTrue,0.7728607895893624,LGBMClassifier,7592,0,2,52,0.7738940214058114,True
100,test_performance_singlemodelTrue,0.7753531956354587,LGBMClassifier,53,0,2,57,0.7403895683211117,True
100,test_performance_singlemodelTrue,0.7769643613938997,LGBMClassifier,7592,0,2,49,0.7665092719385624,True
100,test_performance_singlemodelTrue,0.7776344233345511,LGBMClassifier,53,0,2,75,0.7349857792520027,True
100,test_performance_singlemodelTrue,0.795595493213845,LGBMClassifier,53,0,2,55,0.7532634493670887,True
100,test_performance_singlemodelTrue,0.8127047043073522,LGBMClassifier,53,0,2,51,0.7440234219612832,True
100,test_performance_singlemodelTrue,0.8465909090909092,LGBMClassifier,146818,0,2,25,0.8638312376912589,True
100,test_performance_singlemodelTrue,0.8572108843537415,LGBMClassifier,146818,0,2,15,0.8413641863278887,True
100,test_performance_singlemodelTrue,0.8740896358543417,LGBMClassifier,146818,0,2,71,0.853992956262605,True
100,test_performance_singlemodelTrue,0.8907534246575342,LGBMClassifier,146818,0,2,17,0.8625532300443961,True
100,test_performance_singlemodelTrue,0.9051001082251082,LGBMClassifier,146818,0,2,61,0.8529465232540525,True
100,test_performance_singlemodelTrue,0.9450615892118766,LGBMClassifier,146822,0,2,91,0.9618940057216755,True
100,test_performance_singlemodelTrue,0.9481344921219755,LGBMClassifier,146822,0,2,54,0.9622103058893153,True
100,test_performance_singlemodelTrue,0.960006171418339,LGBMClassifier,146822,0,2,31,0.9619460641399417,True
100,test_performance_singlemodelTrue,0.9619884621336422,LGBMClassifier,146822,0,2,85,0.9565764667847042,True
100,test_performance_singlemodelTrue,0.963188686327244,LGBMClassifier,146822,0,2,43,0.9585510801166791,True
100,test_performance_singlemodelTrue,0.9872095214169074,LGBMClassifier,3,0,2,36,0.987240802092415,True
100,test_performance_singlemodelTrue,0.987312898239264,LGBMClassifier,3,0,2,98,0.981784955144942,True
100,test_performance_singlemodelTrue,0.9875963889411322,LGBMClassifier,3,0,2,21,0.9825606231938686,True
100,test_performance_singlemodelTrue,0.9884028388393418,LGBMClassifier,3,0,2,97,0.985025283347864,True
100,test_performance_singlemodelTrue,0.9937684157733058,LGBMClassifier,3,0,2,25,0.9851562172802277,True
101,test_performance_singlemodelTrue,0.57120294599018,MLPClassifier,53,0,2,23,0.5941042929165501,True
101,test_performance_singlemodelTrue,0.5812252652722196,MLPClassifier,7592,0,2,49,0.5659211080775003,True
101,test_performance_singlemodelTrue,0.5824779694806494,MLPClassifier,53,0,2,55,0.6301621835443039,True
101,test_performance_singlemodelTrue,0.6041789985551211,MLPClassifier,7592,0,2,32,0.5899641015355293,True
101,test_performance_singlemodelTrue,0.6118332645005913,MLPClassifier,7592,0,2,95,0.5885517791020075,True
101,test_performance_singlemodelTrue,0.6194956796277833,MLPClassifier,53,0,2,75,0.5761239585556325,True
101,test_performance_singlemodelTrue,0.6225953293308066,MLPClassifier,7592,0,2,52,0.6090443154056916,True
101,test_performance_singlemodelTrue,0.6226108367327414,MLPClassifier,7592,0,2,70,0.5841896850724824,True
101,test_performance_singlemodelTrue,0.6642989461230717,MLPClassifier,53,0,2,51,0.5696819509400464,True
101,test_performance_singlemodelTrue,0.6754522919320158,MLPClassifier,53,0,2,57,0.6233998779078681,True
101,test_performance_singlemodelTrue,0.7712391774891775,MLPClassifier,146818,0,2,25,0.7694894712922284,True
101,test_performance_singlemodelTrue,0.7972108843537415,MLPClassifier,146818,0,2,15,0.7461358136721113,True
101,test_performance_singlemodelTrue,0.8091736694677871,MLPClassifier,146818,0,2,71,0.7813581770566811,True
101,test_performance_singlemodelTrue,0.810958904109589,MLPClassifier,146818,0,2,17,0.772318866841835,True
101,test_performance_singlemodelTrue,0.8375270562770563,MLPClassifier,146818,0,2,61,0.7455612785941523,True
101,test_performance_singlemodelTrue,0.9068388150451422,MLPClassifier,146822,0,2,54,0.9286685252473186,True
101,test_performance_singlemodelTrue,0.9138406809121833,MLPClassifier,146822,0,2,91,0.935986391232477,True
101,test_performance_singlemodelTrue,0.9319999106584473,MLPClassifier,146822,0,2,85,0.9237934137960039,True
101,test_performance_singlemodelTrue,0.9429249219067471,MLPClassifier,146822,0,2,43,0.937549612933522,True
101,test_performance_singlemodelTrue,0.9482142857142858,MLPClassifier,146822,0,2,31,0.9340583392890229,True
101,test_performance_singlemodelTrue,0.9819150674257562,MLPClassifier,3,0,2,98,0.9872694483497355,True
101,test_performance_singlemodelTrue,0.9887702549930912,MLPClassifier,3,0,2,36,0.988440802092415,True
101,test_performance_singlemodelTrue,0.9887702549930912,MLPClassifier,3,0,2,97,0.985384481255449,True
101,test_performance_singlemodelTrue,0.993708858378785,MLPClassifier,3,0,2,25,0.985638899359216,True
101,test_performance_singlemodelTrue,0.9938279731678265,MLPClassifier,3,0,2,21,0.983654772375089,True
102,test_performance_singlemodelTrue,0.7655656704797269,RandomForestClassifier,7592,1,2,52,0.765429260849838,True
102,test_performance_singlemodelTrue,0.7675665200831499,RandomForestClassifier,7592,1,2,32,0.7620167646115317,True
102,test_performance_singlemodelTrue,0.768521569407236,RandomForestClassifier,7592,1,2,49,0.7570944500357365,True
102,test_performance_singlemodelTrue,0.7700833004495895,RandomForestClassifier,7592,1,2,70,0.7622531522331883,True
102,test_performance_singlemodelTrue,0.7724655595039205,RandomForestClassifier,7592,1,2,95,0.7611820875938891,True
102,test_performance_singlemodelTrue,0.7877971933062098,RandomForestClassifier,53,1,2,75,0.7694446724497241,True
102,test_performance_singlemodelTrue,0.791375393988484,RandomForestClassifier,53,1,2,57,0.7519266203850856,True
102,test_performance_singlemodelTrue,0.7931737991644479,RandomForestClassifier,53,1,2,55,0.7738330696202532,True
102,test_performance_singlemodelTrue,0.7933469721767594,RandomForestClassifier,53,1,2,23,0.7543481568472737,True
102,test_performance_singlemodelTrue,0.7936781005308301,RandomForestClassifier,53,1,2,51,0.7443049935779591,True
102,test_performance_singlemodelTrue,0.8505140692640694,RandomForestClassifier,146818,1,2,25,0.8847068625965764,True
102,test_performance_singlemodelTrue,0.8723389355742297,RandomForestClassifier,146818,1,2,71,0.8605249691460221,True
102,test_performance_singlemodelTrue,0.8739041095890411,RandomForestClassifier,146818,1,2,17,0.8568829090030503,True
102,test_performance_singlemodelTrue,0.8940816326530612,RandomForestClassifier,146818,1,2,15,0.8366530550514217,True
102,test_performance_singlemodelTrue,0.903814935064935,RandomForestClassifier,146818,1,2,61,0.8490304499318284,True
102,test_performance_singlemodelTrue,0.9494745852912434,RandomForestClassifier,146822,1,2,54,0.9653126504962534,True
102,test_performance_singlemodelTrue,0.9570278391264766,RandomForestClassifier,146822,1,2,91,0.9579051751664119,True
102,test_performance_singlemodelTrue,0.9653361344537815,RandomForestClassifier,146822,1,2,31,0.9596176050186612,True
102,test_performance_singlemodelTrue,0.9730878397870777,RandomForestClassifier,146822,1,2,43,0.9550760134520317,True
