,tool,max_number_models,max_number_folds,max_num_repetitions,stacking_levels,cv_type,allowed_folds_to_use,task,model,fold,train,val,test,overfit,seed
0,autosklearn,5,3,1,1,cv,1.0,54,best_ensemble_model,2,0.7839653419896387,inf,0.7862283883914789,0.0,57.833333333333336
1,autosklearn,5,3,1,2,cv,1.0,54,best_ensemble_model,2,0.754937823791724,inf,0.7728903668256091,0.0,57.833333333333336
2,autosklearn,5,3,3,1,cv,1.0,54,best_ensemble_model,2,0.77560618729097,inf,0.7722704317911172,0.0,57.833333333333336
3,autosklearn,5,3,3,2,cv,1.0,54,best_ensemble_model,2,0.7487376904496469,inf,0.7676177795909966,0.0,57.833333333333336
4,autosklearn,5,3,5,1,cv,1.0,54,best_ensemble_model,2,0.7718592202767395,inf,0.772766463537149,0.0,57.833333333333336
5,autosklearn,5,3,5,2,cv,1.0,54,best_ensemble_model,2,0.747876500098367,inf,0.7598696381403237,0.0,57.833333333333336
6,autosklearn,5,5,1,1,cv,1.0,54,best_ensemble_model,2,0.7764173060528559,inf,0.7926654991007415,0.0007383966244725519,57.833333333333336
7,autosklearn,5,5,1,2,cv,1.0,54,best_ensemble_model,2,0.7582469205630971,inf,0.7580213443220931,0.0,57.833333333333336
8,autosklearn,5,5,3,1,cv,1.0,54,best_ensemble_model,2,0.7745753819922618,inf,0.7772307492514346,0.0031645569620253325,57.833333333333336
9,autosklearn,5,5,3,2,cv,1.0,54,best_ensemble_model,2,0.7466746453319343,inf,0.7567050811782982,0.0,57.833333333333336
10,autosklearn,5,5,5,1,cv,1.0,54,best_ensemble_model,2,0.7777751819791462,inf,0.7759310204991743,0.010228300180831871,57.833333333333336
11,autosklearn,5,5,5,2,cv,1.0,54,best_ensemble_model,2,0.7496110400682011,inf,0.7598696381403237,0.0,57.833333333333336
12,autosklearn,5,10,1,1,cv,1.0,54,best_ensemble_model,2,0.7952309714298207,inf,0.78687322966132,0.0,57.833333333333336
13,autosklearn,5,10,1,2,cv,1.0,54,best_ensemble_model,2,0.7700730375762346,inf,0.7554053524260378,0.0,57.833333333333336
14,autosklearn,5,10,3,1,cv,1.0,54,best_ensemble_model,2,0.785061042254137,inf,0.7919233351465521,0.0,57.833333333333336
15,autosklearn,5,10,3,2,cv,1.0,54,best_ensemble_model,2,0.7533217114419162,inf,0.7567050811782982,0.0,57.833333333333336
16,autosklearn,5,10,5,1,cv,1.0,54,best_ensemble_model,2,0.783070611187619,inf,0.7919233351465521,0.0,57.833333333333336
17,autosklearn,5,10,5,2,cv,1.0,54,best_ensemble_model,2,0.7536145812840186,inf,0.7598696381403237,0.0,57.833333333333336
18,autosklearn,10,3,1,1,cv,1.0,54,best_ensemble_model,2,0.8392070108422411,inf,0.835688404465419,0.0,57.833333333333336
19,autosklearn,10,3,1,2,cv,1.0,54,best_ensemble_model,2,0.8483385522547928,inf,0.8456454569066487,0.0,57.833333333333336
20,autosklearn,10,3,3,1,cv,1.0,54,best_ensemble_model,2,0.825235329639102,inf,0.8397797245377516,0.0,57.833333333333336
21,autosklearn,10,3,3,2,cv,1.0,54,best_ensemble_model,2,0.8351244343891404,inf,0.8458903333382339,0.0,57.833333333333336
22,autosklearn,10,3,5,1,cv,1.0,54,best_ensemble_model,2,0.8180020001311561,inf,0.8375268613671668,0.0,57.833333333333336
23,autosklearn,10,3,5,2,cv,1.0,54,best_ensemble_model,2,0.8297654764246836,inf,0.8419911470814527,0.0,57.833333333333336
24,autosklearn,10,5,1,1,cv,1.0,54,best_ensemble_model,2,0.8314941416923514,inf,0.8390469789078543,0.0002976190476190465,57.833333333333336
25,autosklearn,10,5,1,2,cv,1.0,54,best_ensemble_model,2,0.8384340776444358,inf,0.8239060807764498,0.019762538775930205,57.833333333333336
26,autosklearn,10,5,3,1,cv,1.0,54,best_ensemble_model,2,0.8287723557464606,inf,0.8414750229102654,0.0002976190476190465,57.833333333333336
27,autosklearn,10,5,3,2,cv,1.0,54,best_ensemble_model,2,0.8375208119293797,inf,0.8272495859000182,0.005478953184649341,57.833333333333336
28,autosklearn,10,5,5,1,cv,1.0,54,best_ensemble_model,2,0.824135844973441,inf,0.8434290112566586,0.0,57.833333333333336
29,autosklearn,10,5,5,2,cv,1.0,54,best_ensemble_model,2,0.8345817758541543,inf,0.8261683622713262,6.216094032549893e-05,57.833333333333336
30,autosklearn,10,10,1,1,cv,1.0,54,best_ensemble_model,2,0.8303692728484929,inf,0.8434769400624988,0.0008706717567477059,57.833333333333336
31,autosklearn,10,10,1,2,cv,1.0,54,best_ensemble_model,2,0.8448278029160381,inf,0.8354039710718084,0.0,57.833333333333336
32,autosklearn,10,10,3,1,cv,1.0,54,best_ensemble_model,2,0.8303987146698144,inf,0.8311977474431165,0.0044642857142855865,57.833333333333336
33,autosklearn,10,10,3,2,cv,1.0,54,best_ensemble_model,2,0.8387394710764277,inf,0.8520084767981494,0.0,57.833333333333336
34,autosklearn,10,10,5,1,cv,1.0,54,best_ensemble_model,2,0.8198510694690361,inf,0.8294723104328693,0.0,57.833333333333336
35,autosklearn,10,10,5,2,cv,1.0,54,best_ensemble_model,2,0.8368947280696002,inf,0.8419101494925438,0.0,57.833333333333336
36,autosklearn,20,3,1,1,cv,1.0,54,best_ensemble_model,2,0.8393016891818043,inf,0.8349443568463712,0.0011415009041591318,57.833333333333336
37,autosklearn,20,3,1,2,cv,1.0,54,best_ensemble_model,2,0.8514100651408836,inf,0.834407512361742,0.005379746835443066,57.833333333333336
38,autosklearn,20,3,3,1,cv,1.0,54,best_ensemble_model,2,0.8261105691812215,inf,0.8381949345035945,0.003909651061549819,57.833333333333336
39,autosklearn,20,3,3,2,cv,1.0,54,best_ensemble_model,2,0.8381661639014581,inf,0.8407253242966426,0.004737417118746219,57.833333333333336
40,autosklearn,20,3,5,1,cv,1.0,54,best_ensemble_model,2,0.8235000109296784,inf,0.8382156548170364,0.001650509008103947,57.833333333333336
41,autosklearn,20,3,5,2,cv,1.0,54,best_ensemble_model,2,0.8298955942466172,inf,0.8459750982568597,0.0008702531645569592,57.833333333333336
42,autosklearn,20,5,1,1,cv,1.0,54,best_ensemble_model,2,0.8431147807506504,inf,0.8407676276318219,0.005728602588165713,57.833333333333336
43,autosklearn,20,5,1,2,cv,1.0,54,best_ensemble_model,2,0.8458588814567076,inf,0.833525957208035,0.006185536802625395,57.833333333333336
44,autosklearn,20,5,3,1,cv,1.0,54,best_ensemble_model,2,0.8339385642774388,inf,0.8380168490503472,0.004873551466828689,57.833333333333336
45,autosklearn,20,5,3,2,cv,1.0,54,best_ensemble_model,2,0.8405688032366421,inf,0.8433492694443221,0.0010849909584086678,57.833333333333336
46,autosklearn,20,5,5,1,cv,1.0,54,best_ensemble_model,2,0.8297531258880365,inf,0.8356136857593711,0.010911861228317003,57.833333333333336
47,autosklearn,20,5,5,2,cv,1.0,54,best_ensemble_model,2,0.8376024657354579,inf,0.8369617619096626,0.00838419228450867,57.833333333333336
48,autosklearn,20,10,1,1,cv,1.0,54,best_ensemble_model,2,0.8363662507924017,inf,0.8231634573918072,0.021767932285260132,57.833333333333336
49,autosklearn,20,10,1,2,cv,1.0,54,best_ensemble_model,2,0.8467301134500623,inf,0.82538852501997,0.010978208090549824,57.833333333333336
50,autosklearn,20,10,3,1,cv,1.0,54,best_ensemble_model,2,0.8305248613752451,inf,0.8325520105901785,0.011169438359543264,57.833333333333336
51,autosklearn,20,10,3,2,cv,1.0,54,best_ensemble_model,2,0.8449220486224961,inf,0.8381823767378723,0.003635473176612436,57.833333333333336
