,Repeats,eta,s,N,B
0,50,2,2,4,12.5
1,50,2,1,2,25.0
2,50,2,0,3,50.0
3,50,3,1,3,16.666666666666664
4,50,3,0,2,50.0
5,50,4,1,4,12.5
6,50,4,0,2,50.0
