,hue,performance,model,dataset_name,level,repeat,seed,val_score,estimated_val_score
0,test_performance_singlemodelTrue,0.8240755495197158,HistGradientBoostingClassifier,9981,0,5,96,0.7865991044059132,0.8151977028628217
1,test_performance_singlemodelTrue,0.879906441215303,RandomForestClassifier,9981,0,5,96,0.8598639721260813,0.8803548904942093
2,test_performance_singlemodelTrue,0.866419829924032,DecisionTreeClassifier,9981,0,5,96,0.8126110432705188,0.8573174903489661
3,test_performance_singlemodelTrue,0.8868489892420803,LinearDiscriminantAnalysis,9981,0,5,96,0.7561760422947263,0.8252207315674809
4,test_performance_singlemodelTrue,0.9138735336277358,XGBClassifier,9981,0,5,96,0.8912102006312784,0.9049215495164928
5,test_performance_singlemodelTrue,0.8948313667809094,GradientBoostingClassifier,9981,0,5,96,0.8881513782526804,0.9160016053204907
6,test_performance_singlemodelTrue,0.8373305608034011,LGBMClassifier,9981,0,5,96,0.8098248129372881,0.83019158735619
7,test_performance_singlemodelTrue,0.962723360399791,MLPClassifier,9981,0,5,96,0.9436398411376218,0.951574074074074
8,test_performance_singlemodelTrue,0.8098099846717138,HistGradientBoostingClassifier,9981,1,5,96,0.7916348025127724,0.818752054428009
9,test_performance_singlemodelTrue,0.849222284836702,RandomForestClassifier,9981,1,5,96,0.8714849542073753,0.8785984978786836
10,test_performance_singlemodelTrue,0.8431100121697699,DecisionTreeClassifier,9981,1,5,96,0.8132821169644004,0.8491135382028056
11,test_performance_singlemodelTrue,0.8842603791265885,LinearDiscriminantAnalysis,9981,1,5,96,0.7508941551413881,0.8267733058135535
12,test_performance_singlemodelTrue,0.8993250469690341,XGBClassifier,9981,1,5,96,0.8925256380032843,0.8998841875931659
13,test_performance_singlemodelTrue,0.89772861887171,GradientBoostingClassifier,9981,1,5,96,0.9058318390043022,0.9168990559186638
14,test_performance_singlemodelTrue,0.8127678036017549,LGBMClassifier,9981,1,5,96,0.8265707606975448,0.83288231471926
15,test_performance_singlemodelTrue,0.9592511381775688,MLPClassifier,9981,1,5,96,0.9399877286145415,0.9473834231548369
16,test_performance_singlemodelTrue,0.7962023582280658,HistGradientBoostingClassifier,9981,2,5,96,0.8013306691423369,0.821137866452624
17,test_performance_singlemodelTrue,0.8498652889519284,RandomForestClassifier,9981,2,5,96,0.8740497162411477,0.8807029965982494
18,test_performance_singlemodelTrue,0.8297851890107174,DecisionTreeClassifier,9981,2,5,96,0.795922021362871,0.8353740014524328
19,test_performance_singlemodelTrue,0.8806761497359075,LinearDiscriminantAnalysis,9981,2,5,96,0.7482181802091348,0.8209092993922715
20,test_performance_singlemodelTrue,0.895740817578353,XGBClassifier,9981,2,5,96,0.8974810867710785,0.9013136872682795
21,test_performance_singlemodelTrue,0.8980721075216501,GradientBoostingClassifier,9981,2,5,96,0.9119929121008591,0.9186320376103658
22,test_performance_singlemodelTrue,0.8224294589847365,LGBMClassifier,9981,2,5,96,0.8181815861092117,0.8299402782555516
23,test_performance_singlemodelTrue,0.9592511381775688,MLPClassifier,9981,2,5,96,0.9398597204220172,0.9471059320414327
24,test_performance_singlemodelTrue,0.808112335281412,HistGradientBoostingClassifier,9981,3,5,96,0.7832429813531189,0.8111440775140466
25,test_performance_singlemodelTrue,0.8620639955950795,RandomForestClassifier,9981,3,5,96,0.8823730933817291,0.8827807399763025
26,test_performance_singlemodelTrue,0.8503795737180053,DecisionTreeClassifier,9981,3,5,96,0.8108608987228892,0.8474149562359057
27,test_performance_singlemodelTrue,0.8868489892420803,LinearDiscriminantAnalysis,9981,3,5,96,0.7482242936863126,0.8209643389519552
28,test_performance_singlemodelTrue,0.895740817578353,XGBClassifier,9981,3,5,96,0.8913716048551448,0.8994874441004472
29,test_performance_singlemodelTrue,0.8980721075216501,GradientBoostingClassifier,9981,3,5,96,0.9120324216093793,0.9202090738829645
30,test_performance_singlemodelTrue,0.8212720515773291,LGBMClassifier,9981,3,5,96,0.8192474358358344,0.8346530405534532
31,test_performance_singlemodelTrue,0.9592511381775688,MLPClassifier,9981,3,5,96,0.9399877286145415,0.9490453120819479
32,test_performance_singlemodelTrue,0.8121653354141612,HistGradientBoostingClassifier,9981,4,5,96,0.7942644711905786,0.8197785039941903
33,test_performance_singlemodelTrue,0.8660322495633336,RandomForestClassifier,9981,4,5,96,0.8740110919437076,0.879332358674464
34,test_performance_singlemodelTrue,0.8469239451503695,DecisionTreeClassifier,9981,4,5,96,0.81197368131263,0.8436340442609793
35,test_performance_singlemodelTrue,0.8837625694889939,LinearDiscriminantAnalysis,9981,4,5,96,0.750525931242926,0.8218709628100754
36,test_performance_singlemodelTrue,0.895740817578353,XGBClassifier,9981,4,5,96,0.8975070594478226,0.9004865649963689
