,tool,max_number_models,max_number_folds,max_num_repetitions,stacking_levels,cv_type,allowed_folds_to_use,task,model,fold,train,val,test,overfit,seed
0,autosklearn,5,5,1,2,cv,1.0,40981,best_individual_model,0,1.0,0.8701122936475872,0.8573032806609449,0.0,42
1,autosklearn,5,5,1,2,cv,1.0,40981,best_ensemble_model,0,0.8812104787714543,inf,0.8737867971444614,0.0,42
2,autosklearn,5,5,1,2,cv,1.0,40981,best_individual_model,1,1.0,0.8701122936475872,0.8573032806609449,0.0,42
3,autosklearn,5,5,1,2,cv,1.0,40981,best_ensemble_model,1,0.8829607046070459,inf,0.8701371621079649,0.0,42
4,autosklearn,5,5,1,2,cv,1.0,40981,best_individual_model,2,1.0,0.8701122936475872,0.8573032806609449,0.0,42
5,autosklearn,5,5,1,2,cv,1.0,40981,best_ensemble_model,2,0.8809281842818428,inf,0.8701371621079649,0.0,42
6,autosklearn,5,5,1,2,cv,1.0,40981,best_individual_model,3,1.0,0.8701122936475872,0.8573032806609449,0.0,42
7,autosklearn,5,5,1,2,cv,1.0,40981,best_ensemble_model,3,0.8812104787714543,inf,0.8737867971444614,0.0,42
8,autosklearn,5,5,1,2,cv,1.0,40981,best_individual_model,4,1.0,0.8701122936475872,0.8573032806609449,0.0,42
9,autosklearn,5,5,1,2,cv,1.0,40981,best_ensemble_model,4,0.8809281842818428,inf,0.8682922916499558,0.0,42
