,tool,model,task,fold,index,overfit,test,train,val,seed
0,autosklearn,best_ensemble_model,Albert,0,0.0,0.0,0.6181450475025868,0.6120813693008218,inf,1.0
1,autosklearn,best_ensemble_model,Albert,1,1.0,0.0,0.6422020506067162,0.6355522110389951,inf,1.0
2,autosklearn,best_ensemble_model,Albert,2,2.0,0.0,0.6449377606371304,0.6365033079359107,inf,1.0
3,autosklearn,best_ensemble_model,Albert,3,3.0,0.0,0.5645988147869438,0.5660698794928877,inf,1.0
4,autosklearn,best_ensemble_model,Albert,4,4.0,0.0,0.6469993415483022,0.6389150179245184,inf,1.0
5,autosklearn,best_ensemble_model,Australian,0,5.0,0.0,0.8868138087153367,0.8857487922705314,inf,1.0
6,autosklearn,best_ensemble_model,Australian,1,6.0,0.0,0.836870401810979,0.8925120772946861,inf,1.0
7,autosklearn,best_ensemble_model,Australian,2,7.0,0.0,0.8531409168081495,0.8917874396135265,inf,1.0
8,autosklearn,best_ensemble_model,Australian,3,8.0,0.0,0.8604980192416525,0.8952898550724638,inf,1.0
9,autosklearn,best_ensemble_model,Australian,4,9.0,0.0,0.8936049801924165,0.9002415458937199,inf,1.0
10,autosklearn,best_ensemble_model,MiniBooNE,0,10.0,0.0,0.9384046520003336,0.9403382547932192,inf,1.0
11,autosklearn,best_ensemble_model,MiniBooNE,1,11.0,0.0,0.937133960217316,0.9403281235587362,inf,1.0
12,autosklearn,best_ensemble_model,MiniBooNE,2,12.0,0.0,0.9390119184084584,0.9403239300023835,inf,1.0
13,autosklearn,best_ensemble_model,MiniBooNE,3,13.0,0.0,0.9438025886414244,0.9400637561628141,inf,1.0
14,autosklearn,best_ensemble_model,MiniBooNE,4,14.0,0.0,0.9408531174410454,0.9398391624884207,inf,1.0
15,autosklearn,best_ensemble_model,adult,0,15.0,0.0,0.8496563308873565,0.8446588831373741,inf,1.0
16,autosklearn,best_ensemble_model,adult,1,16.0,0.0,0.836330261206021,0.8462172787335452,inf,1.0
17,autosklearn,best_ensemble_model,adult,2,17.0,0.0,0.8498205649026055,0.8455448817798011,inf,1.0
