,index,constraint,fold,model,overfit,task,test,tool,train,val,seed
50,50,3600s1c8G,0,best_ensemble_model,,Albert,0.756311,autosklearnHOLDOUT,,,0
51,51,3600s1c8G,1,best_ensemble_model,,Albert,0.756634,autosklearnHOLDOUT,,,0
52,52,3600s1c8G,2,best_ensemble_model,,Albert,0.758628,autosklearnHOLDOUT,,,0
53,53,3600s1c8G,3,best_ensemble_model,,Albert,0.755402,autosklearnHOLDOUT,,,0
54,54,3600s1c8G,4,best_ensemble_model,,Albert,0.760355,autosklearnHOLDOUT,,,0
55,55,3600s1c8G,0,best_ensemble_model,,Australian,0.947368,autosklearnHOLDOUT,,,0
56,56,3600s1c8G,1,best_ensemble_model,,Australian,0.905772,autosklearnHOLDOUT,,,0
57,57,3600s1c8G,2,best_ensemble_model,,Australian,0.904075,autosklearnHOLDOUT,,,0
58,58,3600s1c8G,3,best_ensemble_model,,Australian,0.936333,autosklearnHOLDOUT,,,0
59,59,3600s1c8G,4,best_ensemble_model,,Australian,0.943124,autosklearnHOLDOUT,,,0
60,60,3600s1c8G,0,best_ensemble_model,,MiniBooNE,0.983383,autosklearnHOLDOUT,,,0
61,61,3600s1c8G,1,best_ensemble_model,,MiniBooNE,0.984582,autosklearnHOLDOUT,,,0
62,62,3600s1c8G,2,best_ensemble_model,,MiniBooNE,0.984233,autosklearnHOLDOUT,,,0
63,63,3600s1c8G,3,best_ensemble_model,,MiniBooNE,0.984811,autosklearnHOLDOUT,,,0
64,64,3600s1c8G,4,best_ensemble_model,,MiniBooNE,0.985785,autosklearnHOLDOUT,,,0
65,65,3600s1c8G,0,best_ensemble_model,,adult,0.932187,autosklearnHOLDOUT,,,0
66,66,3600s1c8G,1,best_ensemble_model,,adult,0.929252,autosklearnHOLDOUT,,,0
67,67,3600s1c8G,2,best_ensemble_model,,adult,0.929598,autosklearnHOLDOUT,,,0
68,68,3600s1c8G,3,best_ensemble_model,,adult,0.925296,autosklearnHOLDOUT,,,0
69,69,3600s1c8G,4,best_ensemble_model,,adult,0.925906,autosklearnHOLDOUT,,,0
70,70,3600s1c8G,0,best_ensemble_model,,cnae-9,0.0733572,autosklearnHOLDOUT,,,0
71,71,3600s1c8G,1,best_ensemble_model,,cnae-9,0.3669929999999999,autosklearnHOLDOUT,,,0
