tool,Albert,Australian,MiniBooNE,adult,cnae-9,connect-4,higgs,kr-vs-kp,segment,vehicle
autosklearnHOLDOUT,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0
autosklearnTHRESHOLDOUT,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0
