,index,autosklearn,autosklearnHyperBandFolds eta2 cv5 repeats1,autosklearnHyperBandFolds eta2 cv5 repeats10,autosklearnHyperBandFolds eta2 cv5 repeats3,autosklearnHyperBandFolds eta3 cv5 repeats1
0,autosklearn,0.0,3.0,3.0,3.0,3.0
1,autosklearnHyperBandFolds eta2 cv5 repeats1,7.0,0.0,6.0,5.0,5.0
2,autosklearnHyperBandFolds eta2 cv5 repeats10,7.0,2.0,0.0,5.0,3.0
3,autosklearnHyperBandFolds eta2 cv5 repeats3,6.0,4.0,5.0,0.0,5.0
4,autosklearnHyperBandFolds eta3 cv5 repeats1,7.0,1.0,6.0,5.0,0.0
