,index,Albert,Australian,MiniBooNE,adult,cnae-9,connect-4,higgs,kr-vs-kp,segment,vehicle
0,autosklearn,0.6192117392531276,0.8644821731748727,0.9398412473417156,0.844113442250293,0.9474074074074071,0.7580872993353053,0.7315286350050869,0.9954373605729715,0.9887445887445888,0.8361796536796535
1,autosklearnHyperBandFolds eta2 cv5 repeats1,0.6771724202803123,0.8659083191850592,0.9306487187746484,0.8428072259967773,0.9244444444444444,0.7546940912043294,0.7285047759199563,0.9949802356072168,0.9890909090909092,0.8334112554112554
2,autosklearnHyperBandFolds eta2 cv5 repeats10,0.6766212021446713,0.858760611205433,0.9388382609737752,0.842968380992308,0.9355555555555553,0.7505407158322308,0.7274320575198517,0.9961778403976359,0.9908225108225106,0.7999632034632036
3,autosklearnHyperBandFolds eta2 cv5 repeats3,0.6768366099144012,0.8555857385398982,0.9394667963461651,0.8431050345408875,0.9396296296296294,0.755657707603832,0.7283593922803634,0.994446401315017,0.9901298701298701,0.7909155844155845
4,autosklearnHyperBandFolds eta3 cv5 repeats1,0.6771141002727872,0.8604414261460102,0.9306487187746485,0.8429254425852826,0.9259259259259258,0.7544926023533525,0.728442994202686,0.9950999960862589,0.9893217893217894,0.8378751803751804
