tool,Albert,Australian,MiniBooNE,adult,cnae-9,connect-4,higgs,kr-vs-kp,segment,vehicle
AutoGluon,1.0,3.585,2.5,5.0,4.235,5.0,5.0,3.06,3.445,2.5
autosklearn,4.57,3.62,4.705,2.93,3.075,3.255,3.29,2.725,2.475,2.935
autosklearnEnsembleIntensification_maxintancefix,2.68,2.59,2.53,1.985,1.945,1.625,2.525,3.445,3.0,3.38
autosklearnEnsembleIntensification_maxintancefix_metaminiboone_all,2.32,2.56,1.51,1.68,2.07,1.375,1.37,3.595,3.34,3.36
autosklearn_metaminiboone_all,4.43,2.645,3.755,3.405,3.675,3.745,2.815,2.175,2.74,2.825
