,single_model,dataset_name,model,level,repeat,iteration,seed,performance,use_train_data
0,True,3,XGBoostModel,0,5,0,44,0.9913399553515438,True
1,True,3,XGBoostModel,0,5,1,44,0.9902676399026764,True
2,True,3,XGBoostModel,0,5,2,44,0.9951338199513382,True
3,True,3,XGBoostModel,0,5,3,44,0.9951338199513382,True
4,True,3,XGBoostModel,0,5,4,44,0.9962782501818547,True
5,True,3,XGBoostModel,0,5,5,44,0.9962782501818547,True
6,True,3,XGBoostModel,0,5,6,44,0.9949895903880402,True
7,True,3,XGBoostModel,0,5,7,44,0.9949895903880402,True
8,True,3,XGBoostModel,0,5,8,44,0.9949895903880402,True
9,True,3,XGBoostModel,0,5,9,44,0.9937730453758749,True
10,True,3,XGBoostModel,0,5,10,44,0.9937730453758749,True
11,True,3,XGBoostModel,0,5,11,44,0.9937730453758749,True
12,True,3,XGBoostModel,0,5,12,44,0.9937730453758749,True
13,True,3,XGBoostModel,0,5,13,44,0.9937730453758749,True
14,True,3,XGBoostModel,0,5,14,44,0.9937730453758749,True
15,True,3,XGBoostModel,0,5,15,44,0.9937730453758749,True
16,True,3,XGBoostModel,0,5,16,44,0.9937730453758749,True
17,True,3,XGBoostModel,0,5,17,44,0.9938451601575238,True
18,True,3,XGBoostModel,0,5,18,44,0.9937730453758749,True
19,True,3,XGBoostModel,0,5,19,44,0.9937730453758749,True
20,True,3,XGBoostModel,0,5,20,44,0.9937730453758749,True
21,True,3,XGBoostModel,0,5,21,44,0.9937730453758749,True
22,True,3,XGBoostModel,0,5,22,44,0.9937730453758749,True
23,True,3,XGBoostModel,0,5,23,44,0.9937730453758749,True
24,True,3,XGBoostModel,0,5,24,44,0.9937730453758749,True
25,True,3,XTModel,0,5,0,44,0.991195725788246,True
26,True,3,XTModel,0,5,1,44,0.988762635763915,True
27,True,3,XTModel,0,5,2,44,0.9922680412371134,True
28,True,3,XTModel,0,5,3,44,0.9922680412371134,True
29,True,3,XTModel,0,5,4,44,0.9922680412371134,True
30,True,3,XTModel,0,5,5,44,0.9922680412371134,True
31,True,3,XTModel,0,5,6,44,0.9922680412371134,True
32,True,3,XTModel,0,5,7,44,0.9922680412371134,True
33,True,3,XTModel,0,5,8,44,0.9922680412371134,True
34,True,3,XTModel,0,5,9,44,0.9922680412371134,True
35,True,3,XTModel,0,5,10,44,0.9922680412371134,True
36,True,3,XTModel,0,5,11,44,0.9922680412371134,True
37,True,3,XTModel,0,5,12,44,0.9922680412371134,True
38,True,3,XTModel,0,5,13,44,0.9922680412371134,True
39,True,3,XTModel,0,5,14,44,0.9922680412371134,True
40,True,3,XTModel,0,5,15,44,0.9922680412371134,True
41,True,3,XTModel,0,5,16,44,0.9922680412371134,True
42,True,3,XTModel,0,5,17,44,0.9922680412371134,True
43,True,3,XTModel,0,5,18,44,0.9922680412371134,True
44,True,3,XTModel,0,5,19,44,0.9922680412371134,True
45,True,3,XTModel,0,5,20,44,0.9922680412371134,True
46,True,3,XTModel,0,5,21,44,0.9922680412371134,True
47,True,3,XTModel,0,5,22,44,0.9922680412371134,True
48,True,3,XTModel,0,5,23,44,0.9922680412371134,True
49,True,3,XTModel,0,5,24,44,0.9922680412371134,True
50,True,3,RFModel,0,5,0,44,0.9935567010309279,True
51,True,3,RFModel,0,5,1,44,0.991123611006597,True
