,single_model,dataset_name,model,level,repeat,iteration,seed,performance,use_train_data
0,True,146822,XGBoostModel,0,5,0,33,0.9719606247057229,True
1,True,146822,XGBoostModel,0,5,1,33,0.9595096044115652,True
2,True,146822,XGBoostModel,0,5,2,33,0.9508753814916281,True
3,True,146822,XGBoostModel,0,5,3,33,0.9469561109383066,True
4,True,146822,XGBoostModel,0,5,4,33,0.9416602604043608,True
5,True,146822,XGBoostModel,0,5,5,33,0.9401528588643434,True
6,True,146822,XGBoostModel,0,5,6,33,0.9436172075667875,True
7,True,146822,XGBoostModel,0,5,7,33,0.9488500699425071,True
8,True,146822,XGBoostModel,0,5,8,33,0.9468931227800803,True
9,True,146822,XGBoostModel,0,5,9,33,0.9470239443394733,True
10,True,146822,XGBoostModel,0,5,10,33,0.9451924425079715,True
11,True,146822,XGBoostModel,0,5,11,33,0.9471493896703981,True
12,True,146822,XGBoostModel,0,5,12,33,0.9451924425079715,True
13,True,146822,XGBoostModel,0,5,13,33,0.9451924425079715,True
14,True,146822,XGBoostModel,0,5,14,33,0.9451924425079715,True
15,True,146822,XGBoostModel,0,5,15,33,0.9470239443394733,True
16,True,146822,XGBoostModel,0,5,16,33,0.9470239443394733,True
17,True,146822,XGBoostModel,0,5,17,33,0.947217223071565,True
18,True,146822,XGBoostModel,0,5,18,33,0.9489808915018999,True
19,True,146822,XGBoostModel,0,5,19,33,0.9489808915018999,True
20,True,146822,XGBoostModel,0,5,20,33,0.9470239443394733,True
21,True,146822,XGBoostModel,0,5,21,33,0.9452602759091382,True
22,True,146822,XGBoostModel,0,5,22,33,0.9452602759091382,True
23,True,146822,XGBoostModel,0,5,23,33,0.947217223071565,True
24,True,146822,XGBoostModel,0,5,24,33,0.9489808915018999,True
25,True,146822,XTModel,0,5,0,33,0.9666599289288366,True
26,True,146822,XTModel,0,5,1,33,0.9597312315239487,True
27,True,146822,XTModel,0,5,2,33,0.9597312315239487,True
28,True,146822,XTModel,0,5,3,33,0.9545383851546317,True
29,True,146822,XTModel,0,5,4,33,0.9545383851546317,True
30,True,146822,XTModel,0,5,5,33,0.9472123778286244,True
31,True,146822,XTModel,0,5,6,33,0.9453808759971224,True
32,True,146822,XTModel,0,5,7,33,0.9489808915018999,True
33,True,146822,XTModel,0,5,8,33,0.9471493896703981,True
34,True,146822,XTModel,0,5,9,33,0.949111713061293,True
35,True,146822,XTModel,0,5,10,33,0.9508753814916281,True
36,True,146822,XTModel,0,5,11,33,0.9545383851546317,True
37,True,146822,XTModel,0,5,12,33,0.9508753814916281,True
38,True,146822,XTModel,0,5,13,33,0.9508753814916281,True
39,True,146822,XTModel,0,5,14,33,0.9508753814916281,True
40,True,146822,XTModel,0,5,15,33,0.9525760617637369,True
41,True,146822,XTModel,0,5,16,33,0.9508753814916281,True
42,True,146822,XTModel,0,5,17,33,0.9508753814916281,True
43,True,146822,XTModel,0,5,18,33,0.9490438796601263,True
44,True,146822,XTModel,0,5,19,33,0.9508753814916281,True
45,True,146822,XTModel,0,5,20,33,0.9508753814916281,True
46,True,146822,XTModel,0,5,21,33,0.9508753814916281,True
47,True,146822,XTModel,0,5,22,33,0.9508753814916281,True
48,True,146822,XTModel,0,5,23,33,0.9562390654267405,True
49,True,146822,XTModel,0,5,24,33,0.9527068833231299,True
