,tool,model,task,fold_foldmean,overfit_seedmean_foldmean,seed_seedmean_foldmean,test_seedmean_foldmean,train_seedmean_foldmean,val_seedmean_foldmean
33,autosklearnBBCEnsembleSelectionFULL_es1_B50_N0.5,best_ensemble_model,adult,2.0,0.0,127.0,0.7907117733235014,0.788780407435424,inf
34,autosklearnBBCEnsembleSelectionFULL_es1_B50_N0.5,best_ensemble_model,cnae-9,1.5,0.0,127.0,0.9157407407407406,0.9250514403292182,inf
35,autosklearnBBCEnsembleSelectionFULL_es1_B50_N0.5,best_ensemble_model,connect-4,2.0,0.0,127.0,0.52055656842786,0.5202847017658828,inf
36,autosklearnBBCEnsembleSelectionFULL_es1_B50_N0.5,best_ensemble_model,higgs,2.0,0.0,127.0,0.647653046165889,0.6345921766142222,inf
37,autosklearnBBCEnsembleSelectionFULL_es1_B50_N0.5,best_ensemble_model,kr-vs-kp,1.75,0.0,127.0,0.9789528785566123,0.9780242306715743,inf
38,autosklearnBBCEnsembleSelectionFULL_es1_B50_N0.5,best_ensemble_model,segment,1.5,0.0,127.0,0.987012987012987,0.9815295815295815,inf
39,autosklearnBBCEnsembleSelectionFULL_es1_B50_N0.5,best_ensemble_model,vehicle,2.0,0.0,127.0,0.8327532467532468,0.8447083640346345,inf
40,autosklearnBBCEnsembleSelectionNoPreSelect_es1_B100_N1.0,best_ensemble_model,Albert,3.0,0.0,127.0,0.6538660521117486,0.6522896002954323,inf
41,autosklearnBBCEnsembleSelectionNoPreSelect_es1_B100_N1.0,best_ensemble_model,Australian,2.0,0.0,127.0,0.8456876061120543,0.8815362318840579,inf
42,autosklearnBBCEnsembleSelectionNoPreSelect_es1_B100_N1.0,best_ensemble_model,MiniBooNE,2.0,0.0,127.0,0.9278907619228576,0.9293096679398133,inf
43,autosklearnBBCEnsembleSelectionNoPreSelect_es1_B100_N1.0,best_ensemble_model,adult,2.0,0.0,127.5,0.8431682164972653,0.8434336365974469,inf
44,autosklearnBBCEnsembleSelectionNoPreSelect_es1_B100_N1.0,best_ensemble_model,cnae-9,2.0,0.0,127.0,0.937037037037037,0.9572016460905349,inf
45,autosklearnBBCEnsembleSelectionNoPreSelect_es1_B100_N1.0,best_ensemble_model,connect-4,2.0,0.0,127.0,0.6833373509039125,0.6757387064487472,inf
46,autosklearnBBCEnsembleSelectionNoPreSelect_es1_B100_N1.0,best_ensemble_model,higgs,2.0,0.0,127.0,0.7333641050071293,0.7288054676605251,inf
47,autosklearnBBCEnsembleSelectionNoPreSelect_es1_B100_N1.0,best_ensemble_model,kr-vs-kp,2.0,0.0,127.0,0.9972885601346327,0.9965354878599518,inf
48,autosklearnBBCEnsembleSelectionNoPreSelect_es1_B100_N1.0,best_ensemble_model,segment,2.0,0.0,127.0,0.9897835497835498,0.9859163059163061,inf
49,autosklearnBBCEnsembleSelectionNoPreSelect_es1_B100_N1.0,best_ensemble_model,vehicle,2.0,0.0,127.0,0.8482575757575758,0.8549721485495585,inf
50,autosklearnBBCEnsembleSelectionNoPreSelect_es1_B10_N1.0,best_ensemble_model,Albert,3.0,0.0,127.0,0.6538660521117486,0.6522896002954323,inf
51,autosklearnBBCEnsembleSelectionNoPreSelect_es1_B10_N1.0,best_ensemble_model,Australian,2.0,0.0,127.0,0.8466893039049236,0.8801739130434783,inf
52,autosklearnBBCEnsembleSelectionNoPreSelect_es1_B10_N1.0,best_ensemble_model,MiniBooNE,2.0,0.0,127.0,0.9278907619228576,0.9293096679398133,inf
53,autosklearnBBCEnsembleSelectionNoPreSelect_es1_B10_N1.0,best_ensemble_model,adult,2.0,0.0,127.0,0.8431682164972655,0.8434336365974469,inf
54,autosklearnBBCEnsembleSelectionNoPreSelect_es1_B10_N1.0,best_ensemble_model,cnae-9,2.0,0.0,127.0,0.937037037037037,0.956872427983539,inf
55,autosklearnBBCEnsembleSelectionNoPreSelect_es1_B10_N1.0,best_ensemble_model,connect-4,2.0,0.0,127.0,0.6833373509039125,0.6757387064487472,inf
56,autosklearnBBCEnsembleSelectionNoPreSelect_es1_B10_N1.0,best_ensemble_model,higgs,2.0,0.0,127.0,0.7333641050071293,0.7288054676605251,inf
57,autosklearnBBCEnsembleSelectionNoPreSelect_es1_B10_N1.0,best_ensemble_model,kr-vs-kp,2.0,0.0,127.0,0.9972885601346327,0.9964980220453272,inf
58,autosklearnBBCEnsembleSelectionNoPreSelect_es1_B10_N1.0,best_ensemble_model,segment,2.0,0.0,127.0,0.9906493506493504,0.9856661856661857,inf
59,autosklearnBBCEnsembleSelectionNoPreSelect_es1_B10_N1.0,best_ensemble_model,vehicle,2.0,0.0,127.0,0.8476233766233765,0.8546833934977052,inf
60,autosklearnBBCEnsembleSelectionNoPreSelect_es1_B50_N0.5,best_ensemble_model,Albert,3.0,0.0,127.0,0.6538660521117486,0.6522896002954323,inf
61,autosklearnBBCEnsembleSelectionNoPreSelect_es1_B50_N0.5,best_ensemble_model,Australian,2.0,0.0,127.0,0.8434634974533107,0.8808115942028986,inf
62,autosklearnBBCEnsembleSelectionNoPreSelect_es1_B50_N0.5,best_ensemble_model,MiniBooNE,2.0,0.0,127.0,0.9278907619228576,0.9293096679398133,inf
63,autosklearnBBCEnsembleSelectionNoPreSelect_es1_B50_N0.5,best_ensemble_model,adult,2.0,0.0,127.0,0.8431682164972655,0.8434336365974469,inf
64,autosklearnBBCEnsembleSelectionNoPreSelect_es1_B50_N0.5,best_ensemble_model,cnae-9,2.0,0.0,127.0,0.937037037037037,0.9572016460905349,inf
65,autosklearnBBCEnsembleSelectionNoPreSelect_es1_B50_N0.5,best_ensemble_model,connect-4,2.0,0.0,127.0,0.6833373509039125,0.6757387064487472,inf
66,autosklearnBBCEnsembleSelectionNoPreSelect_es1_B50_N0.5,best_ensemble_model,higgs,2.0,0.0,127.0,0.7333641050071293,0.7288054676605251,inf
67,autosklearnBBCEnsembleSelectionNoPreSelect_es1_B50_N0.5,best_ensemble_model,kr-vs-kp,2.0,0.0,127.0,0.9974192790888811,0.996477593194518,inf
68,autosklearnBBCEnsembleSelectionNoPreSelect_es1_B50_N0.5,best_ensemble_model,segment,2.0,0.0,127.0,0.9899567099567099,0.9856854256854257,inf
