,hue,repeated_ensemble,performance,model,dataset_name,level,repeat,multikfold,seed,val_score
1,test_performance_singlemodelFalse,False,0.8853998926462694,RandomForestClassifier,146818,0,1,True,95,0.8683043277375635
1,test_performance_singlemodelFalse,False,0.8949392712550608,RandomForestClassifier,146818,0,1,True,11,0.865053372149442
1,test_performance_singlemodelFalse,False,0.9541360211900615,RandomForestClassifier,146822,0,1,True,16,0.970639613328573
1,test_performance_singlemodelFalse,False,0.9671410593222797,RandomForestClassifier,146822,0,1,True,36,0.9663400575939204
1,test_performance_singlemodelFalse,False,0.9704602593067262,RandomForestClassifier,146822,0,1,True,76,0.965785177415356
1,test_performance_singlemodelFalse,False,0.9763167182426822,RandomForestClassifier,146822,0,1,True,73,0.9637359626685926
1,test_performance_singlemodelFalse,False,0.9786699366635077,RandomForestClassifier,146822,0,1,True,28,0.9646820552426278
1,test_performance_singlemodelFalse,False,0.989028144239226,RandomForestClassifier,3,0,1,True,57,0.9925124768804591
1,test_performance_singlemodelFalse,False,0.9911912646446401,RandomForestClassifier,3,0,1,True,7,0.993309048277017
1,test_performance_singlemodelFalse,False,0.9936390996300708,RandomForestClassifier,3,0,1,True,93,0.9925558823570468
1,test_performance_singlemodelFalse,False,0.994949494949495,RandomForestClassifier,3,0,1,True,84,0.9932094652637224
1,test_performance_singlemodelFalse,False,0.996113025151756,RandomForestClassifier,3,0,1,True,86,0.9911651321676158
10,test_performance_singlemodelFalse,False,0.5397080291970803,DecisionTreeClassifier,10101,1,1,True,6,0.5406502598152425
10,test_performance_singlemodelFalse,False,0.597007299270073,DecisionTreeClassifier,10101,1,1,True,78,0.547262918591224
10,test_performance_singlemodelFalse,False,0.6031468531468531,DecisionTreeClassifier,10101,1,1,True,34,0.5931088119123353
10,test_performance_singlemodelFalse,False,0.6234102336586809,DecisionTreeClassifier,10101,1,1,True,20,0.540401593453919
10,test_performance_singlemodelFalse,False,0.6398396546407648,DecisionTreeClassifier,10101,1,1,True,75,0.5498251748251748
10,test_performance_singlemodelFalse,False,0.7225936324764308,DecisionTreeClassifier,53,1,1,True,28,0.7305781636663989
10,test_performance_singlemodelFalse,False,0.7661998696581871,DecisionTreeClassifier,7592,1,1,True,49,0.7527648302231961
10,test_performance_singlemodelFalse,False,0.7733661408657133,DecisionTreeClassifier,7592,1,1,True,27,0.7537339147366815
10,test_performance_singlemodelFalse,False,0.7746224269950148,DecisionTreeClassifier,7592,1,1,True,85,0.7531338665000908
10,test_performance_singlemodelFalse,False,0.7769150016615367,DecisionTreeClassifier,7592,1,1,True,31,0.7488621911030872
10,test_performance_singlemodelFalse,False,0.7790228154690217,DecisionTreeClassifier,53,1,1,True,1,0.7516171380036453
10,test_performance_singlemodelFalse,False,0.7808684730404087,DecisionTreeClassifier,7592,1,1,True,47,0.7542540772047546
10,test_performance_singlemodelFalse,False,0.7858473941448079,DecisionTreeClassifier,53,1,1,True,12,0.709551123716859
10,test_performance_singlemodelFalse,False,0.7928728070175439,DecisionTreeClassifier,53,1,1,True,95,0.7345791001451378
10,test_performance_singlemodelFalse,False,0.8042588042588042,DecisionTreeClassifier,146818,1,1,True,68,0.840053194704709
10,test_performance_singlemodelFalse,False,0.8523616734143049,DecisionTreeClassifier,146818,1,1,True,11,0.8027353226589033
10,test_performance_singlemodelFalse,False,0.8545515394912986,DecisionTreeClassifier,146818,1,1,True,8,0.8152806557776695
10,test_performance_singlemodelFalse,False,0.8577726532826913,DecisionTreeClassifier,146818,1,1,True,43,0.8061938061938062
10,test_performance_singlemodelFalse,False,0.8666129898013957,DecisionTreeClassifier,146818,1,1,True,95,0.7989296165100878
10,test_performance_singlemodelFalse,False,0.9544127310919251,DecisionTreeClassifier,146822,1,1,True,16,0.9460436016217825
10,test_performance_singlemodelFalse,False,0.9670062927719814,DecisionTreeClassifier,146822,1,1,True,73,0.9496540618280046
10,test_performance_singlemodelFalse,False,0.9677580122958275,DecisionTreeClassifier,146822,1,1,True,36,0.94396704937186
10,test_performance_singlemodelFalse,False,0.975304649151116,DecisionTreeClassifier,146822,1,1,True,76,0.9593704374969729
10,test_performance_singlemodelFalse,False,0.9754939002891349,DecisionTreeClassifier,146822,1,1,True,28,0.9583238523549503
10,test_performance_singlemodelFalse,False,0.9886856827475478,DecisionTreeClassifier,3,1,1,True,7,0.9916771343633547
10,test_performance_singlemodelFalse,False,0.9887705741927377,DecisionTreeClassifier,3,1,1,True,57,0.9925476966939405
10,test_performance_singlemodelFalse,False,0.9922879177377892,DecisionTreeClassifier,3,1,1,True,93,0.9921587417692788
10,test_performance_singlemodelFalse,False,0.9959016393442623,DecisionTreeClassifier,3,1,1,True,86,0.9877720913507773
10,test_performance_singlemodelFalse,False,0.9974747474747474,DecisionTreeClassifier,3,1,1,True,84,0.9932094652637224
100,test_performance_singlemodelFalse,False,0.5441720629047179,GradientBoostingClassifier,10101,5,1,False,75,0.5795454545454546
100,test_performance_singlemodelFalse,False,0.5568181818181818,GradientBoostingClassifier,10101,5,1,False,34,0.6441941347128526
100,test_performance_singlemodelFalse,False,0.5581021897810219,GradientBoostingClassifier,10101,5,1,False,78,0.5597214203233256
100,test_performance_singlemodelFalse,False,0.6162043795620438,GradientBoostingClassifier,10101,5,1,False,6,0.5843136547344111
100,test_performance_singlemodelFalse,False,0.6576456669624371,GradientBoostingClassifier,10101,5,1,False,20,0.5521640826873385
100,test_performance_singlemodelFalse,False,0.7746864512977358,GradientBoostingClassifier,53,5,1,False,95,0.7433826197387519
100,test_performance_singlemodelFalse,False,0.7775479753747875,GradientBoostingClassifier,53,5,1,False,28,0.7922479889391654
100,test_performance_singlemodelFalse,False,0.7876490722874754,GradientBoostingClassifier,7592,5,1,False,49,0.7847063119874442
100,test_performance_singlemodelFalse,False,0.7920731299344307,GradientBoostingClassifier,53,5,1,False,1,0.754223104513563
100,test_performance_singlemodelFalse,False,0.7992324881519026,GradientBoostingClassifier,7592,5,1,False,27,0.7903862681039109
100,test_performance_singlemodelFalse,False,0.8041298008914511,GradientBoostingClassifier,7592,5,1,False,85,0.7990100348351306
100,test_performance_singlemodelFalse,False,0.8045500952740468,GradientBoostingClassifier,7592,5,1,False,31,0.7945395234281141
100,test_performance_singlemodelFalse,False,0.8109999996206001,GradientBoostingClassifier,7592,5,1,False,47,0.802181071976884
100,test_performance_singlemodelFalse,False,0.8128837557716868,GradientBoostingClassifier,53,5,1,False,12,0.757976292219603
100,test_performance_singlemodelFalse,False,0.8583152468800868,GradientBoostingClassifier,146818,5,1,False,43,0.8525641025641026
100,test_performance_singlemodelFalse,False,0.8633633633633633,GradientBoostingClassifier,146818,5,1,False,68,0.833781659916581
100,test_performance_singlemodelFalse,False,0.8720477724100912,GradientBoostingClassifier,146818,5,1,False,95,0.8553365162482673
100,test_performance_singlemodelFalse,False,0.8722672064777328,GradientBoostingClassifier,146818,5,1,False,11,0.8723920426977195
100,test_performance_singlemodelFalse,False,0.8786479250334671,GradientBoostingClassifier,146818,5,1,False,8,0.8557182471964895
100,test_performance_singlemodelFalse,False,0.9617916618082905,GradientBoostingClassifier,146822,5,1,False,16,0.9594826994888833
100,test_performance_singlemodelFalse,False,0.969036837396355,GradientBoostingClassifier,146822,5,1,False,36,0.9560023609225924
100,test_performance_singlemodelFalse,False,0.9730057170576634,GradientBoostingClassifier,146822,5,1,False,76,0.9588560233693689
100,test_performance_singlemodelFalse,False,0.9806564642752281,GradientBoostingClassifier,146822,5,1,False,28,0.9519489260426358
100,test_performance_singlemodelFalse,False,0.9833909575824332,GradientBoostingClassifier,146822,5,1,False,73,0.9625491267945782
100,test_performance_singlemodelFalse,False,0.9910684055426673,GradientBoostingClassifier,3,5,1,False,93,0.9940599912615111
100,test_performance_singlemodelFalse,False,0.9911515265736901,GradientBoostingClassifier,3,5,1,False,57,0.991064977417474
100,test_performance_singlemodelFalse,False,0.9911616161616161,GradientBoostingClassifier,3,5,1,False,84,0.9911875997837756
100,test_performance_singlemodelFalse,False,0.9924048568776498,GradientBoostingClassifier,3,5,1,False,7,0.993309048277017
100,test_performance_singlemodelFalse,False,0.9959016393442623,GradientBoostingClassifier,3,5,1,False,86,0.9898992749805575
101,test_performance_singlemodelFalse,False,0.4833916083916084,MLPClassifier,10101,5,1,False,34,0.5843528260337656
101,test_performance_singlemodelFalse,False,0.5773439810706892,MLPClassifier,10101,5,1,False,20,0.587047803617571
101,test_performance_singlemodelFalse,False,0.5813075146609625,MLPClassifier,7592,5,1,False,47,0.6129974389360809
101,test_performance_singlemodelFalse,False,0.5854253345928085,MLPClassifier,7592,5,1,False,27,0.6416082706638764
101,test_performance_singlemodelFalse,False,0.6017518248175182,MLPClassifier,10101,5,1,False,78,0.6010933891454966
101,test_performance_singlemodelFalse,False,0.687007299270073,MLPClassifier,10101,5,1,False,6,0.6341837471131639
101,test_performance_singlemodelFalse,False,0.6935066413611557,MLPClassifier,7592,5,1,False,31,0.6539507860213143
101,test_performance_singlemodelFalse,False,0.7033610854147394,MLPClassifier,10101,5,1,False,75,0.6573426573426573
101,test_performance_singlemodelFalse,False,0.7239380098931504,MLPClassifier,7592,5,1,False,85,0.6630413733775531
101,test_performance_singlemodelFalse,False,0.7553718252537222,MLPClassifier,53,5,1,False,28,0.7336511119599355
101,test_performance_singlemodelFalse,False,0.7791970663308,MLPClassifier,7592,5,1,False,49,0.6726241148244025
101,test_performance_singlemodelFalse,False,0.7836507761076728,MLPClassifier,53,5,1,False,12,0.6930256456010844
101,test_performance_singlemodelFalse,False,0.7895594388513658,MLPClassifier,53,5,1,False,95,0.7096501572327044
101,test_performance_singlemodelFalse,False,0.7952646192961327,MLPClassifier,53,5,1,False,1,0.7453638582064803
101,test_performance_singlemodelFalse,False,0.8369477911646587,MLPClassifier,146818,5,1,False,8,0.8446870429058995
101,test_performance_singlemodelFalse,False,0.8532623532623533,MLPClassifier,146818,5,1,False,68,0.8322402224505834
101,test_performance_singlemodelFalse,False,0.8611782071926999,MLPClassifier,146818,5,1,False,95,0.8437086092715231
101,test_performance_singlemodelFalse,False,0.8615029842647857,MLPClassifier,146818,5,1,False,43,0.8001165501165501
101,test_performance_singlemodelFalse,False,0.8786774628879892,MLPClassifier,146818,5,1,False,11,0.8165180737506065
101,test_performance_singlemodelFalse,False,0.9605801205689434,MLPClassifier,146822,5,1,False,16,0.9624381033225663
101,test_performance_singlemodelFalse,False,0.9672627944458415,MLPClassifier,146822,5,1,False,36,0.9589900009704014
101,test_performance_singlemodelFalse,False,0.9710752151271613,MLPClassifier,146822,5,1,False,76,0.9661805863823786
101,test_performance_singlemodelFalse,False,0.973895339867045,MLPClassifier,146822,5,1,False,28,0.9576109505635995
101,test_performance_singlemodelFalse,False,0.975296820028524,MLPClassifier,146822,5,1,False,73,0.9619423806021389
101,test_performance_singlemodelFalse,False,0.9910684055426673,MLPClassifier,3,5,1,False,93,0.9940599912615111
101,test_performance_singlemodelFalse,False,0.9911515265736901,MLPClassifier,3,5,1,False,57,0.9916061769276048
101,test_performance_singlemodelFalse,False,0.9924048568776498,MLPClassifier,3,5,1,False,7,0.9945431897165348
101,test_performance_singlemodelFalse,False,0.9926488219184997,MLPClassifier,3,5,1,False,86,0.9890902134918843
101,test_performance_singlemodelFalse,False,0.9936868686868687,MLPClassifier,3,5,1,False,84,0.9924195758482406
102,test_performance_singlemodelFalse,False,0.5454545454545454,EnsembleSelection,10101,5,1,False,34,0.6416337516166242
102,test_performance_singlemodelFalse,False,0.5717518248175183,EnsembleSelection,10101,5,1,False,78,0.6057123267898383
102,test_performance_singlemodelFalse,False,0.6408606921029282,EnsembleSelection,10101,5,1,False,20,0.5981642980189492
102,test_performance_singlemodelFalse,False,0.6750693802035153,EnsembleSelection,10101,5,1,False,75,0.6643356643356644
102,test_performance_singlemodelFalse,False,0.6962043795620438,EnsembleSelection,10101,5,1,False,6,0.6541841079676675
102,test_performance_singlemodelFalse,False,0.7961827045878771,EnsembleSelection,53,5,1,False,12,0.7924097848987732
102,test_performance_singlemodelFalse,False,0.7978355412819483,EnsembleSelection,53,5,1,False,1,0.8057383899651365
102,test_performance_singlemodelFalse,False,0.7980916636862543,EnsembleSelection,7592,5,1,False,27,0.7957332670444802
102,test_performance_singlemodelFalse,False,0.7986129793462149,EnsembleSelection,7592,5,1,False,49,0.7959019659415472
102,test_performance_singlemodelFalse,False,0.8030618592550616,EnsembleSelection,53,5,1,False,28,0.8112182343799992
102,test_performance_singlemodelFalse,False,0.8043073786160315,EnsembleSelection,53,5,1,False,95,0.7740021770682148
102,test_performance_singlemodelFalse,False,0.8056156084020605,EnsembleSelection,7592,5,1,False,85,0.8019916038738679
102,test_performance_singlemodelFalse,False,0.8056288884650036,EnsembleSelection,7592,5,1,False,31,0.799769839757811
102,test_performance_singlemodelFalse,False,0.8122495533514105,EnsembleSelection,7592,5,1,False,47,0.8074989493679516
102,test_performance_singlemodelFalse,False,0.8583811083811084,EnsembleSelection,146818,5,1,False,68,0.8677310644985794
102,test_performance_singlemodelFalse,False,0.867536813922356,EnsembleSelection,146818,5,1,False,8,0.8788243539736713
