,single_model,repeated_ensemble,dataset_name,model,level,repeat,splits,iteration,seed,performance
0,False,False,53,HistGradientBoostingClassifier,0,5,2,0,12,0.7246030430297672
1,False,False,53,HistGradientBoostingClassifier,0,5,2,1,12,0.7690204710678848
2,False,False,53,HistGradientBoostingClassifier,0,5,2,2,12,0.7633147902544455
3,False,False,53,HistGradientBoostingClassifier,0,5,2,3,12,0.7794371377345516
4,False,False,53,HistGradientBoostingClassifier,0,5,2,4,12,0.7742288044012182
5,False,False,53,HistGradientBoostingClassifier,0,5,2,5,12,0.7612977699184595
6,False,False,53,HistGradientBoostingClassifier,0,5,2,6,12,0.7751267929069654
7,False,False,53,HistGradientBoostingClassifier,0,5,2,7,12,0.7708164480793791
8,False,False,53,HistGradientBoostingClassifier,0,5,2,8,12,0.7656081147460458
9,False,False,53,HistGradientBoostingClassifier,0,5,2,9,12,0.7612977699184595
10,False,False,53,RandomForestClassifier,0,5,2,0,12,0.7111900112977699
11,False,False,53,RandomForestClassifier,0,5,2,1,12,0.7393454047548875
12,False,False,53,RandomForestClassifier,0,5,2,2,12,0.7210264392376461
13,False,False,53,RandomForestClassifier,0,5,2,3,12,0.7246183932606346
14,False,False,53,RandomForestClassifier,0,5,2,4,12,0.7371487867177522
15,False,False,53,RandomForestClassifier,0,5,2,5,12,0.7285280970625798
16,False,False,53,RandomForestClassifier,0,5,2,6,12,0.7384474162491403
17,False,False,53,RandomForestClassifier,0,5,2,7,12,0.7418597725709795
18,False,False,53,RandomForestClassifier,0,5,2,8,12,0.7461701173985656
19,False,False,53,RandomForestClassifier,0,5,2,9,12,0.7366514392376461
20,False,False,53,DecisionTreeClassifier,0,5,2,0,12,0.6717107525297181
21,False,False,53,DecisionTreeClassifier,0,5,2,1,12,0.6185851385204834
22,False,False,53,DecisionTreeClassifier,0,5,2,2,12,0.7230142941349837
23,False,False,53,DecisionTreeClassifier,0,5,2,3,12,0.6844007883878573
24,False,False,53,DecisionTreeClassifier,0,5,2,4,12,0.7068643162393162
25,False,False,53,DecisionTreeClassifier,0,5,2,5,12,0.7194929511739856
26,False,False,53,DecisionTreeClassifier,0,5,2,6,12,0.7372316779644366
27,False,False,53,DecisionTreeClassifier,0,5,2,7,12,0.7054413498379015
28,False,False,53,DecisionTreeClassifier,0,5,2,8,12,0.7402433932606346
29,False,False,53,DecisionTreeClassifier,0,5,2,9,12,0.7204876461341978
30,False,False,53,LinearDiscriminantAnalysis,0,5,2,0,12,0.7720997273798998
31,False,False,53,LinearDiscriminantAnalysis,0,5,2,1,12,0.7720997273798998
32,False,False,53,LinearDiscriminantAnalysis,0,5,2,2,12,0.776410072207486
33,False,False,53,LinearDiscriminantAnalysis,0,5,2,3,12,0.7720997273798998
34,False,False,53,LinearDiscriminantAnalysis,0,5,2,4,12,0.7720997273798998
35,False,False,53,LinearDiscriminantAnalysis,0,5,2,5,12,0.7769074196875921
36,False,False,53,LinearDiscriminantAnalysis,0,5,2,6,12,0.7625810492189803
37,False,False,53,LinearDiscriminantAnalysis,0,5,2,7,12,0.7817151119952845
38,False,False,53,LinearDiscriminantAnalysis,0,5,2,8,12,0.7769074196875921
39,False,False,53,LinearDiscriminantAnalysis,0,5,2,9,12,0.7817151119952845
40,False,False,53,GradientBoostingClassifier,0,5,2,0,12,0.7144457952647607
41,False,False,53,GradientBoostingClassifier,0,5,2,1,12,0.7294107353374595
42,False,False,53,GradientBoostingClassifier,0,5,2,2,12,0.7519571544356027
43,False,False,53,GradientBoostingClassifier,0,5,2,3,12,0.7684801429413498
44,False,False,53,GradientBoostingClassifier,0,5,2,4,12,0.7648881889183614
45,False,False,53,GradientBoostingClassifier,0,5,2,5,12,0.7531744277433933
46,False,False,53,GradientBoostingClassifier,0,5,2,6,12,0.7713137955594852
47,False,False,53,GradientBoostingClassifier,0,5,2,7,12,0.7713137955594852
48,False,False,53,GradientBoostingClassifier,0,5,2,8,12,0.785142818547991
49,False,False,53,GradientBoostingClassifier,0,5,2,9,12,0.767003450731899
50,False,False,53,MLPClassifier,0,5,2,0,12,0.6081485165536891
51,False,False,53,MLPClassifier,0,5,2,1,12,0.6505704145790353
52,False,False,53,MLPClassifier,0,5,2,2,12,0.6385404386481973
53,False,False,53,MLPClassifier,0,5,2,3,12,0.6489724555457315
54,False,False,53,MLPClassifier,0,5,2,4,12,0.6537801478534238
55,False,False,53,MLPClassifier,0,5,2,5,12,0.6505888348560762
56,False,False,53,MLPClassifier,0,5,2,6,12,0.68305457314078
57,False,False,53,MLPClassifier,0,5,2,7,12,0.7073969692504175
58,False,False,53,MLPClassifier,0,5,2,8,12,0.6971599002849003
59,False,False,53,MLPClassifier,0,5,2,9,12,0.6910535784458198
60,False,False,53,HistGradientBoostingClassifier,1,5,2,10,12,0.7239813586796345
61,False,False,53,HistGradientBoostingClassifier,1,5,2,11,12,0.7873394365851263
62,False,False,53,HistGradientBoostingClassifier,1,5,2,12,12,0.7692000687690344
