,single_model,repeated_ensemble,dataset_name,model,level,repeat,splits,iteration,seed,performance
68,False,False,146822,HistGradientBoostingClassifier,1,5,2,18,55,0.9699265665479696
69,False,False,146822,HistGradientBoostingClassifier,1,5,2,19,55,0.9699265665479696
70,False,False,146822,RandomForestClassifier,1,5,2,10,55,0.9714513143781361
71,False,False,146822,RandomForestClassifier,1,5,2,11,55,0.9730443566583394
72,False,False,146822,RandomForestClassifier,1,5,2,12,55,0.9731030008056535
73,False,False,146822,RandomForestClassifier,1,5,2,13,55,0.9731030008056535
74,False,False,146822,RandomForestClassifier,1,5,2,14,55,0.974852674922354
75,False,False,146822,RandomForestClassifier,1,5,2,15,55,0.9732106387975591
76,False,False,146822,RandomForestClassifier,1,5,2,16,55,0.9714609646808589
77,False,False,146822,RandomForestClassifier,1,5,2,17,55,0.9732692829448732
78,False,False,146822,RandomForestClassifier,1,5,2,18,55,0.9732692829448732
79,False,False,146822,RandomForestClassifier,1,5,2,19,55,0.9732692829448732
80,False,False,146822,DecisionTreeClassifier,1,5,2,10,55,0.9680139136649046
81,False,False,146822,DecisionTreeClassifier,1,5,2,11,55,0.9540759072095943
82,False,False,146822,DecisionTreeClassifier,1,5,2,12,55,0.9749016687669455
83,False,False,146822,DecisionTreeClassifier,1,5,2,13,55,0.9679913096866045
84,False,False,146822,DecisionTreeClassifier,1,5,2,14,55,0.9698582720979331
85,False,False,146822,DecisionTreeClassifier,1,5,2,15,55,0.9680499538339186
86,False,False,146822,DecisionTreeClassifier,1,5,2,16,55,0.9663002797172181
87,False,False,146822,DecisionTreeClassifier,1,5,2,17,55,0.9681085979812326
88,False,False,146822,DecisionTreeClassifier,1,5,2,18,55,0.9715686026727645
89,False,False,146822,DecisionTreeClassifier,1,5,2,19,55,0.9647658815843291
90,False,False,146822,LinearDiscriminantAnalysis,1,5,2,10,55,0.9733182767894648
91,False,False,146822,LinearDiscriminantAnalysis,1,5,2,11,55,0.5628285461962236
92,False,False,146822,LinearDiscriminantAnalysis,1,5,2,12,55,0.968000959989327
93,False,False,146822,LinearDiscriminantAnalysis,1,5,2,13,55,0.9663002797172181
94,False,False,146822,LinearDiscriminantAnalysis,1,5,2,14,55,0.9698092782533415
95,False,False,146822,LinearDiscriminantAnalysis,1,5,2,15,55,0.9698092782533415
96,False,False,146822,LinearDiscriminantAnalysis,1,5,2,16,55,0.968000959989327
97,False,False,146822,LinearDiscriminantAnalysis,1,5,2,17,55,0.968000959989327
98,False,False,146822,LinearDiscriminantAnalysis,1,5,2,18,55,0.9698092782533415
99,False,False,146822,LinearDiscriminantAnalysis,1,5,2,19,55,0.9715099585254503
100,False,False,146822,GradientBoostingClassifier,1,5,2,10,55,0.968248490254161
101,False,False,146822,GradientBoostingClassifier,1,5,2,11,55,0.9783616734584772
102,False,False,146822,GradientBoostingClassifier,1,5,2,12,55,0.9767196373336825
103,False,False,146822,GradientBoostingClassifier,1,5,2,13,55,0.9765533551944628
104,False,False,146822,GradientBoostingClassifier,1,5,2,14,55,0.9783030293111631
105,False,False,146822,GradientBoostingClassifier,1,5,2,15,55,0.9732692829448732
106,False,False,146822,GradientBoostingClassifier,1,5,2,16,55,0.9716272468200785
107,False,False,146822,GradientBoostingClassifier,1,5,2,17,55,0.974911319069668
108,False,False,146822,GradientBoostingClassifier,1,5,2,18,55,0.9750189570615736
109,False,False,146822,GradientBoostingClassifier,1,5,2,19,55,0.9750189570615736
110,False,False,146822,MLPClassifier,1,5,2,10,55,0.9698092782533415
111,False,False,146822,MLPClassifier,1,5,2,11,55,0.96976028440875
112,False,False,146822,MLPClassifier,1,5,2,12,55,0.9715099585254503
113,False,False,146822,MLPClassifier,1,5,2,13,55,0.9698679224006556
114,False,False,146822,MLPClassifier,1,5,2,14,55,0.9698679224006556
115,False,False,146822,MLPClassifier,1,5,2,15,55,0.9698679224006556
116,False,False,146822,MLPClassifier,1,5,2,16,55,0.9680596041366412
117,False,False,146822,MLPClassifier,1,5,2,17,55,0.9698679224006556
118,False,False,146822,MLPClassifier,1,5,2,18,55,0.9698679224006556
119,False,False,146822,MLPClassifier,1,5,2,19,55,0.9698679224006556
120,False,False,146822,HistGradientBoostingClassifier,0,5,3,0,55,0.9681085979812326
121,False,False,146822,HistGradientBoostingClassifier,0,5,3,1,55,0.9715099585254503
122,False,False,146822,HistGradientBoostingClassifier,0,5,3,2,55,0.974911319069668
123,False,False,146822,HistGradientBoostingClassifier,0,5,3,3,55,0.9715099585254503
124,False,False,146822,HistGradientBoostingClassifier,0,5,3,4,55,0.9715099585254503
125,False,False,146822,HistGradientBoostingClassifier,0,5,3,5,55,0.9715099585254503
126,False,False,146822,HistGradientBoostingClassifier,0,5,3,6,55,0.9698092782533415
127,False,False,146822,HistGradientBoostingClassifier,0,5,3,7,55,0.9698092782533415
128,False,False,146822,HistGradientBoostingClassifier,0,5,3,8,55,0.9698092782533415
129,False,False,146822,HistGradientBoostingClassifier,0,5,3,9,55,0.9715099585254503
130,False,False,146822,HistGradientBoostingClassifier,0,5,3,10,55,0.9732106387975591
131,False,False,146822,HistGradientBoostingClassifier,0,5,3,11,55,0.9698092782533415
132,False,False,146822,HistGradientBoostingClassifier,0,5,3,12,55,0.9698092782533415
133,False,False,146822,HistGradientBoostingClassifier,0,5,3,13,55,0.9698092782533415
134,False,False,146822,HistGradientBoostingClassifier,0,5,3,14,55,0.9715099585254503
135,False,False,146822,RandomForestClassifier,0,5,3,0,55,0.9562134863791932
136,False,False,146822,RandomForestClassifier,0,5,3,1,55,0.964573209578818
137,False,False,146822,RandomForestClassifier,0,5,3,2,55,0.9647168877397376
138,False,False,146822,RandomForestClassifier,0,5,3,3,55,0.964573209578818
139,False,False,146822,RandomForestClassifier,0,5,3,4,55,0.964573209578818
140,False,False,146822,RandomForestClassifier,0,5,3,5,55,0.9629311734540232
141,False,False,146822,RandomForestClassifier,0,5,3,6,55,0.9629311734540232
142,False,False,146822,RandomForestClassifier,0,5,3,7,55,0.9664175680118464
143,False,False,146822,RandomForestClassifier,0,5,3,8,55,0.9647168877397376
144,False,False,146822,RandomForestClassifier,0,5,3,9,55,0.9664175680118464
145,False,False,146822,RandomForestClassifier,0,5,3,10,55,0.9664175680118464
146,False,False,146822,RandomForestClassifier,0,5,3,11,55,0.9647168877397376
147,False,False,146822,RandomForestClassifier,0,5,3,12,55,0.9647168877397376
148,False,False,146822,RandomForestClassifier,0,5,3,13,55,0.9647168877397376
149,False,False,146822,RandomForestClassifier,0,5,3,14,55,0.9647168877397376
150,False,False,146822,DecisionTreeClassifier,0,5,3,0,55,0.9410472562031421
151,False,False,146822,DecisionTreeClassifier,0,5,3,1,55,0.9406915083572153
152,False,False,146822,DecisionTreeClassifier,0,5,3,2,55,0.946100303174877
153,False,False,146822,DecisionTreeClassifier,0,5,3,3,55,0.9563043848075301
154,False,False,146822,DecisionTreeClassifier,0,5,3,4,55,0.9478596275943001
155,False,False,146822,DecisionTreeClassifier,0,5,3,5,55,0.9546037045354213
156,False,False,146822,DecisionTreeClassifier,0,5,3,6,55,0.9529616684106266
157,False,False,146822,DecisionTreeClassifier,0,5,3,7,55,0.9563043848075301
158,False,False,146822,DecisionTreeClassifier,0,5,3,8,55,0.9529030242633124
159,False,False,146822,DecisionTreeClassifier,0,5,3,9,55,0.9546037045354213
160,False,False,146822,DecisionTreeClassifier,0,5,3,10,55,0.9529616684106266
161,False,False,146822,DecisionTreeClassifier,0,5,3,11,55,0.9563043848075301
162,False,False,146822,DecisionTreeClassifier,0,5,3,12,55,0.9563043848075301
163,False,False,146822,DecisionTreeClassifier,0,5,3,13,55,0.9563043848075301
164,False,False,146822,DecisionTreeClassifier,0,5,3,14,55,0.9563043848075301
165,False,False,146822,LinearDiscriminantAnalysis,0,5,3,0,55,0.9016744293770821
166,False,False,146822,LinearDiscriminantAnalysis,0,5,3,1,55,0.8983317129801786
167,False,False,146822,LinearDiscriminantAnalysis,0,5,3,2,55,0.8966310327080697
168,False,False,146822,LinearDiscriminantAnalysis,0,5,3,3,55,0.8999737491049732
169,False,False,146822,LinearDiscriminantAnalysis,0,5,3,4,55,0.8966310327080697
170,False,False,146822,LinearDiscriminantAnalysis,0,5,3,5,55,0.8983317129801786
171,False,False,146822,LinearDiscriminantAnalysis,0,5,3,6,55,0.8966310327080697
172,False,False,146822,LinearDiscriminantAnalysis,0,5,3,7,55,0.8983317129801786
173,False,False,146822,LinearDiscriminantAnalysis,0,5,3,8,55,0.8966310327080697
174,False,False,146822,LinearDiscriminantAnalysis,0,5,3,9,55,0.8983317129801786
175,False,False,146822,LinearDiscriminantAnalysis,0,5,3,10,55,0.8966310327080697
176,False,False,146822,LinearDiscriminantAnalysis,0,5,3,11,55,0.8966310327080697
177,False,False,146822,LinearDiscriminantAnalysis,0,5,3,12,55,0.8966310327080697
178,False,False,146822,LinearDiscriminantAnalysis,0,5,3,13,55,0.8966310327080697
179,False,False,146822,LinearDiscriminantAnalysis,0,5,3,14,55,0.8966310327080697
180,False,False,146822,GradientBoostingClassifier,0,5,3,0,55,0.9544937126637729
181,False,False,146822,GradientBoostingClassifier,0,5,3,1,55,0.9664079177091238
182,False,False,146822,GradientBoostingClassifier,0,5,3,2,55,0.964573209578818
183,False,False,146822,GradientBoostingClassifier,0,5,3,3,55,0.9662738898509268
184,False,False,146822,GradientBoostingClassifier,0,5,3,4,55,0.964573209578818
185,False,False,146822,GradientBoostingClassifier,0,5,3,5,55,0.9662152457036127
186,False,False,146822,GradientBoostingClassifier,0,5,3,6,55,0.9662152457036127
187,False,False,146822,GradientBoostingClassifier,0,5,3,7,55,0.9662152457036127
188,False,False,146822,GradientBoostingClassifier,0,5,3,8,55,0.9662152457036127
189,False,False,146822,GradientBoostingClassifier,0,5,3,9,55,0.964573209578818
190,False,False,146822,GradientBoostingClassifier,0,5,3,10,55,0.964573209578818
191,False,False,146822,GradientBoostingClassifier,0,5,3,11,55,0.9663589238645323
192,False,False,146822,GradientBoostingClassifier,0,5,3,12,55,0.9662152457036127
193,False,False,146822,GradientBoostingClassifier,0,5,3,13,55,0.9662152457036127
194,False,False,146822,GradientBoostingClassifier,0,5,3,14,55,0.964573209578818
195,False,False,146822,MLPClassifier,0,5,3,0,55,0.952685187237625
196,False,False,146822,MLPClassifier,0,5,3,1,55,0.9580121543404853
197,False,False,146822,MLPClassifier,0,5,3,2,55,0.9546694379435816
198,False,False,146822,MLPClassifier,0,5,3,3,55,0.9547280820908958
199,False,False,146822,MLPClassifier,0,5,3,4,55,0.9478763671578688
200,False,False,146822,MLPClassifier,0,5,3,5,55,0.9478763671578688
201,False,False,146822,MLPClassifier,0,5,3,6,55,0.9495184032826636
202,False,False,146822,MLPClassifier,0,5,3,7,55,0.9478177230105548
203,False,False,146822,MLPClassifier,0,5,3,8,55,0.9495184032826636
204,False,False,146822,MLPClassifier,0,5,3,9,55,0.9528024755322531
205,False,False,146822,MLPClassifier,0,5,3,10,55,0.9511604394074584
206,False,False,146822,MLPClassifier,0,5,3,11,55,0.9512680773993639
207,False,False,146822,MLPClassifier,0,5,3,12,55,0.9512680773993639
208,False,False,146822,MLPClassifier,0,5,3,13,55,0.9512680773993639
209,False,False,146822,MLPClassifier,0,5,3,14,55,0.9512680773993639
210,False,False,146822,HistGradientBoostingClassifier,1,5,3,15,55,0.9646582435924235
211,False,False,146822,HistGradientBoostingClassifier,1,5,3,16,55,0.9717348848119841
212,False,False,146822,HistGradientBoostingClassifier,1,5,3,17,55,0.9716272468200785
213,False,False,146822,HistGradientBoostingClassifier,1,5,3,18,55,0.9750776012088878
214,False,False,146822,HistGradientBoostingClassifier,1,5,3,19,55,0.973376920936779
215,False,False,146822,HistGradientBoostingClassifier,1,5,3,20,55,0.973376920936779
216,False,False,146822,HistGradientBoostingClassifier,1,5,3,21,55,0.973376920936779
217,False,False,146822,HistGradientBoostingClassifier,1,5,3,22,55,0.973376920936779
218,False,False,146822,HistGradientBoostingClassifier,1,5,3,23,55,0.973376920936779
219,False,False,146822,HistGradientBoostingClassifier,1,5,3,24,55,0.9715686026727645
220,False,False,146822,HistGradientBoostingClassifier,1,5,3,25,55,0.973376920936779
221,False,False,146822,HistGradientBoostingClassifier,1,5,3,26,55,0.973376920936779
222,False,False,146822,HistGradientBoostingClassifier,1,5,3,27,55,0.973376920936779
223,False,False,146822,HistGradientBoostingClassifier,1,5,3,28,55,0.973376920936779
224,False,False,146822,HistGradientBoostingClassifier,1,5,3,29,55,0.9715686026727645
225,False,False,146822,RandomForestClassifier,1,5,3,15,55,0.973376920936779
226,False,False,146822,RandomForestClassifier,1,5,3,16,55,0.9733182767894648
227,False,False,146822,RandomForestClassifier,1,5,3,17,55,0.9698679224006556
228,False,False,146822,RandomForestClassifier,1,5,3,18,55,0.9698679224006556
229,False,False,146822,RandomForestClassifier,1,5,3,19,55,0.9698679224006556
230,False,False,146822,RandomForestClassifier,1,5,3,20,55,0.9698679224006556
231,False,False,146822,RandomForestClassifier,1,5,3,21,55,0.9698679224006556
232,False,False,146822,RandomForestClassifier,1,5,3,22,55,0.9715099585254503
233,False,False,146822,RandomForestClassifier,1,5,3,23,55,0.9698679224006556
234,False,False,146822,RandomForestClassifier,1,5,3,24,55,0.9715099585254503
235,False,False,146822,RandomForestClassifier,1,5,3,25,55,0.9715099585254503
236,False,False,146822,RandomForestClassifier,1,5,3,26,55,0.9715099585254503
237,False,False,146822,RandomForestClassifier,1,5,3,27,55,0.9715099585254503
238,False,False,146822,RandomForestClassifier,1,5,3,28,55,0.9715099585254503
239,False,False,146822,RandomForestClassifier,1,5,3,29,55,0.9715099585254503
240,False,False,146822,DecisionTreeClassifier,1,5,3,15,55,0.9648148754289206
241,False,False,146822,DecisionTreeClassifier,1,5,3,16,55,0.9562264400547708
242,False,False,146822,DecisionTreeClassifier,1,5,3,17,55,0.9665155557010294
243,False,False,146822,DecisionTreeClassifier,1,5,3,18,55,0.9664569115537154
244,False,False,146822,DecisionTreeClassifier,1,5,3,19,55,0.9698582720979331
245,False,False,146822,DecisionTreeClassifier,1,5,3,20,55,0.9681575918258243
246,False,False,146822,DecisionTreeClassifier,1,5,3,21,55,0.9665741998483436
247,False,False,146822,DecisionTreeClassifier,1,5,3,22,55,0.9681575918258243
248,False,False,146822,DecisionTreeClassifier,1,5,3,23,55,0.9699755603925613
249,False,False,146822,DecisionTreeClassifier,1,5,3,24,55,0.9699755603925613
250,False,False,146822,DecisionTreeClassifier,1,5,3,25,55,0.9700342045398752
251,False,False,146822,DecisionTreeClassifier,1,5,3,26,55,0.9699755603925613
252,False,False,146822,DecisionTreeClassifier,1,5,3,27,55,0.9716762406646701
253,False,False,146822,DecisionTreeClassifier,1,5,3,28,55,0.9716762406646701
254,False,False,146822,DecisionTreeClassifier,1,5,3,29,55,0.9700342045398752
255,False,False,146822,LinearDiscriminantAnalysis,1,5,3,15,55,0.974911319069668
256,False,False,146822,LinearDiscriminantAnalysis,1,5,3,16,55,0.9715325625037504
257,False,False,146822,LinearDiscriminantAnalysis,1,5,3,17,55,0.969724244239736
258,False,False,146822,LinearDiscriminantAnalysis,1,5,3,18,55,0.9732106387975591
259,False,False,146822,LinearDiscriminantAnalysis,1,5,3,19,55,0.9715099585254503
260,False,False,146822,LinearDiscriminantAnalysis,1,5,3,20,55,0.9697016402614358
261,False,False,146822,LinearDiscriminantAnalysis,1,5,3,21,55,0.9714023205335447
262,False,False,146822,LinearDiscriminantAnalysis,1,5,3,22,55,0.9732106387975591
263,False,False,146822,LinearDiscriminantAnalysis,1,5,3,23,55,0.9732106387975591
264,False,False,146822,LinearDiscriminantAnalysis,1,5,3,24,55,0.9732106387975591
265,False,False,146822,LinearDiscriminantAnalysis,1,5,3,25,55,0.9732106387975591
266,False,False,146822,LinearDiscriminantAnalysis,1,5,3,26,55,0.9714023205335447
267,False,False,146822,LinearDiscriminantAnalysis,1,5,3,27,55,0.9732106387975591
268,False,False,146822,LinearDiscriminantAnalysis,1,5,3,28,55,0.9714023205335447
269,False,False,146822,LinearDiscriminantAnalysis,1,5,3,29,55,0.9714023205335447
270,False,False,146822,GradientBoostingClassifier,1,5,3,15,55,0.9732106387975591
271,False,False,146822,GradientBoostingClassifier,1,5,3,16,55,0.9716762406646701
272,False,False,146822,GradientBoostingClassifier,1,5,3,17,55,0.9716175965173559
273,False,False,146822,GradientBoostingClassifier,1,5,3,18,55,0.9733182767894648
274,False,False,146822,GradientBoostingClassifier,1,5,3,19,55,0.9733182767894648
275,False,False,146822,GradientBoostingClassifier,1,5,3,20,55,0.9733182767894648
276,False,False,146822,GradientBoostingClassifier,1,5,3,21,55,0.9733182767894648
277,False,False,146822,GradientBoostingClassifier,1,5,3,22,55,0.9733182767894648
278,False,False,146822,GradientBoostingClassifier,1,5,3,23,55,0.9733182767894648
279,False,False,146822,GradientBoostingClassifier,1,5,3,24,55,0.9715099585254503
280,False,False,146822,GradientBoostingClassifier,1,5,3,25,55,0.9733182767894648
281,False,False,146822,GradientBoostingClassifier,1,5,3,26,55,0.9733182767894648
282,False,False,146822,GradientBoostingClassifier,1,5,3,27,55,0.9733182767894648
283,False,False,146822,GradientBoostingClassifier,1,5,3,28,55,0.9733182767894648
284,False,False,146822,GradientBoostingClassifier,1,5,3,29,55,0.9733182767894648
285,False,False,146822,MLPClassifier,1,5,3,15,55,0.973376920936779
286,False,False,146822,MLPClassifier,1,5,3,16,55,0.973376920936779
287,False,False,146822,MLPClassifier,1,5,3,17,55,0.9717348848119841
288,False,False,146822,MLPClassifier,1,5,3,18,55,0.9717348848119841
289,False,False,146822,MLPClassifier,1,5,3,19,55,0.9699265665479696
290,False,False,146822,MLPClassifier,1,5,3,20,55,0.9699265665479696
291,False,False,146822,MLPClassifier,1,5,3,21,55,0.9715686026727645
292,False,False,146822,MLPClassifier,1,5,3,22,55,0.9715686026727645
293,False,False,146822,MLPClassifier,1,5,3,23,55,0.968284530423175
294,False,False,146822,MLPClassifier,1,5,3,24,55,0.968284530423175
295,False,False,146822,MLPClassifier,1,5,3,25,55,0.9699265665479696
296,False,False,146822,MLPClassifier,1,5,3,26,55,0.968284530423175
297,False,False,146822,MLPClassifier,1,5,3,27,55,0.9699265665479696
298,False,False,146822,MLPClassifier,1,5,3,28,55,0.9699265665479696
299,False,False,146822,MLPClassifier,1,5,3,29,55,0.9699265665479696
300,False,False,146822,HistGradientBoostingClassifier,0,5,5,0,55,0.9698092782533415
301,False,False,146822,HistGradientBoostingClassifier,0,5,5,1,55,0.9766119993417768
302,False,False,146822,HistGradientBoostingClassifier,0,5,5,2,55,0.9732692829448732
303,False,False,146822,HistGradientBoostingClassifier,0,5,5,3,55,0.9733279270921874
304,False,False,146822,HistGradientBoostingClassifier,0,5,5,4,55,0.9698679224006556
305,False,False,146822,HistGradientBoostingClassifier,0,5,5,5,55,0.9732692829448732
306,False,False,146822,HistGradientBoostingClassifier,0,5,5,6,55,0.9732692829448732
307,False,False,146822,HistGradientBoostingClassifier,0,5,5,7,55,0.9732106387975591
308,False,False,146822,HistGradientBoostingClassifier,0,5,5,8,55,0.9715099585254503
309,False,False,146822,HistGradientBoostingClassifier,0,5,5,9,55,0.9715099585254503
310,False,False,146822,HistGradientBoostingClassifier,0,5,5,10,55,0.9715686026727645
