,tool,max_number_models,max_number_folds,max_num_repetitions,stacking_levels,cv_type,allowed_folds_to_use,task,model,fold,train,val,test,overfit,seed
0,autosklearn,40,5,5,1,cv,1.0,54,best_individual_model,0,0.9744111116942212,0.8072095912136021,0.8451054729805887,0.018994386372435113,37
1,autosklearn,40,5,5,1,cv,1.0,54,best_ensemble_model,0,0.8390087054888845,inf,0.835423435608678,0.011031997187060383,37
2,autosklearn,40,5,5,1,cv,1.0,54,best_individual_model,1,0.9744111116942212,0.8072095912136021,0.8451054729805887,0.018994386372435113,37
3,autosklearn,40,5,5,1,cv,1.0,54,best_ensemble_model,1,0.8393292183093973,inf,0.835423435608678,0.007628842676311032,37
4,autosklearn,40,5,5,1,cv,1.0,54,best_individual_model,2,0.9771522409189912,0.8105776390419257,0.8419409160185634,0.022158943334460446,37
5,autosklearn,40,5,5,1,cv,1.0,54,best_ensemble_model,2,0.8381008590727261,inf,0.8532805784658208,0.0,37
6,autosklearn,40,5,5,1,cv,1.0,54,best_individual_model,3,0.9744111116942212,0.8072095912136021,0.8451054729805887,0.018994386372435113,37
7,autosklearn,40,5,5,1,cv,1.0,54,best_ensemble_model,3,0.8379549478654338,inf,0.8254337329765703,0.019721971066907762,37
8,autosklearn,40,5,5,1,cv,1.0,54,best_individual_model,4,0.9744111116942212,0.8072095912136021,0.8451054729805887,0.018994386372435113,37
9,autosklearn,40,5,5,1,cv,1.0,54,best_ensemble_model,4,0.8379475703324808,inf,0.8375268613671669,0.022886528028933206,37
