tool,Albert,Australian,MiniBooNE,adult,cnae-9,connect-4,higgs,kr-vs-kp,segment,vehicle
autosklearn,1.8,2.6,1.8,4.2,2.0,1.0,3.8,3.4,3.4,1.8
autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,3.2,2.9,2.0,2.6,4.1,2.8,2.6,2.8,3.3,3.3
autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,3.8,3.6,2.2,1.4,4.1,2.2,2.2,3.2,3.1,2.1
autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,3.4,3.0,4.2,3.6,2.5,,3.6,2.8,2.3,4.2
autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgTrue,2.8,2.9,4.8,3.2,2.3,,2.8,2.8,2.9,3.6
