JobID|JobName|MaxRSS|Elapsed|MaxDiskRead|MaxDiskWrite|MaxRSS|MaxVMSize|MinCPU|TotalCPU
4687860|autosklearn_master_thesis_3600s1c6G_segment_1||01:00:13||||||01:14:33
4687860.batch|batch|4117048K|01:00:13|316.07M|914.16M|4117048K|9158840K|00:31:38|01:14:33
4687861|autosklearn_master_thesis_3600s1c6G_segment_2||01:00:13||||||01:12:28
4687861.batch|batch|3816588K|01:00:13|308.27M|967.15M|3816588K|8853964K|00:27:07|01:12:28
4687862|autosklearn_master_thesis_3600s1c6G_segment_3||01:00:12||||||01:17:54
4687862.batch|batch|3950176K|01:00:12|374.52M|1057.96M|3950176K|8991856K|00:44:17|01:17:54
4687863|autosklearn_master_thesis_3600s1c6G_segment_4||01:00:16||||||01:18:32
4687863.batch|batch|1093272K|01:00:16|556.94M|1282.80M|1093272K|6184912K|00:48:22|01:18:32
4687864|autosklearn_master_thesis_3600s1c6G_Australian_0||01:00:10||||||01:09:06
4687864.batch|batch|2532012K|01:00:10|427.61M|742.27M|2532012K|7707072K|00:53:20|01:09:06
4687865|autosklearn_master_thesis_3600s1c6G_Australian_1||01:00:08||||||01:06:43
4687865.batch|batch|3013196K|01:00:08|250.67M|548.18M|3013196K|8319540K|00:41:58|01:06:43
4687866|autosklearn_master_thesis_3600s1c6G_Australian_2||01:00:05||||||01:08:28
4687866.batch|batch|1658856K|01:00:05|305.20M|979.08M|1658856K|6732360K|00:49:02|01:08:28
4687867|autosklearn_master_thesis_3600s1c6G_Australian_3||01:00:07||||||01:11:41
4687867.batch|batch|2541952K|01:00:07|266.62M|1410.27M|2541952K|9210456K|00:48:30|01:11:41
4687868|autosklearn_master_thesis_3600s1c6G_Australian_4||01:00:06||||||01:06:49
4687868.batch|batch|3930072K|01:00:06|197.24M|567.38M|3930072K|9007692K|00:32:43|01:06:49
4687869|autosklearn_master_thesis_3600s1c6G_adult_0||01:03:22||||||01:17:12
4687869.batch|batch|3613556K|01:03:22|430.43M|2091.41M|3613556K|8633972K|00:17:13|01:17:12
4687871|autosklearn_master_thesis_3600s1c6G_adult_1||01:03:17||||||01:12:13
4687871.batch|batch|3614036K|01:03:17|354.76M|1524.97M|3614036K|8633296K|00:12:33|01:12:13
4687872|autosklearn_master_thesis_3600s1c6G_adult_2||01:03:21||||||01:17:24
4687872.batch|batch|3613500K|01:03:21|535.06M|1573.72M|3613500K|8633676K|00:16:34|01:17:24
4687873|autosklearn_master_thesis_3600s1c6G_adult_3||01:03:27||||||01:17:45
4687873.batch|batch|3614020K|01:03:27|419.97M|1410.42M|3614020K|8707832K|00:15:07|01:17:45
4687874|autosklearn_master_thesis_3600s1c6G_adult_4||01:03:04||||||01:18:42
4687874.batch|batch|3615992K|01:03:04|569.90M|1475.28M|3615992K|8633844K|00:15:30|01:18:42
4687875|autosklearn_master_thesis_3600s1c6G_Albert_0||00:02:00||||||01:44.017
4687875.batch|batch|6410712K|00:02:01|2698.96M|515.92M|6410712K|11631320K|00:01:45|01:44.017
4687876|autosklearn_master_thesis_3600s1c6G_Albert_1||00:01:30||||||01:18.018
4687876.batch|batch|6425852K|00:01:31|1929.96M|515.58M|6425852K|11001096K|00:01:19|01:18.018
4687877|autosklearn_master_thesis_3600s1c6G_Albert_2||00:03:00||||||02:40.017
4687877.batch|batch|6452728K|00:03:01|2698.97M|515.95M|6452728K|12076024K|00:02:41|02:40.017
4687878|autosklearn_master_thesis_3600s1c6G_Albert_3||00:03:30||||||03:10.019
4687878.batch|batch|6450252K|00:03:31|2698.97M|515.96M|6450252K|12216856K|00:03:10|03:10.019
4687879|autosklearn_master_thesis_3600s1c6G_Albert_4||00:02:00||||||01:45.019
4687879.batch|batch|6406284K|00:02:01|2698.97M|515.93M|6406284K|11780556K|00:01:46|01:45.019
4687893|autosklearn_master_thesis_3600s1c8G_Albert_0||00:00:10||||||00:02.381
