JobID|JobName|MaxRSS|Elapsed|MaxDiskRead|MaxDiskWrite|MaxRSS|MaxVMSize|MinCPU|TotalCPU
4700922.batch|batch|7433372K|01:01:08|7331.10M|565.59M|7433372K|12392532K|00:07:23|01:01:32
4700924|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_cnae-9_0||01:00:43||||||01:59:58
4700924.batch|batch|3489112K|01:00:43|1167.88M|2548.25M|3489112K|8579020K|01:05:08|01:59:58
4700925|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_cnae-9_1||01:00:06||||||01:59:24
4700925.batch|batch|3598484K|01:00:06|878.66M|2061.29M|3598484K|8616376K|01:03:08|01:59:24
4700926|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_cnae-9_2||01:00:38||||||01:57:26
4700926.batch|batch|3880380K|01:00:38|1005.98M|1838.91M|3880380K|8939128K|00:59:25|01:57:26
4700927|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_cnae-9_3||01:00:25||||||01:59:42
4700927.batch|batch|3533940K|01:00:25|1028.40M|2687.81M|3533940K|8554724K|01:08:22|01:59:42
4700928|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_cnae-9_4||01:00:26||||||01:59:36
4700928.batch|batch|3457208K|01:00:26|756.86M|2163.72M|3457208K|8478560K|01:03:22|01:59:36
4700929|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_higgs_0||01:00:42||||||01:26:31
4700929.batch|batch|4367232K|01:00:42|729.18M|273.47M|4367232K|9386392K|00:30:31|01:26:31
4700930|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_higgs_1||01:00:43||||||01:26:35
4700930.batch|batch|4368364K|01:00:43|729.20M|273.53M|4368364K|9386276K|00:30:37|01:26:35
4700931|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_higgs_2||01:00:49||||||01:26:49
4700931.batch|batch|4369536K|01:00:49|729.47M|273.82M|4369536K|9388704K|00:31:49|01:26:49
4700932|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_higgs_3||01:00:48||||||01:26:52
4700932.batch|batch|4366304K|01:00:48|729.29M|273.77M|4366304K|9387764K|00:32:03|01:26:52
4700933|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_higgs_4||01:00:46||||||01:26:49
4700933.batch|batch|4367248K|01:00:46|729.38M|273.75M|4367248K|9387796K|00:30:57|01:26:49
4700934|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_kr-vs-kp_0||01:00:22||||||01:53:57
4700934.batch|batch|4091684K|01:00:22|298.53M|1804.06M|4091684K|9166292K|01:01:17|01:53:57
4700935|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_kr-vs-kp_1||01:00:15||||||01:54:03
4700935.batch|batch|3314988K|01:00:15|193.87M|1342.91M|3314988K|8423232K|00:58:18|01:54:03
4700936|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_kr-vs-kp_2||01:00:27||||||01:53:37
4700936.batch|batch|4022836K|01:00:27|184.65M|1896.69M|4022836K|9307056K|00:56:37|01:53:37
4700937|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_kr-vs-kp_3||01:00:23||||||01:53:50
4700937.batch|batch|4117368K|01:00:23|177.19M|1095.83M|4117368K|9254868K|00:56:58|01:53:50
4700938|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_kr-vs-kp_4||01:00:26||||||01:54:32
4700938.batch|batch|4126440K|01:00:26|203.94M|1648.49M|4126440K|9308416K|00:57:43|01:54:32
4700939|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_vehicle_0||01:00:18||||||01:59:14
4700939.batch|batch|3581316K|01:00:18|226.03M|5936.54M|3581316K|8760300K|01:15:23|01:59:14
4700941|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_vehicle_1||01:00:31||||||01:59:20
4700941.batch|batch|4181188K|01:00:31|866.55M|2588.41M|4181188K|9243296K|01:11:10|01:59:20
4700942|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_vehicle_2||01:00:16||||||01:59:06
4700942.batch|batch|3650432K|01:00:16|224.55M|3252.13M|3650432K|8684564K|01:15:18|01:59:06
4700943|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_vehicle_3||01:00:06||||||01:59:05
4700943.batch|batch|3622448K|01:00:06|246.40M|3431.40M|3622448K|8656888K|01:17:47|01:59:05
4700944|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_vehicle_4||01:00:11||||||01:59:03
4700944.batch|batch|3788892K|01:00:11|228.80M|2509.65M|3788892K|8824892K|01:18:29|01:59:03
4700945|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_MiniBooNE_0||01:00:15||||||01:23:39
4700945.batch|batch|4703328K|01:00:15|1443.94M|270.92M|4703328K|9742524K|00:25:05|01:23:39
4700946|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_MiniBooNE_1||01:00:10||||||01:23:24
4700946.batch|batch|4711012K|01:00:10|1443.65M|270.97M|4711012K|9747932K|00:25:30|01:23:24
4700947|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_MiniBooNE_2||01:00:15||||||01:23:40
4700947.batch|batch|4583496K|01:00:15|1443.94M|270.93M|4583496K|9620672K|00:26:11|01:23:40
4700948|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_MiniBooNE_3||01:00:16||||||01:23:16
4700948.batch|batch|4582996K|01:00:16|1443.84M|270.92M|4582996K|9621164K|00:25:20|01:23:16
4700949|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_MiniBooNE_4||01:00:10||||||01:22:41
4700949.batch|batch|4582064K|01:00:10|1443.83M|270.91M|4582064K|9619448K|00:25:15|01:22:41
4700950|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_connect-4_0||01:01:07||||||01:39:38
4700950.batch|batch|4584780K|01:01:07|834.52M|308.97M|4584780K|9668688K|00:40:08|01:39:38
4700951|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_connect-4_1||01:01:05||||||01:39:38
4700951.batch|batch|4245992K|01:01:05|835.52M|309.74M|4245992K|9394180K|00:39:18|01:39:38
4700952|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_connect-4_2||01:01:07||||||01:39:51
4700952.batch|batch|4116396K|01:01:07|835.74M|311.62M|4116396K|9182020K|00:39:07|01:39:51
4700953|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_connect-4_3||01:01:07||||||01:39:04
4700953.batch|batch|4593164K|01:01:07|837.15M|310.45M|4593164K|9680008K|00:38:22|01:39:04
4700954|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_connect-4_4||01:01:05||||||01:39:28
4700954.batch|batch|4245416K|01:01:05|835.37M|311.72M|4245416K|9319112K|00:38:42|01:39:28
4700955|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_segment_0||01:00:12||||||01:59:00
4700955.batch|batch|4237564K|01:00:12|153.37M|2211.34M|4237564K|9292180K|01:04:00|01:59:00
4700956|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_segment_1||01:00:24||||||01:59:11
4700956.batch|batch|3624868K|01:00:24|203.03M|2472.58M|3624868K|8666228K|01:06:42|01:59:11
4700957|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_segment_2||01:00:13||||||01:58:56
4700957.batch|batch|4180336K|01:00:13|150.08M|2276.84M|4180336K|9443416K|01:03:17|01:58:56
4700958|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_segment_3||01:00:08||||||01:58:58
4700958.batch|batch|4229100K|01:00:08|171.73M|2752.77M|4229100K|9424700K|01:07:28|01:58:58
4700959|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_segment_4||01:00:05||||||01:58:56
4700959.batch|batch|4218624K|01:00:05|196.01M|3671.28M|4218624K|9278340K|01:05:02|01:58:56
4700960|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_Australian_0||01:00:12||||||01:56:24
4700960.batch|batch|1404352K|01:00:12|169.41M|1727.21M|1404352K|6559264K|01:14:10|01:56:24
4700961|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_Australian_1||01:00:24||||||01:56:00
4700961.batch|batch|2756972K|01:00:24|167.21M|2460.95M|2756972K|8228472K|01:12:12|01:56:00
4700962|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_Australian_2||01:00:20||||||01:56:08
4700962.batch|batch|2136440K|01:00:20|177.51M|1968.83M|2136440K|7506652K|01:13:30|01:56:08
4700963|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_Australian_3||01:00:19||||||01:56:27
4700963.batch|batch|1377644K|01:00:19|186.56M|3107.97M|1377644K|6518728K|01:15:56|01:56:27
4700964|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_Australian_4||01:00:23||||||01:01:32
4700964.batch|batch|2192572K|01:00:23|117.24M|1522.79M|2192572K|7494592K|00:37:00|01:01:32
4700965|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_adult_1||01:00:46||||||01:53:17
4700965.batch|batch|3308340K|01:00:46|274.30M|284.75M|3308340K|8389976K|00:57:51|01:53:17
4700966|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_adult_2||01:00:45||||||01:53:19
4700966.batch|batch|3302336K|01:00:45|274.40M|284.14M|3302336K|8391704K|00:57:55|01:53:19
4700967|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_adult_3||01:00:40||||||01:53:20
4700967.batch|batch|3347636K|01:00:40|274.19M|282.94M|3347636K|8575100K|00:57:12|01:53:20
4700968|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_adult_4||01:00:46||||||01:52:59
4700968.batch|batch|3632576K|01:00:46|274.31M|284.93M|3632576K|8640964K|00:56:49|01:52:59
4700969|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_Albert_0||01:00:40||||||01:13:07
4700969.batch|batch|7494560K|01:00:40|7796.69M|591.21M|7494560K|12464044K|00:08:52|01:13:07
4700970|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_Albert_1||01:00:38||||||01:13:20
4700970.batch|batch|7506428K|01:00:38|7796.69M|591.21M|7506428K|12473272K|00:08:46|01:13:20
4700971|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_Albert_2||01:00:39||||||01:12:50
4700971.batch|batch|7550852K|01:00:39|7796.88M|591.22M|7550852K|12509168K|00:08:55|01:12:50
4700972|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_Albert_3||01:00:40||||||01:12:59
4700972.batch|batch|7464604K|01:00:40|7796.79M|591.21M|7464604K|12433036K|00:08:49|01:12:59
4700973|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_Albert_4||01:00:38||||||01:12:52
4700973.batch|batch|7499076K|01:00:38|7796.79M|591.22M|7499076K|12458556K|00:08:59|01:12:52
4701049|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_Albert_0||01:00:44||||||01:12:45
4701049.batch|batch|7379636K|01:00:44|7797.98M|596.00M|7379636K|12345964K|00:08:13|01:12:45
4701050|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_Albert_1||01:00:42||||||01:12:49
4701050.batch|batch|7339624K|01:00:42|7798.29M|596.00M|7339624K|12447780K|00:08:07|01:12:49
4701051|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_Albert_2||01:00:39||||||01:12:45
4701051.batch|batch|7432084K|01:00:39|7798.21M|596.00M|7432084K|12388816K|00:08:12|01:12:45
4701052|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_Albert_3||01:00:43||||||01:12:46
4701052.batch|batch|7327576K|01:00:43|7798.39M|596.00M|7327576K|12290192K|00:09:03|01:12:46
4701053|autosklearnBBCScoreEnsemble_B_100_Nb_50_master_thesis_3600s1c8G_Albert_4||01:00:40||||||01:12:54
4701053.batch|batch|7366296K|01:00:40|7798.13M|596.00M|7366296K|12323948K|00:08:09|01:12:54
4701055|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_cnae-9_0||01:00:07||||||01:37:52
4701055.batch|batch|3674940K|01:00:07|1047.37M|3205.60M|3674940K|8914840K|00:32:16|01:37:52
4701056|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_cnae-9_1||01:00:12||||||01:32:15
4701056.batch|batch|3534012K|01:00:12|969.68M|2101.40M|3534012K|8555588K|00:31:28|01:32:15
4701057|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_cnae-9_2||01:00:10||||||01:41:10
4701057.batch|batch|3416432K|01:00:10|1201.84M|2384.95M|3416432K|8511720K|00:40:12|01:41:10
4701058|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_cnae-9_3||01:00:36||||||01:41:22
4701058.batch|batch|3616472K|01:00:36|997.98M|2491.55M|3616472K|8635720K|00:36:42|01:41:22
4701059|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_cnae-9_4||01:00:21||||||01:35:20
4701059.batch|batch|4008624K|01:00:21|944.16M|1933.90M|4008624K|9097040K|00:27:58|01:35:20
4701060|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_higgs_0||01:00:58||||||01:06:45
4701060.batch|batch|4337240K|01:00:58|726.98M|128.71M|4337240K|9504964K|00:11:57|01:06:45
4701061|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_higgs_1||01:00:51||||||01:06:50
4701061.batch|batch|4338380K|01:00:51|704.31M|128.76M|4338380K|9577180K|00:12:02|01:06:50
4701062|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_higgs_2||01:00:58||||||01:06:51
4701062.batch|batch|4336560K|01:00:58|704.25M|129.03M|4336560K|9429832K|00:11:55|01:06:51
4701063|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_higgs_3||01:00:59||||||01:06:45
4701063.batch|batch|4335348K|01:00:59|727.21M|129.01M|4335348K|9355968K|00:11:55|01:06:45
4701064|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_higgs_4||01:00:56||||||01:06:33
4701064.batch|batch|4336256K|01:00:56|727.19M|129.00M|4336256K|9356068K|00:11:45|01:06:33
4701065|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_kr-vs-kp_0||01:00:30||||||01:40:16
4701065.batch|batch|3784216K|01:00:30|396.32M|1249.02M|3784216K|9249324K|00:43:54|01:40:16
4701066|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_kr-vs-kp_1||01:00:41||||||01:41:10
4701066.batch|batch|4193976K|01:00:41|707.63M|1029.65M|4193976K|9263188K|00:38:36|01:41:10
4701067|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_kr-vs-kp_2||01:00:34||||||01:40:52
4701067.batch|batch|4115896K|01:00:34|721.01M|1553.78M|4115896K|9220984K|00:44:18|01:40:52
4701068|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_kr-vs-kp_3||01:00:50||||||01:40:33
4701068.batch|batch|4003592K|01:00:50|713.43M|1341.11M|4003592K|9098664K|00:43:43|01:40:33
4701069|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_kr-vs-kp_4||01:00:31||||||01:45:32
4701069.batch|batch|3970300K|01:00:31|671.90M|1065.69M|3970300K|9026400K|00:48:49|01:45:32
4701070|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_vehicle_0||01:00:15||||||01:11:27
4701070.batch|batch|4138276K|01:00:15|143.95M|2996.47M|4138276K|9171076K|00:14:36|01:11:27
4701071|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_vehicle_1||01:00:00||||||01:25:00
4701071.batch|batch|3405060K|01:00:00|226.90M|2001.08M|3405060K|8513172K|00:32:31|01:25:00
4701072|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_vehicle_2||01:00:14||||||01:21:28
4701072.batch|batch|3390508K|01:00:14|251.19M|4344.85M|3390508K|8424592K|00:21:17|01:21:28
4701073|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_vehicle_3||01:00:05||||||01:27:23
4701073.batch|batch|3615204K|01:00:05|260.62M|2469.44M|3615204K|8651644K|00:36:37|01:27:23
4701074|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_vehicle_4||01:00:14||||||01:40:51
4701074.batch|batch|3509832K|01:00:14|245.89M|2668.41M|3509832K|8545712K|00:56:17|01:40:51
4701075|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_MiniBooNE_0||01:00:24||||||01:04:17
4701075.batch|batch|4588648K|01:00:24|1423.84M|139.11M|4588648K|9626296K|00:09:00|01:04:17
4701076|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_MiniBooNE_1||01:00:29||||||01:04:36
4701076.batch|batch|4758704K|01:00:29|1423.59M|139.13M|4758704K|9800516K|00:09:21|01:04:36
4701077|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_MiniBooNE_2||01:00:25||||||01:04:14
4701077.batch|batch|4543228K|01:00:25|1423.87M|139.13M|4543228K|9582152K|00:08:55|01:04:14
4701078|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_MiniBooNE_3||01:00:28||||||01:04:12
4701078.batch|batch|4665704K|01:00:28|1423.89M|139.12M|4665704K|9707624K|00:08:56|01:04:12
4701079|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_MiniBooNE_4||01:00:25||||||01:04:18
4701079.batch|batch|4548416K|01:00:25|1423.88M|139.02M|4548416K|9586056K|00:09:19|01:04:18
4701081|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_connect-4_0||01:01:15||||||01:11:38
4701081.batch|batch|4557220K|01:01:15|813.94M|179.68M|4557220K|9636528K|00:12:23|01:11:38
4701082|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_connect-4_1||01:01:06||||||01:11:24
4701082.batch|batch|4503760K|01:01:06|815.03M|180.45M|4503760K|9652024K|00:12:35|01:11:24
4701083|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_connect-4_2||01:01:14||||||01:11:28
4701083.batch|batch|4226148K|01:01:14|815.25M|182.35M|4226148K|9430516K|00:12:21|01:11:28
4701084|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_connect-4_3||01:01:11||||||01:10:48
4701084.batch|batch|4565688K|01:01:11|816.73M|181.18M|4565688K|9644524K|00:12:33|01:10:48
4701085|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_connect-4_4||01:01:08||||||01:10:54
4701085.batch|batch|4559040K|01:01:08|814.86M|182.45M|4559040K|9636464K|00:12:06|01:10:54
4701086|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_segment_0||01:00:31||||||01:49:53
4701086.batch|batch|4193988K|01:00:31|396.62M|2731.93M|4193988K|9245704K|00:57:18|01:49:53
4701087|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_segment_1||01:00:11||||||01:43:34
4701087.batch|batch|4092772K|01:00:11|201.34M|2799.83M|4092772K|9146732K|00:51:38|01:43:34
4701088|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_segment_2||01:00:18||||||01:35:10
4701088.batch|batch|4210140K|01:00:18|131.55M|1371.26M|4210140K|9252080K|00:39:17|01:35:10
4701089|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_segment_3||01:00:45||||||01:42:50
4701089.batch|batch|4231824K|01:00:45|470.23M|2577.08M|4231824K|9275788K|00:50:42|01:42:50
4701090|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_segment_4||01:00:09||||||01:46:48
4701090.batch|batch|4190308K|01:00:09|180.12M|2173.47M|4190308K|9238312K|00:53:42|01:46:48
4701091|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_Australian_0||01:00:07||||||01:14:17
4701091.batch|batch|2748136K|01:00:07|175.83M|2121.16M|2748136K|7090884K|00:20:28|01:14:17
4701092|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_Australian_1||01:00:22||||||01:21:17
4701092.batch|batch|993.50M|01:00:22|257.07M|2672.37M|993.50M|6063920K|00:21:56|01:21:17
4701093|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_Australian_2||01:00:18||||||01:26:19
4701093.batch|batch|2842660K|01:00:18|181.72M|1931.32M|2842660K|8368836K|00:34:51|01:26:19
4701094|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_Australian_3||01:00:13||||||01:22:22
4701094.batch|batch|1047648K|01:00:13|165.13M|1914.75M|1047648K|6098608K|00:33:30|01:22:22
4701095|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_Australian_4||01:00:21||||||01:28:01
4701095.batch|batch|2796904K|01:00:21|164.51M|3765.58M|2796904K|8262436K|00:35:00|01:28:01
4701096|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_adult_1||01:00:49||||||01:22:12
4701096.batch|batch|3303184K|01:00:49|297.33M|202.92M|3303184K|8382304K|00:25:36|01:22:12
4701097|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_adult_2||01:00:57||||||01:22:10
4701097.batch|batch|3288296K|01:00:57|295.01M|202.32M|3288296K|8229736K|00:25:37|01:22:10
4701098|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_adult_3||01:00:52||||||01:22:46
4701098.batch|batch|3340804K|01:00:52|295.11M|201.10M|3340804K|8566952K|00:26:05|01:22:46
4701099|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_adult_4||01:00:53||||||01:22:20
4701099.batch|batch|3626392K|01:00:53|296.80M|203.08M|3626392K|8705748K|00:26:32|01:22:20
4701100|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_Albert_0||01:01:02||||||01:01:30
4701100.batch|batch|7387724K|01:01:02|7327.30M|551.00M|7387724K|12343900K|00:07:30|01:01:30
4701101|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_Albert_1||01:01:03||||||01:01:29
4701101.batch|batch|7352732K|01:01:03|7327.22M|551.00M|7352732K|12312620K|00:07:51|01:01:29
4701102|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_Albert_2||01:01:04||||||01:01:25
4701102.batch|batch|7374092K|01:01:04|7327.48M|550.99M|7374092K|12410884K|00:07:43|01:01:25
4701103|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_Albert_3||01:01:12||||||01:01:30
4701103.batch|batch|7408104K|01:01:12|7327.31M|550.99M|7408104K|12374496K|00:07:20|01:01:30
4701104|autosklearnBBCScoreEnsemble_B_10_Nb_50_master_thesis_3600s1c8G_Albert_4||01:01:06||||||01:01:30
4701104.batch|batch|7293600K|01:01:06|7327.23M|550.99M|7293600K|12253220K|00:07:40|01:01:30
4701105|autosklearnBBCScoreEnsemble_B_50_Nb_50_master_thesis_3600s1c8G_cnae-9_0||01:00:39||||||01:56:27
4701105.batch|batch|3677424K|01:00:39|1094.10M|2563.31M|3677424K|8693124K|00:55:07|01:56:27
4701106|autosklearnBBCScoreEnsemble_B_50_Nb_50_master_thesis_3600s1c8G_cnae-9_1||01:00:03||||||01:41:09
4701106.batch|batch|3869956K|01:00:03|948.83M|3408.34M|3869956K|9339508K|00:35:38|01:41:09
4701108|autosklearnBBCScoreEnsemble_B_50_Nb_50_master_thesis_3600s1c8G_cnae-9_2||01:00:26||||||01:58:02
4701108.batch|batch|4030448K|01:00:26|874.47M|3085.68M|4030448K|9126280K|01:01:57|01:58:02
4701109|autosklearnBBCScoreEnsemble_B_50_Nb_50_master_thesis_3600s1c8G_cnae-9_3||01:00:37||||||01:55:30
4701109.batch|batch|3612972K|01:00:37|1038.54M|2004.03M|3612972K|8631668K|00:59:22|01:55:30
4701110|autosklearnBBCScoreEnsemble_B_50_Nb_50_master_thesis_3600s1c8G_cnae-9_4||01:00:26||||||01:54:36
4701110.batch|batch|3893824K|01:00:26|893.46M|1721.32M|3893824K|8938272K|00:59:39|01:54:36
4701111|autosklearnBBCScoreEnsemble_B_50_Nb_50_master_thesis_3600s1c8G_higgs_0||01:00:48||||||01:26:21
4701111.batch|batch|4354124K|01:00:48|712.46M|189.33M|4354124K|9378860K|00:31:30|01:26:21
4701112|autosklearnBBCScoreEnsemble_B_50_Nb_50_master_thesis_3600s1c8G_higgs_1||01:00:46||||||01:26:24
4701112.batch|batch|4355048K|01:00:46|712.64M|189.38M|4355048K|9452616K|00:30:38|01:26:24
4701113|autosklearnBBCScoreEnsemble_B_50_Nb_50_master_thesis_3600s1c8G_higgs_2||01:00:40||||||01:26:25
4701113.batch|batch|4355848K|01:00:40|712.73M|189.67M|4355848K|9378592K|00:30:37|01:26:25
4701114|autosklearnBBCScoreEnsemble_B_50_Nb_50_master_thesis_3600s1c8G_higgs_3||01:00:46||||||01:26:30
4701114.batch|batch|4356396K|01:00:46|714.13M|189.63M|4356396K|9380268K|00:30:42|01:26:30
4701115|autosklearnBBCScoreEnsemble_B_50_Nb_50_master_thesis_3600s1c8G_higgs_4||01:00:47||||||01:26:20
4701115.batch|batch|4356784K|01:00:47|712.67M|189.60M|4356784K|9601532K|00:31:22|01:26:20
4701116|autosklearnBBCScoreEnsemble_B_50_Nb_50_master_thesis_3600s1c8G_kr-vs-kp_0||01:00:17||||||01:51:25
4701116.batch|batch|4179704K|01:00:17|213.04M|1474.82M|4179704K|9249344K|00:55:38|01:51:25
4701117|autosklearnBBCScoreEnsemble_B_50_Nb_50_master_thesis_3600s1c8G_kr-vs-kp_1||01:00:47||||||01:51:00
4701117.batch|batch|3752044K|01:00:47|649.28M|1050.07M|3752044K|8950728K|00:53:46|01:51:00
4701118|autosklearnBBCScoreEnsemble_B_50_Nb_50_master_thesis_3600s1c8G_kr-vs-kp_2||01:00:31||||||01:51:39
