task,tool,0,1,2,3,4
Albert,autosklearn,0.6181450475025868,0.6422020506067162,0.6449377606371304,0.5645988147869438,0.6469993415483022
Albert,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,0.5681732668610666,0.5665976860126046,0.5671150409180699,0.5650926535603424,0.5713714608221241
Albert,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,0.568275170100022,0.5664801053522717,0.5670209763898034,0.5654218794092748,0.5705248800677265
Albert,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,0.5680556862007338,0.5666212021446713,0.5673502022387357,0.5649750729000094,0.5707835575204591
Albert,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgTrue,0.5682830088107108,0.5668798795974038,0.5673110086852915,0.5650456212962092,0.5707365252563259
Australian,autosklearn,0.8868138087153367,0.836870401810979,0.8531409168081495,0.8604980192416525,0.8936049801924165
Australian,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,0.9282682512733448,0.8314940577249575,0.844368986983588,0.8419637804187889,0.9063384267119411
Australian,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,0.8682795698924731,0.858375778155065,0.8370118845500848,0.8463497453310694,0.8955857385398981
Australian,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,0.9141199773627618,0.8583757781550649,0.8433786078098472,0.8429541595925297,0.8989813242784379
Australian,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgTrue,0.8770514997170346,0.8368704018109789,0.844368986983588,0.8517260894170909,0.9043576683644594
MiniBooNE,autosklearn,0.9384046520003336,0.937133960217316,0.9390119184084584,0.9438025886414244,0.9408531174410454
MiniBooNE,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,0.937219325945999,0.938343515440056,0.9373411403471529,0.9431049789111073,0.9413874767442408
MiniBooNE,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,0.9377303637596056,0.9374982761422479,0.9372854400997858,0.943158414841427,0.941358720823394
MiniBooNE,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,0.9280838168187028,0.9154690576683487,0.9272881631362352,0.9334817534597936,0.9311289496423248
MiniBooNE,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgTrue,0.9276249314970894,0.9146471398601296,0.9269607546031761,0.933999584224542,0.9309617738186668
adult,autosklearn,0.8496563308873565,0.836330261206021,0.8498205649026055,0.845514859843402,0.8366229767855651
adult,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,0.8487768427469219,0.8364232245949436,0.8517775778934485,0.845698257811463,0.8379480808646799
adult,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,0.8501945440197569,0.8380170690450561,0.8508031417884405,0.8466645531356445,0.8378542314857139
adult,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,0.8497908841704566,0.8373362839137962,0.8500039628706665,0.845131628745988,0.8365537033487179
adult,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgTrue,0.8497011819817232,0.8368589593072812,0.8502282183425001,0.8452376124963751,0.836708531784066
cnae-9,autosklearn,0.9629629629629629,0.9135802469135802,0.9629629629629629,0.9320987654320988,0.9691358024691358
cnae-9,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,0.9629629629629628,0.9012345679012346,0.9506172839506172,0.9104938271604937,0.9537037037037036
cnae-9,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,0.9598765432098765,0.8981481481481479,0.95679012345679,0.9104938271604937,0.9598765432098765
