,Timestamp,ensemble_optimization_score,ensemble_test_score
0,2020-11-11 02:27:58.243445,0.9639917695473252,0.9722222222222222
1,2020-11-11 02:28:13.802323,0.9639917695473252,0.9722222222222222
2,2020-11-11 02:28:19.528652,0.963991769547325,0.9722222222222222
3,2020-11-11 02:28:27.453834,0.963991769547325,0.9722222222222222
4,2020-11-11 02:28:49.651970,0.9650205761316872,0.9722222222222222
5,2020-11-11 02:28:55.856349,0.9639917695473252,0.9722222222222222
6,2020-11-11 02:29:10.182721,0.9660493827160495,0.9629629629629629
7,2020-11-11 02:29:16.897862,0.9639917695473252,0.9722222222222222
8,2020-11-11 02:29:23.590112,0.9629629629629631,0.9722222222222222
9,2020-11-11 02:29:48.553988,0.9639917695473252,0.9722222222222222
10,2020-11-11 02:31:52.680538,0.9650205761316872,0.9722222222222222
11,2020-11-11 02:32:01.849210,0.9639917695473252,0.9722222222222222
12,2020-11-11 02:33:19.880841,0.9639917695473252,0.9722222222222222
13,2020-11-11 02:33:35.423725,0.9650205761316872,0.9722222222222222
14,2020-11-11 02:34:31.543015,0.9650205761316872,0.9722222222222222
15,2020-11-11 02:34:43.385537,0.9650205761316872,0.9722222222222222
16,2020-11-11 02:35:03.130648,0.9639917695473252,0.9722222222222222
