,tool,model,task,fold,index,overfit,test,train,val,seed
56,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,Australian,1,56,0.0,0.8314940577249575,0.8926328502415458,inf,1
57,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,Australian,2,57,0.0,0.844368986983588,0.8939613526570049,inf,1
58,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,Australian,3,58,0.0,0.8419637804187889,0.8876811594202899,inf,1
59,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,Australian,4,59,0.0,0.9063384267119411,0.8946859903381643,inf,1
60,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,MiniBooNE,0,60,0.0,0.937219325945999,0.9408820683122578,inf,1
61,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,MiniBooNE,1,61,0.0,0.938343515440056,0.9412047771148804,inf,1
62,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,MiniBooNE,2,62,0.0,0.9373411403471529,0.9406250051756678,inf,1
63,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,MiniBooNE,3,63,0.0,0.9431049789111073,0.9403085177790044,inf,1
64,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,MiniBooNE,4,64,0.0,0.9413874767442408,0.9401797086637104,inf,1
65,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,adult,0,65,0.0,0.8487768427469219,0.8467616824660121,inf,1
66,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,adult,1,66,0.0,0.8364232245949436,0.8477666892167838,inf,1
67,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,adult,2,67,0.0,0.8517775778934485,0.8473409138074608,inf,1
68,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,adult,3,68,0.0,0.845698257811463,0.8464842203613158,inf,1
69,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,adult,4,69,0.0,0.8379480808646799,0.8475208704861527,inf,1
70,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,cnae-9,0,70,0.0,0.9629629629629628,0.9581618655692731,inf,1
71,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,cnae-9,1,71,0.0,0.9012345679012346,0.9612482853223594,inf,1
72,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,cnae-9,2,72,0.0,0.9506172839506172,0.9598765432098766,inf,1
73,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,cnae-9,3,73,0.0,0.9104938271604937,0.955761316872428,inf,1
74,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,cnae-9,4,74,0.0,0.9537037037037036,0.9492455418381344,inf,1
75,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,connect-4,0,75,0.0,0.7060545444135259,0.7131856675128289,inf,1
76,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,connect-4,1,76,0.0,0.7162593042236841,0.7128013601634944,inf,1
77,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,connect-4,2,77,0.0,0.7235895395473745,0.7116321450766946,inf,1
78,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,connect-4,3,78,0.0,0.7087286490584327,0.7113260057406721,inf,1
79,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,connect-4,4,79,0.0,0.7162886968068047,0.7113776522238296,inf,1
80,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,higgs,0,80,0.0,0.739414784851104,0.7325149270884009,inf,1
81,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,higgs,1,81,0.0,0.7235989602104423,0.732990220734352,inf,1
82,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,higgs,2,82,0.0,0.7352711715364745,0.7316373132374648,inf,1
83,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,higgs,3,83,0.0,0.7351408588457774,0.7316966450368385,inf,1
84,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,higgs,4,84,0.0,0.7361495905004486,0.7311463726106848,inf,1
85,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,kr-vs-kp,0,85,0.0,0.9967320261437908,0.9978786169629238,inf,1
86,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,kr-vs-kp,1,86,0.0,0.9850299401197603,0.9978786169629238,inf,1
87,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,kr-vs-kp,2,87,0.0,0.9967320261437908,0.9971198033868477,inf,1
88,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,kr-vs-kp,3,88,0.0,1.0,0.9979378942261038,inf,1
89,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,kr-vs-kp,4,89,0.0,1.0,0.9977366422644623,inf,1
90,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,segment,0,90,0.0,0.9913419913419913,0.9881353214686547,inf,1
91,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,segment,1,91,0.0,0.987012987012987,0.9873336540003207,inf,1
