,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,NeuralNetMXNet_BAG_L1,0.765199,0.746509,265.887408,62.052468,11759.886911,4.467523,3.673932,1156.867876,1,True,12
1,WeightedEnsemble_L2,0.760807,0.746595,267.491730,63.299221,12031.698284,0.005974,0.013781,18.146487,2,True,25
2,NeuralNetMXNet_BAG_L0,0.752614,0.745556,4.285510,3.547685,2270.752963,4.285510,3.547685,2270.752963,0,True,1
3,WeightedEnsemble_L1,0.751281,0.747380,10.736317,7.289078,5088.017680,0.002837,0.013172,14.250505,1,True,11
4,RandomForestGini_BAG_L1,0.740347,0.728563,275.307121,61.760852,10912.716807,13.887236,3.382316,309.697772,1,True,16
5,RandomForestEntr_BAG_L1,0.739729,0.728176,273.957244,61.757231,11018.221110,12.537358,3.378695,415.202075,1,True,17
6,LightGBMCustom_BAG_L1,0.739622,0.732341,264.329881,60.187284,11678.646197,2.909996,1.808748,1075.627162,1,True,24
7,LightGBMXT_BAG_L1,0.738760,0.733906,263.018234,59.611508,10856.683921,1.598348,1.232972,253.664886,1,True,21
8,LightGBM_BAG_L1,0.737939,0.733887,263.117399,59.649296,10913.420408,1.697513,1.270760,310.401373,1,True,20
9,ExtraTreesGini_BAG_L1,0.734887,0.727664,281.179599,62.750524,10738.422909,19.759714,4.371988,135.403874,1,True,18
10,XGBoost_BAG_L1,0.734831,0.730342,263.935348,60.396587,10901.551738,2.515463,2.018051,298.532703,1,True,23
11,ExtraTreesEntr_BAG_L1,0.734411,0.727513,288.678333,62.735739,10746.414165,27.258448,4.357203,143.395130,1,True,19
12,NeuralNetFastAI_BAG_L1,0.734100,0.731040,269.361428,62.990947,14765.663186,7.941543,4.612411,4162.644151,1,True,13
13,CatBoost_BAG_L1,0.733220,0.734206,262.069371,59.143729,11236.997180,0.649486,0.765193,633.978145,1,True,22
14,NeuralNetFastAI_BAG_L0,0.724699,0.717540,6.447970,3.728221,2803.014213,6.447970,3.728221,2803.014213,0,True,2
15,KNeighborsUnif_BAG_L1,0.718790,0.724264,290.463057,78.265012,10607.167706,29.043172,19.886476,4.148671,1,True,14
16,KNeighborsDist_BAG_L1,0.718182,0.712376,288.942685,78.670804,10607.206939,27.522800,20.292268,4.187904,1,True,15
17,LightGBMCustom_BAG_L0,0.692501,0.696628,17.218751,12.326309,3498.795242,17.218751,12.326309,3498.795242,0,True,10
18,XGBoost_BAG_L0,0.668660,0.670629,5.192155,4.273746,1133.785373,5.192155,4.273746,1133.785373,0,True,9
19,LightGBM_BAG_L0,0.659677,0.661349,8.463045,6.397393,194.147093,8.463045,6.397393,194.147093,0,True,7
20,LightGBMXT_BAG_L0,0.656266,0.659940,9.823744,7.324818,225.830319,9.823744,7.324818,225.830319,0,True,8
21,ExtraTreesEntr_BAG_L0,0.593125,0.598431,64.622911,5.977675,143.556396,64.622911,5.977675,143.556396,0,True,6
22,ExtraTreesGini_BAG_L0,0.592743,0.596498,56.483543,5.880166,125.991573,56.483543,5.880166,125.991573,0,True,5
23,RandomForestEntr_BAG_L0,0.590834,0.593728,45.430768,4.455168,112.271628,45.430768,4.455168,112.271628,0,True,4
24,RandomForestGini_BAG_L0,0.585832,0.591236,43.451489,4.467354,94.874235,43.451489,4.467354,94.874235,0,True,3
