,hue,repeated_ensemble,performance,model,dataset_name,level,repeat,seed,val_score
51,test_performance_singlemodelFalse,False,0.9598348683011622,LinearDiscriminantAnalysis,146822,6,1,96,0.9437772084658446
52,test_performance_singlemodelFalse,False,0.959627638777491,GradientBoostingClassifier,146822,6,1,96,0.9563908720511398
53,test_performance_singlemodelFalse,False,0.9682877048376018,MLPClassifier,146822,6,1,96,0.9547039771889171
54,test_performance_singlemodelFalse,False,0.9700960231016164,EnsembleSelection,146822,6,1,96,0.9615085447477675
55,test_performance_singlemodelFalse,True,,EnsembleSelection,146822,6,1,96,
56,test_performance_singlemodelTrue,False,0.971844300537868,HistGradientBoostingClassifier,146822,0,1,96,0.9724231061169172
57,test_performance_singlemodelTrue,False,0.968227664009839,RandomForestClassifier,146822,0,1,96,0.9673005142003129
58,test_performance_singlemodelTrue,False,0.9647218133647336,DecisionTreeClassifier,146822,0,1,96,0.9465571895617059
59,test_performance_singlemodelTrue,False,0.900149019476704,LinearDiscriminantAnalysis,146822,0,1,96,0.9081362071085258
60,test_performance_singlemodelTrue,False,0.9592639247853098,GradientBoostingClassifier,146822,0,1,96,0.9649612949817722
61,test_performance_singlemodelTrue,False,0.9475646139797004,MLPClassifier,146822,0,1,96,0.9485458100187933
62,test_performance_singlemodelTrue,False,0.9665665344417327,EnsembleSelection,146822,0,1,96,0.9764725472998202
63,test_performance_singlemodelTrue,True,,EnsembleSelection,146822,0,1,96,
64,test_performance_singlemodelTrue,False,0.9752266005018433,HistGradientBoostingClassifier,146822,1,1,96,0.965496664351494
65,test_performance_singlemodelTrue,False,0.9667137231376408,RandomForestClassifier,146822,1,1,96,0.9632742230798585
66,test_performance_singlemodelTrue,False,0.9479540332151603,DecisionTreeClassifier,146822,1,1,96,0.9487691963568416
67,test_performance_singlemodelTrue,False,0.9039585432862278,LinearDiscriminantAnalysis,146822,1,1,96,0.89204761113196
68,test_performance_singlemodelTrue,False,0.9572906065576069,GradientBoostingClassifier,146822,1,1,96,0.9564598391461299
69,test_performance_singlemodelTrue,False,0.9511355519221425,MLPClassifier,146822,1,1,96,0.9547590248455771
70,test_performance_singlemodelTrue,False,0.968227664009839,EnsembleSelection,146822,1,1,96,0.9747145794010157
71,test_performance_singlemodelTrue,True,,EnsembleSelection,146822,1,1,96,
72,test_performance_singlemodelTrue,False,0.9753137483699886,HistGradientBoostingClassifier,146822,2,1,96,0.9563443037795466
73,test_performance_singlemodelTrue,False,0.9634515048291911,RandomForestClassifier,146822,2,1,96,0.9609011740627205
74,test_performance_singlemodelTrue,False,0.9455062151123522,DecisionTreeClassifier,146822,2,1,96,0.9373934242040892
75,test_performance_singlemodelTrue,False,0.9039585432862278,LinearDiscriminantAnalysis,146822,2,1,96,0.895554619055631
76,test_performance_singlemodelTrue,False,0.9509346389299999,GradientBoostingClassifier,146822,2,1,96,0.9523526627386715
77,test_performance_singlemodelTrue,False,0.962366189599645,MLPClassifier,146822,2,1,96,0.9553089055657181
78,test_performance_singlemodelTrue,False,0.96324427530552,EnsembleSelection,146822,2,1,96,0.9712774668510776
79,test_performance_singlemodelTrue,True,,EnsembleSelection,146822,2,1,96,
80,test_performance_singlemodelTrue,False,0.9595126035915393,HistGradientBoostingClassifier,146822,3,1,96,0.952278133182414
81,test_performance_singlemodelTrue,False,0.9599220161693074,RandomForestClassifier,146822,3,1,96,0.961588256496379
82,test_performance_singlemodelTrue,False,0.9510783586003039,DecisionTreeClassifier,146822,3,1,96,0.9409001429658514
83,test_performance_singlemodelTrue,False,0.2857142857142857,LinearDiscriminantAnalysis,146822,3,1,96,0.42139802822049727
84,test_performance_singlemodelTrue,False,0.9488226475015669,GradientBoostingClassifier,146822,3,1,96,0.9494936300262461
85,test_performance_singlemodelTrue,False,0.9608522487274469,MLPClassifier,146822,3,1,96,0.9553178334396566
86,test_performance_singlemodelTrue,False,0.96324427530552,EnsembleSelection,146822,3,1,96,0.9684349865131907
87,test_performance_singlemodelTrue,True,,EnsembleSelection,146822,3,1,96,
88,test_performance_singlemodelTrue,False,0.9661300148235821,HistGradientBoostingClassifier,146822,4,1,96,0.9529433040094891
89,test_performance_singlemodelTrue,False,0.9582608866012011,RandomForestClassifier,146822,4,1,96,0.9592879202558152
90,test_performance_singlemodelTrue,False,0.9507382826229008,DecisionTreeClassifier,146822,4,1,96,0.9416223585714457
91,test_performance_singlemodelTrue,False,0.9042021756228834,LinearDiscriminantAnalysis,146822,4,1,96,0.7814523104173655
92,test_performance_singlemodelTrue,False,0.9475523389660243,GradientBoostingClassifier,146822,4,1,96,0.9552073504304813
93,test_performance_singlemodelTrue,False,0.962366189599645,MLPClassifier,146822,4,1,96,0.95181410499597
94,test_performance_singlemodelTrue,False,0.9578193205134766,EnsembleSelection,146822,4,1,96,0.9707588268955852
95,test_performance_singlemodelTrue,True,,EnsembleSelection,146822,4,1,96,
96,test_performance_singlemodelTrue,False,0.9631021330791858,HistGradientBoostingClassifier,146822,5,1,96,0.9557132958152376
97,test_performance_singlemodelTrue,False,0.9615831457374137,RandomForestClassifier,146822,5,1,96,0.954114462251747
98,test_performance_singlemodelTrue,False,0.9487320306078175,DecisionTreeClassifier,146822,5,1,96,0.9391237409953519
99,test_performance_singlemodelTrue,False,0.37140562248995984,LinearDiscriminantAnalysis,146822,5,1,96,0.36569970472502755
100,test_performance_singlemodelTrue,False,0.9584986921908586,GradientBoostingClassifier,146822,5,1,96,0.9281853182418814
101,test_performance_singlemodelTrue,False,0.9555744826313116,MLPClassifier,146822,5,1,96,0.9500902088529266
102,test_performance_singlemodelTrue,False,0.9665665344417327,EnsembleSelection,146822,5,1,96,0.9637780415078094
103,test_performance_singlemodelTrue,True,,EnsembleSelection,146822,5,1,96,
104,test_performance_singlemodelTrue,False,0.9649054048736263,HistGradientBoostingClassifier,146822,6,1,96,0.9488908725085105
105,test_performance_singlemodelTrue,False,0.9507332361533268,RandomForestClassifier,146822,6,1,96,0.9603899343633923
106,test_performance_singlemodelTrue,False,0.9436793053031335,DecisionTreeClassifier,146822,6,1,96,0.9466111791046765
107,test_performance_singlemodelTrue,False,0.8861325549474909,LinearDiscriminantAnalysis,146822,6,1,96,0.8903967531128997
108,test_performance_singlemodelTrue,False,0.9528901458899225,GradientBoostingClassifier,146822,6,1,96,0.948886660625326
109,test_performance_singlemodelTrue,False,0.9555744826313116,MLPClassifier,146822,6,1,96,0.945462640627766
110,test_performance_singlemodelTrue,False,0.9665665344417327,EnsembleSelection,146822,6,1,96,0.9690023866145548
111,test_performance_singlemodelTrue,True,,EnsembleSelection,146822,6,1,96,
112,test_performance_singlemodelFalse,False,0.9737126596296451,HistGradientBoostingClassifier,146822,0,2,96,0.9758436662923168
113,test_performance_singlemodelFalse,False,0.968227664009839,RandomForestClassifier,146822,0,2,96,0.9724394991644928
114,test_performance_singlemodelFalse,False,0.9629134951007191,DecisionTreeClassifier,146822,0,2,96,0.9586778746041335
115,test_performance_singlemodelFalse,False,0.900149019476704,LinearDiscriminantAnalysis,146822,0,2,96,0.9081109511044848
116,test_performance_singlemodelFalse,False,0.9575427543894406,GradientBoostingClassifier,146822,0,2,96,0.9717969911830534
117,test_performance_singlemodelFalse,False,0.9552851517090694,MLPClassifier,146822,0,2,96,0.9564723533746898
118,test_performance_singlemodelFalse,False,0.9736526188018824,EnsembleSelection,146822,0,2,96,0.9792662674918355
119,test_performance_singlemodelFalse,True,,EnsembleSelection,146822,0,2,96,
120,test_performance_singlemodelFalse,False,0.9699488344057082,HistGradientBoostingClassifier,146822,1,2,96,0.9723908039360942
121,test_performance_singlemodelFalse,False,0.9679933274457856,RandomForestClassifier,146822,1,2,96,0.9729835072462442
122,test_performance_singlemodelFalse,False,0.9676989500539692,DecisionTreeClassifier,146822,1,2,96,0.9564396835262131
123,test_performance_singlemodelFalse,False,0.9736526188018824,LinearDiscriminantAnalysis,146822,1,2,96,0.9729450904698671
124,test_performance_singlemodelFalse,False,0.9716099639738145,GradientBoostingClassifier,146822,1,2,96,0.9706523315251585
125,test_performance_singlemodelFalse,False,0.9698016457098,MLPClassifier,146822,1,2,96,0.973518363209621
126,test_performance_singlemodelFalse,False,0.9700359822738535,EnsembleSelection,146822,1,2,96,0.9764220352917385
127,test_performance_singlemodelFalse,True,,EnsembleSelection,146822,1,2,96,
128,test_performance_singlemodelFalse,False,0.9751665596740805,HistGradientBoostingClassifier,146822,2,2,96,0.9712701787171314
129,test_performance_singlemodelFalse,False,0.9700359822738535,RandomForestClassifier,146822,2,2,96,0.9740817546570234
130,test_performance_singlemodelFalse,False,0.9716607090289752,DecisionTreeClassifier,146822,2,2,96,0.9559105880790081
131,test_performance_singlemodelFalse,False,0.9578193205134766,LinearDiscriminantAnalysis,146822,2,2,96,0.9695391065623599
132,test_performance_singlemodelFalse,False,0.971844300537868,GradientBoostingClassifier,146822,2,2,96,0.9723905147741851
133,test_performance_singlemodelFalse,False,0.9699488344057082,MLPClassifier,146822,2,2,96,0.9701228347938267
134,test_performance_singlemodelFalse,False,0.968227664009839,EnsembleSelection,146822,2,2,96,0.9781874034467073
135,test_performance_singlemodelFalse,True,,EnsembleSelection,146822,2,2,96,
136,test_performance_singlemodelFalse,False,0.9716971118419597,HistGradientBoostingClassifier,146822,3,2,96,0.9683810179854334
137,test_performance_singlemodelFalse,False,0.971844300537868,RandomForestClassifier,146822,3,2,96,0.9683336733351179
138,test_performance_singlemodelFalse,False,0.9714534795053041,DecisionTreeClassifier,146822,3,2,96,0.9496184986753514
139,test_performance_singlemodelFalse,False,0.9629498979137037,LinearDiscriminantAnalysis,146822,3,2,96,0.9564156659780376
140,test_performance_singlemodelFalse,False,0.9753137483699886,GradientBoostingClassifier,146822,3,2,96,0.9683320335951258
141,test_performance_singlemodelFalse,False,0.9682877048376018,MLPClassifier,146822,3,2,96,0.9735525470876004
142,test_performance_singlemodelFalse,False,0.9701831709697615,EnsembleSelection,146822,3,2,96,0.9735525470876004
143,test_performance_singlemodelFalse,True,,EnsembleSelection,146822,3,2,96,
144,test_performance_singlemodelFalse,False,0.9721386779296841,HistGradientBoostingClassifier,146822,4,2,96,0.9694629372661101
145,test_performance_singlemodelFalse,False,0.971991489233776,RandomForestClassifier,146822,4,2,96,0.9694954814040972
146,test_performance_singlemodelFalse,False,0.966322902105077,DecisionTreeClassifier,146822,4,2,96,0.9541681457420521
147,test_performance_singlemodelFalse,False,0.9443466924597334,LinearDiscriminantAnalysis,146822,4,2,96,0.8924017005753916
148,test_performance_singlemodelFalse,False,0.9703303596656697,GradientBoostingClassifier,146822,4,2,96,0.9694610083642089
149,test_performance_singlemodelFalse,False,0.9701831709697615,MLPClassifier,146822,4,2,96,0.96496012144338
150,test_performance_singlemodelFalse,False,0.9703303596656697,EnsembleSelection,146822,4,2,96,0.9712355935550251
151,test_performance_singlemodelFalse,True,,EnsembleSelection,146822,4,2,96,
152,test_performance_singlemodelFalse,False,0.9719314484060132,HistGradientBoostingClassifier,146822,5,2,96,0.9637383600860353
153,test_performance_singlemodelFalse,False,0.9720786371019212,RandomForestClassifier,146822,5,2,96,0.9683479604411014
154,test_performance_singlemodelFalse,False,0.9651997822654427,DecisionTreeClassifier,146822,5,2,96,0.9449964018044535
155,test_performance_singlemodelFalse,False,0.9403427039247447,LinearDiscriminantAnalysis,146822,5,2,96,0.8921632677681729
156,test_performance_singlemodelFalse,False,0.9702339160249221,GradientBoostingClassifier,146822,5,2,96,0.963252376390748
157,test_performance_singlemodelFalse,False,0.9721386779296841,MLPClassifier,146822,5,2,96,0.9666672881721937
158,test_performance_singlemodelFalse,False,0.9721386779296841,EnsembleSelection,146822,5,2,96,0.9695278485023934
159,test_performance_singlemodelFalse,True,,EnsembleSelection,146822,5,2,96,
160,test_performance_singlemodelFalse,False,0.9683055161053821,HistGradientBoostingClassifier,146822,6,2,96,0.9655362074615184
161,test_performance_singlemodelFalse,False,0.9650704048373147,RandomForestClassifier,146822,6,2,96,0.9666817995226131
162,test_performance_singlemodelFalse,False,0.9616102527777961,DecisionTreeClassifier,146822,6,2,96,0.9529971855546986
163,test_performance_singlemodelFalse,False,0.9635893977524969,LinearDiscriminantAnalysis,146822,6,2,96,0.9527911896614255
164,test_performance_singlemodelFalse,False,0.9669751667420766,GradientBoostingClassifier,146822,6,2,96,0.9678203926116706
165,test_performance_singlemodelFalse,False,0.9704775483615778,MLPClassifier,146822,6,2,96,0.9649524320253068
166,test_performance_singlemodelFalse,False,0.9668880188739314,EnsembleSelection,146822,6,2,96,0.9689586965388192
167,test_performance_singlemodelFalse,True,,EnsembleSelection,146822,6,2,96,
168,test_performance_singlemodelTrue,False,0.9737126596296451,HistGradientBoostingClassifier,146822,0,2,96,0.9758436662923168
169,test_performance_singlemodelTrue,False,0.968227664009839,RandomForestClassifier,146822,0,2,96,0.9724394991644928
170,test_performance_singlemodelTrue,False,0.9629134951007191,DecisionTreeClassifier,146822,0,2,96,0.9586778746041335
171,test_performance_singlemodelTrue,False,0.900149019476704,LinearDiscriminantAnalysis,146822,0,2,96,0.9081109511044848
172,test_performance_singlemodelTrue,False,0.9575427543894406,GradientBoostingClassifier,146822,0,2,96,0.9706676151298433
173,test_performance_singlemodelTrue,False,0.9423375929387258,MLPClassifier,146822,0,2,96,0.9547129699803286
174,test_performance_singlemodelTrue,False,0.968227664009839,EnsembleSelection,146822,0,2,96,0.9792841232397124
175,test_performance_singlemodelTrue,True,,EnsembleSelection,146822,0,2,96,
176,test_performance_singlemodelTrue,False,0.9735654709337371,HistGradientBoostingClassifier,146822,1,2,96,0.9718033300230431
177,test_performance_singlemodelTrue,False,0.9615831457374137,RandomForestClassifier,146822,1,2,96,0.9683807288235243
178,test_performance_singlemodelTrue,False,0.9542534290406083,DecisionTreeClassifier,146822,1,2,96,0.9489315283639108
179,test_performance_singlemodelTrue,False,0.9039585432862278,LinearDiscriminantAnalysis,146822,1,2,96,0.9120845593577921
180,test_performance_singlemodelTrue,False,0.9665157893865718,GradientBoostingClassifier,146822,1,2,96,0.9678203276941976
181,test_performance_singlemodelTrue,False,0.9460506731075021,MLPClassifier,146822,1,2,96,0.9564205379932694
182,test_performance_singlemodelTrue,False,0.9614359570415055,EnsembleSelection,146822,1,2,96,0.976438363421841
183,test_performance_singlemodelTrue,True,,EnsembleSelection,146822,1,2,96,
184,test_performance_singlemodelTrue,False,0.9717571526697226,HistGradientBoostingClassifier,146822,2,2,96,0.9649112491752901
185,test_performance_singlemodelTrue,False,0.96324427530552,RandomForestClassifier,146822,2,2,96,0.9671950802460605
186,test_performance_singlemodelTrue,False,0.9537332305799167,DecisionTreeClassifier,146822,2,2,96,0.944366567378537
187,test_performance_singlemodelTrue,False,0.9039585432862278,LinearDiscriminantAnalysis,146822,2,2,96,0.9126537113213663
188,test_performance_singlemodelTrue,False,0.9663321978776792,GradientBoostingClassifier,146822,2,2,96,0.9672437754744593
189,test_performance_singlemodelTrue,False,0.9607050600315388,MLPClassifier,146822,2,2,96,0.9569969780907899
190,test_performance_singlemodelTrue,False,0.9697416048820371,EnsembleSelection,146822,2,2,96,0.9741053709210722
191,test_performance_singlemodelTrue,True,,EnsembleSelection,146822,2,2,96,
192,test_performance_singlemodelTrue,False,0.9755209778936597,HistGradientBoostingClassifier,146822,3,2,96,0.9562883204172017
193,test_performance_singlemodelTrue,False,0.954497061377264,RandomForestClassifier,146822,3,2,96,0.9648531598713532
194,test_performance_singlemodelTrue,False,0.9329215900567661,DecisionTreeClassifier,146822,3,2,96,0.935771086498768
