,tool,model,task,fold_mean,overfit_mean,test_mean,train_mean,val_mean
36,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B50_N0.5,best_ensemble_model,higgs,2,0.0,0.7327992539155159,0.7288592352651786,inf
37,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B50_N0.5,best_ensemble_model,kr-vs-kp,2,0.0,0.9962976008766781,0.9961815105332628,inf
38,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B50_N0.5,best_ensemble_model,segment,2,0.0,0.9896103896103895,0.9850889850889851,inf
39,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B50_N0.5,best_ensemble_model,vehicle,2,0.0,0.8442532467532466,0.8633066473652733,inf
40,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,best_ensemble_model,Albert,3,0.0,0.6538660521117486,0.6522896002954323,inf
41,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,best_ensemble_model,Australian,2,0.0,0.8518675721561969,0.876449275362319,inf
42,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,best_ensemble_model,MiniBooNE,2,0.0,0.927874036832336,0.9292805465632107,inf
43,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,best_ensemble_model,adult,2,0.0,0.8438794580848352,0.845100713760688,inf
44,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,best_ensemble_model,cnae-9,2,0.0,0.9462962962962962,0.960493827160494,inf
45,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,best_ensemble_model,connect-4,2,0.0,0.7063178932216051,0.6988909102243387,inf
46,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,best_ensemble_model,higgs,2,0.0,0.7330909892651,0.7288933665035394,inf
47,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,best_ensemble_model,kr-vs-kp,2,0.0,0.9962976008766781,0.9962542907370473,inf
48,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,best_ensemble_model,segment,2,0.0,0.9896103896103895,0.9855699855699855,inf
49,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B100_N1.0,best_ensemble_model,vehicle,2,0.0,0.8464177489177489,0.8648963174570931,inf
50,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B10_N1.0,best_ensemble_model,Albert,3,0.0,0.6538660521117486,0.6522896002954323,inf
51,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B10_N1.0,best_ensemble_model,Australian,2,0.0,0.8454159592529711,0.8761594202898552,inf
52,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B10_N1.0,best_ensemble_model,MiniBooNE,2,0.0,0.9277384016130389,0.9292498025689847,inf
53,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B10_N1.0,best_ensemble_model,adult,2,,,,
54,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B10_N1.0,best_ensemble_model,cnae-9,2,0.0,0.9462962962962962,0.9604938271604938,inf
55,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B10_N1.0,best_ensemble_model,connect-4,2,0.0,0.7184882899807933,0.7121000715583266,inf
56,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B10_N1.0,best_ensemble_model,higgs,2,0.0,0.7330571310342956,0.7289320635774598,inf
57,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B10_N1.0,best_ensemble_model,kr-vs-kp,2,0.0,0.9962976008766781,0.9962542907370475,inf
58,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B10_N1.0,best_ensemble_model,segment,2,0.0,0.9896103896103895,0.9857623857623858,inf
59,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B10_N1.0,best_ensemble_model,vehicle,2,0.0,0.8441450216450217,0.8643607093354715,inf
60,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B50_N0.5,best_ensemble_model,Albert,3,0.0,0.6538660521117486,0.6522896002954323,inf
61,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B50_N0.5,best_ensemble_model,Australian,2,0.0,0.8518675721561969,0.873840579710145,inf
62,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B50_N0.5,best_ensemble_model,MiniBooNE,2,0.0,0.9278586928565101,0.9292430451274749,inf
63,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B50_N0.5,best_ensemble_model,adult,2,0.0,0.8444568769664722,0.8458551300202231,inf
64,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B50_N0.5,best_ensemble_model,cnae-9,2,0.0,0.9462962962962962,0.9600823045267489,inf
65,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B50_N0.5,best_ensemble_model,connect-4,2,0.0,0.7195482416335433,0.7113304022143982,inf
66,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B50_N0.5,best_ensemble_model,higgs,2,0.0,0.7331027282021824,0.7288878207897568,inf
67,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B50_N0.5,best_ensemble_model,kr-vs-kp,2,0.0,0.9962976008766781,0.9961753082256168,inf
68,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B50_N0.5,best_ensemble_model,segment,2,0.0,0.9896103896103895,0.9853775853775855,inf
69,autosklearnBBCEnsembleSelectionPreSelectInES_es50_B50_N0.5,best_ensemble_model,vehicle,2,0.0,0.8464177489177489,0.863081274484608,inf
70,autosklearnBBCEnsembleSelection_es50_B100_N1.0,best_ensemble_model,Albert,3,0.0,0.6538660521117486,0.6522896002954323,inf
71,autosklearnBBCEnsembleSelection_es50_B100_N1.0,best_ensemble_model,Australian,2,0.0,0.8486417657045839,0.8766666666666666,inf
72,autosklearnBBCEnsembleSelection_es50_B100_N1.0,best_ensemble_model,MiniBooNE,2,0.0,0.9278907619228576,0.9293096679398133,inf
73,autosklearnBBCEnsembleSelection_es50_B100_N1.0,best_ensemble_model,adult,2,0.0,0.8441045122747874,0.8450915224389594,inf
74,autosklearnBBCEnsembleSelection_es50_B100_N1.0,best_ensemble_model,cnae-9,2,0.0,0.9462962962962962,0.9606995884773664,inf
75,autosklearnBBCEnsembleSelection_es50_B100_N1.0,best_ensemble_model,connect-4,2,0.0,0.7063178932216051,0.6988909102243387,inf
76,autosklearnBBCEnsembleSelection_es50_B100_N1.0,best_ensemble_model,higgs,2,0.0,0.7330330928363379,0.7288907032625642,inf
77,autosklearnBBCEnsembleSelection_es50_B100_N1.0,best_ensemble_model,kr-vs-kp,2,0.0,0.9962976008766781,0.9963208686331859,inf
78,autosklearnBBCEnsembleSelection_es50_B100_N1.0,best_ensemble_model,segment,2,0.0,0.9896103896103895,0.9854737854737854,inf
79,autosklearnBBCEnsembleSelection_es50_B100_N1.0,best_ensemble_model,vehicle,2,0.0,0.8486904761904762,0.8661985399167575,inf
80,autosklearnBBCEnsembleSelection_es50_B10_N1.0,best_ensemble_model,Albert,3,0.0,0.6538660521117486,0.6522896002954323,inf
81,autosklearnBBCEnsembleSelection_es50_B10_N1.0,best_ensemble_model,Australian,2,0.0,0.8539049235993208,0.8752173913043478,inf
82,autosklearnBBCEnsembleSelection_es50_B10_N1.0,best_ensemble_model,MiniBooNE,2,0.0,0.9278252501836228,0.929235986111421,inf
83,autosklearnBBCEnsembleSelection_es50_B10_N1.0,best_ensemble_model,adult,2,0.0,0.8439315991573105,0.8457459204480127,inf
84,autosklearnBBCEnsembleSelection_es50_B10_N1.0,best_ensemble_model,cnae-9,2,0.0,0.9481481481481481,0.9615226337448559,inf
85,autosklearnBBCEnsembleSelection_es50_B10_N1.0,best_ensemble_model,connect-4,2,0.0,0.717639879574427,0.7123023944081848,inf
86,autosklearnBBCEnsembleSelection_es50_B10_N1.0,best_ensemble_model,higgs,2,0.0,0.7330424628398635,0.7288188259873699,inf
87,autosklearnBBCEnsembleSelection_es50_B10_N1.0,best_ensemble_model,kr-vs-kp,2,0.0,0.9962976008766781,0.9962542907370473,inf
88,autosklearnBBCEnsembleSelection_es50_B10_N1.0,best_ensemble_model,segment,2,0.0,0.9896103896103895,0.9856661856661857,inf
89,autosklearnBBCEnsembleSelection_es50_B10_N1.0,best_ensemble_model,vehicle,2,0.0,0.8419805194805194,0.8648558486003383,inf
90,autosklearnBBCEnsembleSelection_es50_B50_N0.5,best_ensemble_model,Albert,3,0.0,0.6538660521117486,0.6522896002954323,inf
91,autosklearnBBCEnsembleSelection_es50_B50_N0.5,best_ensemble_model,Australian,2,0.0,0.8544991511035654,0.873840579710145,inf
92,autosklearnBBCEnsembleSelection_es50_B50_N0.5,best_ensemble_model,MiniBooNE,2,0.0,0.9277704706793862,0.9292725161624691,inf
93,autosklearnBBCEnsembleSelection_es50_B50_N0.5,best_ensemble_model,adult,2,0.0,0.8434131082184605,0.8456733681940822,inf
94,autosklearnBBCEnsembleSelection_es50_B50_N0.5,best_ensemble_model,cnae-9,2,0.0,0.9462962962962962,0.9606995884773664,inf
95,autosklearnBBCEnsembleSelection_es50_B50_N0.5,best_ensemble_model,connect-4,2,0.0,0.7177997337947404,0.7117711522643572,inf
96,autosklearnBBCEnsembleSelection_es50_B50_N0.5,best_ensemble_model,higgs,2,0.0,0.7330231905848947,0.7288464996113756,inf
97,autosklearnBBCEnsembleSelection_es50_B50_N0.5,best_ensemble_model,kr-vs-kp,2,0.0,0.9962976008766781,0.9961087303294782,inf
98,autosklearnBBCEnsembleSelection_es50_B50_N0.5,best_ensemble_model,segment,2,0.0,0.9904761904761905,0.9853775853775855,inf
99,autosklearnBBCEnsembleSelection_es50_B50_N0.5,best_ensemble_model,vehicle,2,0.0,0.8442532467532466,0.8640893660060225,inf
100,autosklearnBBCScoreEnsemble_es50_B100_N1.0,best_ensemble_model,Albert,3,0.0,0.6538660521117486,0.6522896002954323,inf
101,autosklearnBBCScoreEnsemble_es50_B100_N1.0,best_ensemble_model,Australian,2,0.0,0.8571307300509338,0.888623188405797,inf
102,autosklearnBBCScoreEnsemble_es50_B100_N1.0,best_ensemble_model,MiniBooNE,2,0.0,0.9278907619228576,0.9293096679398133,inf
103,autosklearnBBCScoreEnsemble_es50_B100_N1.0,best_ensemble_model,adult,2,0.0,0.8438036105834712,0.8447779304503943,inf
104,autosklearnBBCScoreEnsemble_es50_B100_N1.0,best_ensemble_model,cnae-9,2,0.0,0.9444444444444443,0.9674897119341563,inf
105,autosklearnBBCScoreEnsemble_es50_B100_N1.0,best_ensemble_model,connect-4,2,0.0,0.7063178932216051,0.6988909102243387,inf
106,autosklearnBBCScoreEnsemble_es50_B100_N1.0,best_ensemble_model,higgs,2,0.0,0.7331448080285922,0.7289561884818132,inf
107,autosklearnBBCScoreEnsemble_es50_B100_N1.0,best_ensemble_model,kr-vs-kp,2,0.0,0.9962976008766781,0.997109046259524,inf
108,autosklearnBBCScoreEnsemble_es50_B100_N1.0,best_ensemble_model,segment,2,0.0,0.9904761904761905,0.9878787878787879,inf
109,autosklearnBBCScoreEnsemble_es50_B100_N1.0,best_ensemble_model,vehicle,2,0.0,0.86254329004329,0.8784946085477167,inf
110,autosklearnBBCScoreEnsemble_es50_B10_N1.0,best_ensemble_model,Albert,3,0.0,0.6538660521117486,0.6522896002954323,inf
111,autosklearnBBCScoreEnsemble_es50_B10_N1.0,best_ensemble_model,Australian,2,0.0,0.8571307300509335,0.8856521739130436,inf
112,autosklearnBBCScoreEnsemble_es50_B10_N1.0,best_ensemble_model,MiniBooNE,2,0.0,0.9278907619228576,0.9293096679398133,inf
113,autosklearnBBCScoreEnsemble_es50_B10_N1.0,best_ensemble_model,adult,2,0.0,0.8441785330573058,0.8459957746978246,inf
114,autosklearnBBCScoreEnsemble_es50_B10_N1.0,best_ensemble_model,cnae-9,2,0.0,0.9481481481481481,0.9654320987654321,inf
115,autosklearnBBCScoreEnsemble_es50_B10_N1.0,best_ensemble_model,connect-4,2,0.0,0.718493634045603,0.7129755291457192,inf
116,autosklearnBBCScoreEnsemble_es50_B10_N1.0,best_ensemble_model,higgs,2,0.0,0.7323017526474341,0.7289536865480335,inf
117,autosklearnBBCScoreEnsemble_es50_B10_N1.0,best_ensemble_model,kr-vs-kp,2,0.0,0.9962976008766781,0.9971756241556624,inf
118,autosklearnBBCScoreEnsemble_es50_B10_N1.0,best_ensemble_model,segment,2,0.0,0.9896103896103895,0.9879749879749878,inf
119,autosklearnBBCScoreEnsemble_es50_B10_N1.0,best_ensemble_model,vehicle,2,0.0,0.8464177489177489,0.8768944570045487,inf
120,autosklearnBBCScoreEnsemble_es50_B50_N0.5,best_ensemble_model,Albert,3,0.0,0.6538660521117486,0.6522896002954323,inf
121,autosklearnBBCScoreEnsemble_es50_B50_N0.5,best_ensemble_model,Australian,2,0.0,0.8486417657045839,0.8883333333333333,inf
122,autosklearnBBCScoreEnsemble_es50_B50_N0.5,best_ensemble_model,MiniBooNE,2,0.0,0.9277704556630748,0.929302374844308,inf
123,autosklearnBBCScoreEnsemble_es50_B50_N0.5,best_ensemble_model,adult,2,0.0,0.8437138445109532,0.8459682998717948,inf
124,autosklearnBBCScoreEnsemble_es50_B50_N0.5,best_ensemble_model,cnae-9,2,0.0,0.9462962962962962,0.9674897119341563,inf
125,autosklearnBBCScoreEnsemble_es50_B50_N0.5,best_ensemble_model,connect-4,2,0.0,0.7190174706521184,0.7123945092376649,inf
126,autosklearnBBCScoreEnsemble_es50_B50_N0.5,best_ensemble_model,higgs,2,0.0,0.7324631334166369,0.7290053946212872,inf
127,autosklearnBBCScoreEnsemble_es50_B50_N0.5,best_ensemble_model,kr-vs-kp,2,0.0,0.9950999960862589,0.9971880287709546,inf
128,autosklearnBBCScoreEnsemble_es50_B50_N0.5,best_ensemble_model,segment,2,0.0,0.9904761904761905,0.9876863876863876,inf
129,autosklearnBBCScoreEnsemble_es50_B50_N0.5,best_ensemble_model,vehicle,2,0.0,0.8509632034632035,0.8769024485262372,inf
130,bagging_es50_B100_N1.0,best_ensemble_model,Albert,3,0.0,0.6538660521117486,0.6522896002954323,inf
131,bagging_es50_B100_N1.0,best_ensemble_model,Australian,2,0.0,0.8597623089983021,0.8745652173913043,inf
132,bagging_es50_B100_N1.0,best_ensemble_model,MiniBooNE,2,0.0,0.8927772780542595,0.8927734581404291,inf
133,bagging_es50_B100_N1.0,best_ensemble_model,adult,2,0.0,0.8313053132926175,0.8314204908142976,inf
134,bagging_es50_B100_N1.0,best_ensemble_model,cnae-9,2,0.0,0.9462962962962962,0.9606995884773661,inf
135,bagging_es50_B100_N1.0,best_ensemble_model,connect-4,2,0.0,0.64361713657316,0.6400688237417824,inf
136,bagging_es50_B100_N1.0,best_ensemble_model,higgs,2,0.0,0.7229533658284234,0.7196747421424445,inf
137,bagging_es50_B100_N1.0,best_ensemble_model,kr-vs-kp,2,0.0,0.9962976008766781,0.996466429040755,inf
138,bagging_es50_B100_N1.0,best_ensemble_model,segment,2,0.0,0.9896103896103895,0.9856661856661857,inf
139,bagging_es50_B100_N1.0,best_ensemble_model,vehicle,2,0.0,0.8416558441558444,0.865921958482734,inf
