,tool,model,task,fold_mean,overfit_mean,test_mean,train_mean,val_mean
0,None_es50_B100_N1.0,best_ensemble_model,Albert,3,0.0,0.6538660521117486,0.6522896002954323,inf
1,None_es50_B100_N1.0,best_ensemble_model,Australian,2,0.0,0.8512733446519525,0.8878985507246376,inf
2,None_es50_B100_N1.0,best_ensemble_model,MiniBooNE,2,0.0,0.9277704556630748,0.929302374844308,inf
3,None_es50_B100_N1.0,best_ensemble_model,adult,2,0.0,0.8437872036981776,0.8460286740337573,inf
4,None_es50_B100_N1.0,best_ensemble_model,cnae-9,2,0.0,0.95,0.9668724279835393,inf
5,None_es50_B100_N1.0,best_ensemble_model,connect-4,2,0.0,0.7188820761062854,0.7124119114272851,inf
6,None_es50_B100_N1.0,best_ensemble_model,higgs,2,0.0,0.732913782529393,0.7291196404676396,inf
7,None_es50_B100_N1.0,best_ensemble_model,kr-vs-kp,2,0.0,0.9962976008766781,0.997109046259524,inf
8,None_es50_B100_N1.0,best_ensemble_model,segment,2,0.0,0.9896103896103895,0.9875901875901875,inf
9,None_es50_B100_N1.0,best_ensemble_model,vehicle,2,0.0,0.8486904761904762,0.8774245687763402,inf
10,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B100_N1.0,best_ensemble_model,Albert,3,0.0,0.6538660521117486,0.6522896002954323,inf
11,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B100_N1.0,best_ensemble_model,Australian,2,0.0,0.8518675721561969,0.8756521739130436,inf
12,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B100_N1.0,best_ensemble_model,MiniBooNE,2,0.0,0.9278907619228576,0.9293096679398133,inf
13,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B100_N1.0,best_ensemble_model,adult,2,0.0,0.8440409220245553,0.8451800733266799,inf
14,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B100_N1.0,best_ensemble_model,cnae-9,2,0.0,0.9462962962962962,0.9615226337448559,inf
15,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B100_N1.0,best_ensemble_model,connect-4,2,0.0,0.7063178932216051,0.6988909102243387,inf
16,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B100_N1.0,best_ensemble_model,higgs,2,0.0,0.7331658340055853,0.7289698328700138,inf
17,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B100_N1.0,best_ensemble_model,kr-vs-kp,2,0.0,0.9962976008766781,0.9962480884294014,inf
18,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B100_N1.0,best_ensemble_model,segment,2,0.0,0.9896103896103895,0.9855699855699855,inf
19,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B100_N1.0,best_ensemble_model,vehicle,2,0.0,0.8487987012987013,0.8656884675788522,inf
20,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B10_N1.0,best_ensemble_model,Albert,3,0.0,0.6538660521117486,0.6522896002954323,inf
21,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B10_N1.0,best_ensemble_model,Australian,2,0.0,0.8486417657045839,0.87731884057971,inf
22,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B10_N1.0,best_ensemble_model,MiniBooNE,2,0.0,0.9278633571544278,0.9292560423776832,inf
23,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B10_N1.0,best_ensemble_model,adult,2,0.0,0.8437532321358265,0.8456318340666209,inf
24,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B10_N1.0,best_ensemble_model,cnae-9,2,0.0,0.9462962962962962,0.9625514403292179,inf
25,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B10_N1.0,best_ensemble_model,connect-4,2,0.0,0.7176478766776075,0.7120139150397289,inf
26,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B10_N1.0,best_ensemble_model,higgs,2,0.0,0.7331430657876921,0.7288800326477205,inf
27,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B10_N1.0,best_ensemble_model,kr-vs-kp,2,0.0,0.9962976008766781,0.9963208686331859,inf
28,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B10_N1.0,best_ensemble_model,segment,2,0.0,0.9896103896103895,0.9858585858585858,inf
29,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B10_N1.0,best_ensemble_model,vehicle,2,0.0,0.8533441558441558,0.8653808487690835,inf
30,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B50_N0.5,best_ensemble_model,Albert,3,0.0,0.6538660521117486,0.6522896002954323,inf
31,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B50_N0.5,best_ensemble_model,Australian,2,0.0,0.8518675721561969,0.873840579710145,inf
32,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B50_N0.5,best_ensemble_model,MiniBooNE,2,0.0,0.9277430734191123,0.9292723653751971,inf
33,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B50_N0.5,best_ensemble_model,adult,2,0.0,0.8438435865645978,0.845764548295057,inf
34,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B50_N0.5,best_ensemble_model,cnae-9,2,0.0,0.9462962962962962,0.9604938271604938,inf
35,autosklearnBBCEnsembleSelectionNoPreSelect_es50_B50_N0.5,best_ensemble_model,connect-4,2,0.0,0.7188952135688079,0.7115360983730763,inf
