,tool,max_number_models,max_number_folds,max_num_repetitions,stacking_levels,cv_type,allowed_folds_to_use,task,model,fold,train,val,test,overfit,seed
0,autosklearn,20,5,1,1,cv,1.0,1468,best_individual_model,0,0.9963566613975632,0.9286606505211582,0.9113540843837262,0.01411784455262699,72
1,autosklearn,20,5,1,1,cv,1.0,1468,best_ensemble_model,0,0.9574483909183792,inf,0.9418673785977282,0.006038126260573207,72
2,autosklearn,20,5,1,1,cv,1.0,1468,best_individual_model,1,0.9963566613975632,0.9286606505211582,0.9113540843837262,0.01411784455262699,72
3,autosklearn,20,5,1,1,cv,1.0,1468,best_ensemble_model,1,0.9602570819623644,inf,0.9450419817723312,0.0004335439118051676,72
4,autosklearn,20,5,1,1,cv,1.0,1468,best_individual_model,2,0.9963566613975632,0.9286606505211582,0.9113540843837262,0.01411784455262699,72
5,autosklearn,20,5,1,1,cv,1.0,1468,best_ensemble_model,2,0.9587555804608628,inf,0.9450419817723312,0.0026919229143701484,72
6,autosklearn,20,5,1,1,cv,1.0,1468,best_individual_model,3,0.9963566613975632,0.9286606505211582,0.9113540843837262,0.01411784455262699,72
7,autosklearn,20,5,1,1,cv,1.0,1468,best_ensemble_model,3,0.9588548606792792,inf,0.9394519196605304,0.006023606023605965,72
8,autosklearn,20,5,1,1,cv,1.0,1468,best_individual_model,4,0.9963566613975632,0.9286606505211582,0.9113540843837262,0.01411784455262699,72
9,autosklearn,20,5,1,1,cv,1.0,1468,best_ensemble_model,4,0.9575101200821042,inf,0.9366029168115274,0.008439064960803822,72
