,tool,model,task,fold,test,val,constraint
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,Albert,0,0.7363757615468544,0.180338482692884,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,Albert,1,0.7357900205082969,0.18051048696641514,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,Albert,2,0.7371147622460429,0.17970708035416805,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,Albert,3,0.7279333573212183,0.17956973262234088,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,Albert,4,0.7415788501017992,0.1801830181359051,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,Australian,0,0.9405772495755518,0.0,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,Australian,1,0.8488964346349746,0.0,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,Australian,2,0.900679117147708,0.0018720018720018716,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,Australian,3,0.9159592529711376,0.0,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,Australian,4,0.9431239388794568,0.0,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,MiniBooNE,0,0.9478194334034589,7.988881468579123e-07,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,MiniBooNE,1,0.9459256786729151,5.939314599023859e-07,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,MiniBooNE,2,0.9234931140849791,7.030537824137539e-07,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,MiniBooNE,3,0.9430308859677248,6.060114218220392e-07,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,MiniBooNE,4,0.9628076259940599,1.0509566850114282e-06,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,adult,0,0.9144154793595954,1.2667769611063306e-08,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,adult,1,0.8995033153744794,2.8502481708159166e-08,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,adult,2,0.9079422840143327,5.066615083038073e-08,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,adult,3,0.8972231796599675,5.066615083038073e-08,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,adult,4,0.9060714404205437,2.8499709814333585e-08,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,cnae-9,0,-0.16871589507327708,-0.035888424630078054,log_loss
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,cnae-9,1,-0.28740812016379397,-0.07150614512466134,log_loss
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,cnae-9,2,-0.23470706171442376,-0.10019329426876407,log_loss
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,cnae-9,3,-0.18859241843704325,-0.017298866666629043,log_loss
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,cnae-9,4,-0.2296048498807337,-0.06228717313619412,log_loss
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,connect-4,0,-0.530238719982668,-0.3962505538386703,log_loss
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,connect-4,1,-0.4946417311049861,-0.3559014919800281,log_loss
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,connect-4,2,-0.4739184145379509,-0.34140364660093214,log_loss
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,connect-4,3,-0.49910854780688096,-0.3566846040736037,log_loss
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,connect-4,4,-0.48736369939021384,-0.35208410537843415,log_loss
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,higgs,0,0.8072043295679072,0.1635909225891122,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,higgs,1,0.7929039881057184,0.17648296988833906,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,higgs,2,0.8050311094503153,0.16722368948868907,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,higgs,3,0.8113716053873491,0.1610818121054611,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,higgs,4,0.807183104435639,0.14083009409328592,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,kr-vs-kp,0,0.9945990372196782,0.0,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,kr-vs-kp,1,0.998708465422097,0.0,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,kr-vs-kp,2,0.9979257171930648,0.0,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,kr-vs-kp,3,1.0,0.0,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,kr-vs-kp,4,0.9983953661304842,0.0,roc_auc
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,segment,0,-0.07113067380322653,-7.212518568202161e-08,log_loss
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,segment,1,-0.1048907026251273,-6.3601742008411476e-15,log_loss
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,segment,2,-0.06739478640066632,-0.00024699444015297104,log_loss
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,segment,3,-0.06827590470383063,-6.3601742008411476e-15,log_loss
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,segment,4,-0.0006853217339373288,-7.980496612350725e-07,log_loss
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,vehicle,0,-0.3453360925976406,-0.347088852855134,log_loss
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,vehicle,1,-0.41927965974752696,-0.20793258525154343,log_loss
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,vehicle,2,-0.4791061791262644,-0.2762680498301901,log_loss
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,vehicle,3,-0.42486495280309633,-0.30427579222390155,log_loss
,autosklearn_THRESHOLDOUT_ES,best_ensemble_model,vehicle,4,-0.42748529122156254,-0.41079139500819917,log_loss
