,tool,Albert,Australian,MiniBooNE,adult,cnae-9,connect-4,higgs,kr-vs-kp,segment,vehicle
0,autosklearn,0.6676675442306416,0.9331239388794561,0.984976958887511,0.9295676572853686,-0.1592593219110303,-0.46218605881365515,0.8144537367333341,0.9998781521923481,-0.03468072781861353,-0.34164122929680646
1,autosklearn,0.6746580861459958,0.932877758913413,0.9849769588875119,0.9295605630942404,-0.15488736775915612,-0.4621860588136555,0.814439790230299,0.999832100504873,-0.03434943797011846,-0.3409738886717589
2,Alg. 5 (no Line 12.) ES es50 B100 N1.0,0.6676616670041198,0.933503112620261,0.9849793818084432,0.9295742000353988,-0.15858337530754138,-0.4622101921265864,0.8144475359070218,0.9998110967607267,-0.03443910837945812,-0.3423203997352761
3,Alg. 5 (no Line 12.) es50 B100 N1.0,0.6746501759128785,0.9331833616298814,0.9849790742529756,0.9295695748428285,-0.154230320073044,-0.4622055228622843,0.8144333201552243,0.9996915971977616,-0.03406287455729695,-0.34122239286410244
4,Alg. 12 ES es50 B100 N1.0,0.6676613769327447,0.9334917940011328,0.9849754648915477,0.9295742000353988,-0.15858337530754138,-0.4622101921265864,0.8144475359070218,0.9998259689770784,-0.03444587125028422,-0.34219583333616976
5,Alg. 12 es50 B100 N1.0,0.6746504236717321,0.9331663837011885,0.9849790742529756,0.9295695748428286,-0.15423032007304402,-0.4622055228622843,0.8144333201552243,0.999709991781144,-0.03407076091725889,-0.34112086823589816
6,Alg. 7 ES es50 B100 N1.0,0.6676614142497563,0.9336049801924171,0.984979381808443,0.9295742000353988,-0.1585831870248453,-0.4622101921265865,0.8144475359070218,0.9998270126413833,-0.03443910837945813,-0.342252758288749
7,Alg. 7 es50 B100 N1.0,0.6746502508012852,0.9333531409168083,0.9849790742529754,0.9295695748428285,-0.15423032007304405,-0.46220552286228433,0.8144333201552242,0.9997052952917695,-0.034062874557296945,-0.3411839587554861
8,Alg. 5 ES es50 B100 N1.0,0.6676614287238314,0.9336049801924169,0.984979381808443,0.9295742000353988,-0.15858318702484533,-0.4622101921265865,0.8144475359070218,0.9998270126413837,-0.03443910837945812,-0.34225275828874896
9,Alg. 5 es50 B100 N1.0,0.6746505239589444,0.9334107765168441,0.984979071542821,0.929568961837018,-0.15434993585711557,-0.46220552400621406,0.8144311169805885,0.9997120310462668,-0.03413576044090603,-0.3411128256905695
10,Alg. 9ALLIB ES es50 B100 N1.0,0.6676666821199342,0.9332371250707414,0.9849791923477508,0.9295839094121262,-0.15925760964998312,-0.4622092205821241,0.8144442628152663,0.999903200135677,-0.03469495599889428,-0.34170216974123574
11,Alg. 9ALLIB es50 B100 N1.0,0.6746340024060387,0.9331324278438035,0.9849784345975876,0.9295644154303231,-0.15486395285898902,-0.4621860588136555,0.8144360707340017,0.9998712379163246,-0.03427851276966273,-0.34081477602148347
12,Alg. 13 ES es50 B100 N1.0,0.6676666821199343,0.9329767968307866,0.9849791923477508,0.929583587199109,-0.15972697619111448,-0.46220922058212416,0.8144442628152665,0.9999063311285932,-0.03532680226281839,-0.3421151922443051
13,Alg. 13 es50 B100 N1.0,0.6746352065930364,0.9323259762309002,0.9849782378362442,0.9295680077599292,-0.1558177286714823,-0.46219119237290335,0.8144363168119287,0.9998751516574699,-0.03524556610063927,-0.3415223540590811
14,Alg. 11 ES es50 B100 N1.0,0.6676666821199342,0.9340124504810414,0.9849791923477508,0.9295863602060388,-0.1592423377780989,-0.4622092205821241,0.8144442628152665,0.9998442331024228,-0.03532129627758247,-0.3414500453291767
15,Alg. 11 es50 B100 N1.0,0.6746352065930364,0.9343803056027162,0.9849787297396027,0.9295647828583303,-0.15554542177017397,-0.4621860588136555,0.8144360707340017,0.9996626355132874,-0.03522618085234623,-0.3405290383536095
16,Alg. 10 ES es50 B100 N1.0,0.6660997239343388,0.9341539332201476,0.9849142976195605,0.9290747774404834,-0.2043738550147573,-0.4834456298413621,0.8130681494247228,0.9999138976948073,-0.03822878469182475,-0.3645410510920984
17,Alg. 10 es50 B100 N1.0,0.6729143139658766,0.9344906621392194,0.9849142976195598,0.9290830818673377,-0.1939181826772104,-0.4834456298413623,0.8130681494247228,0.9999041133419441,-0.038972095400066055,-0.3652794437083518
18,Alg. 9NOPREFILTER ES es50 B100 N1.0,0.6676666821199342,0.9332710809281267,0.9849791923477508,0.9295839094121262,-0.1592576096499831,-0.4622092205821241,0.8144442628152665,0.999903982883906,-0.03469495599889427,-0.34175562782236085
19,Alg. 9NOPREFILTER es50 B100 N1.0,0.6746352065930364,0.9327843803056028,0.9849769588875119,0.9295644154303231,-0.15486395285898902,-0.4621860588136555,0.8144360707340017,0.9998712379163244,-0.03427851276966273,-0.34085964994216783
20,Alg. 9Percentile ES es50 B100 N1.0,0.6676666821199342,0.9329598189020942,0.9849791923477508,0.9295637184939726,-0.1608272190457258,-0.462209256677006,0.8144448634948273,0.9998731947868974,-0.03578968852229132,-0.34373757080726486
21,Alg. 9Percentile es50 B100 N1.0,0.6746490106244964,0.9320033955857389,0.9849781530111754,0.9295540482519752,-0.15615114671556804,-0.4622481828617218,0.8144322749865087,0.9998266212672694,-0.03591214691003654,-0.343744144881162
22,Alg. 9 ES es50 B100 N1.0,0.6676666821199342,0.9332371250707414,0.9849791923477508,0.9295839094121262,-0.15925760964998306,-0.46220922058212416,0.8144442628152663,0.999903200135677,-0.03469495599889427,-0.34170216974123574
23,Alg. 9 es50 B100 N1.0,0.6746376149670321,0.9331324278438032,0.9849783362169159,0.9295644154303233,-0.15486395285898905,-0.4621860588136555,0.8144360707340017,0.9998712379163244,-0.034278512769662726,-0.34081477602148363
24,bagging,0.6660577663265995,0.9333503112620264,0.9834269978420362,0.9290111438558385,-0.6057490073479209,-0.4894425692766206,0.7851443158106989,0.9998930244086996,-0.20590746949762675,-0.4280341599416913
25,bagging,0.6731556524132438,0.9331494057724958,0.98333709245403,0.9290480417481737,-0.5853804731770044,-0.48873864379216514,0.7853307315356878,0.9998814136433019,-0.21441025660327995,-0.43264734279616057
