,hue,repeated_ensemble,performance,model,dataset_name,level,repeat,splits,seed,val_score
1,test_performance_singlemodelFalse,False,0.8908949306145568,RandomForestClassifier,146818,0,5,2,47,0.8549221240002405
1,test_performance_singlemodelFalse,False,0.8988575268817205,RandomForestClassifier,146818,0,5,2,78,0.869360473948048
1,test_performance_singlemodelFalse,False,0.9019647153167603,RandomForestClassifier,146818,0,5,2,32,0.852704231380702
1,test_performance_singlemodelFalse,False,0.9157728272827284,RandomForestClassifier,146818,0,5,2,90,0.8535460992907802
1,test_performance_singlemodelFalse,False,0.96123156130808,RandomForestClassifier,146822,0,5,2,17,0.9687505007496194
1,test_performance_singlemodelFalse,False,0.9629575633203146,RandomForestClassifier,146822,0,5,2,55,0.9644132266311372
1,test_performance_singlemodelFalse,False,0.9666161976507801,RandomForestClassifier,146822,0,5,2,78,0.9637064419380431
1,test_performance_singlemodelFalse,False,0.9744969278033794,RandomForestClassifier,146822,0,5,2,25,0.9629197068050328
1,test_performance_singlemodelFalse,False,0.9756728778467909,RandomForestClassifier,146822,0,5,2,67,0.9624547902300674
1,test_performance_singlemodelFalse,False,0.9874653817717014,RandomForestClassifier,3,0,5,2,68,0.9929566937604256
1,test_performance_singlemodelFalse,False,0.9911722986543483,RandomForestClassifier,3,0,5,2,82,0.9917149889216929
1,test_performance_singlemodelFalse,False,0.992353752586369,RandomForestClassifier,3,0,5,2,93,0.9902745923550786
1,test_performance_singlemodelFalse,False,0.9937468671679197,RandomForestClassifier,3,0,5,2,24,0.9885208448322842
1,test_performance_singlemodelFalse,False,0.9937836821656849,RandomForestClassifier,3,0,5,2,10,0.9911887735862233
10,test_performance_singlemodelFalse,False,0.5446345975948196,DecisionTreeClassifier,10101,1,5,2,80,0.6512237762237763
10,test_performance_singlemodelFalse,False,0.5683098591549296,DecisionTreeClassifier,10101,1,5,2,98,0.6264580844634952
10,test_performance_singlemodelFalse,False,0.5990707434052758,DecisionTreeClassifier,10101,1,5,2,49,0.6120203462430841
10,test_performance_singlemodelFalse,False,0.6123931623931624,DecisionTreeClassifier,10101,1,5,2,97,0.5928024083196497
10,test_performance_singlemodelFalse,False,0.6308973172987975,DecisionTreeClassifier,10101,1,5,2,5,0.6162587412587412
10,test_performance_singlemodelFalse,False,0.7688889524469624,DecisionTreeClassifier,7592,1,5,2,31,0.7768922477155893
10,test_performance_singlemodelFalse,False,0.7707465476529407,DecisionTreeClassifier,7592,1,5,2,34,0.7800639941445489
10,test_performance_singlemodelFalse,False,0.7718750695884669,DecisionTreeClassifier,7592,1,5,2,97,0.7784736260493017
10,test_performance_singlemodelFalse,False,0.7719186801313815,DecisionTreeClassifier,7592,1,5,2,13,0.7793599597958858
10,test_performance_singlemodelFalse,False,0.7780013252670768,DecisionTreeClassifier,7592,1,5,2,1,0.778679828544419
10,test_performance_singlemodelFalse,False,0.7826125164606432,DecisionTreeClassifier,53,1,5,2,95,0.7628129535558781
10,test_performance_singlemodelFalse,False,0.786248392672968,DecisionTreeClassifier,53,1,5,2,46,0.7466704853992859
10,test_performance_singlemodelFalse,False,0.7903769841269841,DecisionTreeClassifier,53,1,5,2,59,0.75824005192587
10,test_performance_singlemodelFalse,False,0.7983837154257118,DecisionTreeClassifier,53,1,5,2,17,0.7636850156406431
10,test_performance_singlemodelFalse,False,0.8038624250908734,DecisionTreeClassifier,53,1,5,2,12,0.7592752816727243
10,test_performance_singlemodelFalse,False,0.8415662650602409,DecisionTreeClassifier,146818,1,5,2,8,0.8364136396879571
10,test_performance_singlemodelFalse,False,0.8821863494760691,DecisionTreeClassifier,146818,1,5,2,47,0.8225163870346984
10,test_performance_singlemodelFalse,False,0.8840071507150715,DecisionTreeClassifier,146818,1,5,2,90,0.8315602836879432
10,test_performance_singlemodelFalse,False,0.9132392473118279,DecisionTreeClassifier,146818,1,5,2,78,0.8242518608537142
10,test_performance_singlemodelFalse,False,0.9133253140871425,DecisionTreeClassifier,146818,1,5,2,32,0.8120108230402348
10,test_performance_singlemodelFalse,False,0.9647658815843291,DecisionTreeClassifier,146822,1,5,2,55,0.9661904344848731
