,hue,repeated_ensemble,performance,model,dataset_name,level,repeat,splits,seed,val_score
49,test_performance_singlemodelFalse,False,0.7794881438292699,RandomForestClassifier,7592,0,5,10,34,0.7775595318434083
50,test_performance_singlemodelFalse,False,0.7615217892914775,DecisionTreeClassifier,7592,0,5,10,34,0.7613217715796254
51,test_performance_singlemodelFalse,False,0.6991824897309968,LinearDiscriminantAnalysis,7592,0,5,10,34,0.7053112344971786
52,test_performance_singlemodelFalse,False,0.7790304053811156,GradientBoostingClassifier,7592,0,5,10,34,0.7796056217005727
53,test_performance_singlemodelFalse,False,0.6254232255399005,MLPClassifier,7592,0,5,10,34,0.6256242757354569
54,test_performance_singlemodelFalse,False,0.7974250535288259,EnsembleSelection,7592,0,5,10,34,0.7964133972375801
55,test_performance_singlemodelFalse,True,,EnsembleSelection,7592,0,5,10,34,
56,test_performance_singlemodelFalse,False,0.8023424897576807,HistGradientBoostingClassifier,7592,1,5,10,34,0.7988148652847007
57,test_performance_singlemodelFalse,False,0.7915961615049192,RandomForestClassifier,7592,1,5,10,34,0.7938690652702436
58,test_performance_singlemodelFalse,False,0.7848587044315649,DecisionTreeClassifier,7592,1,5,10,34,0.7775499372983403
59,test_performance_singlemodelFalse,False,0.8074746564997415,LinearDiscriminantAnalysis,7592,1,5,10,34,0.8045634770075595
60,test_performance_singlemodelFalse,False,0.801533210701481,GradientBoostingClassifier,7592,1,5,10,34,0.7988029170522566
61,test_performance_singlemodelFalse,False,0.6781308572343021,MLPClassifier,7592,1,5,10,34,0.6864978271910469
62,test_performance_singlemodelFalse,False,0.8074746564997415,EnsembleSelection,7592,1,5,10,34,0.8045634770075595
63,test_performance_singlemodelFalse,True,,EnsembleSelection,7592,1,5,10,34,
