,tool,model,task,fold_mean,overfit_mean,test_mean,train_mean,val_mean
0,None_es1_B100_N0.5,best_ensemble_model,Australian,2,0.0,0.8389643463497454,0.8779710144927536,inf
1,None_es1_B100_N0.5,best_ensemble_model,MiniBooNE,2,0.0,0.9286856894622721,0.9306272842495591,inf
2,None_es1_B100_N0.5,best_ensemble_model,adult,2,0.0,0.8431682164972653,0.8434336365974469,inf
3,None_es1_B100_N0.5,best_ensemble_model,cnae-9,2,0.0,0.9407407407407407,0.9572016460905349,inf
4,None_es1_B100_N0.5,best_ensemble_model,connect-4,2,0.0,0.6833373509039125,0.6757387064487472,inf
5,None_es1_B100_N0.5,best_ensemble_model,higgs,2,0.0,0.7333641050071293,0.7288054676605251,inf
6,None_es1_B100_N0.5,best_ensemble_model,kr-vs-kp,2,0.0,0.9962976008766781,0.9965578161674777,inf
7,None_es1_B100_N0.5,best_ensemble_model,segment,2,0.0,0.9878787878787879,0.9858585858585858,inf
8,None_es1_B100_N0.5,best_ensemble_model,vehicle,2,0.0,0.834047619047619,0.8558581593156728,inf
9,autosklearnBBCEnsembleSelectionNoPreSelect_es1_B100_N1.0,best_ensemble_model,Australian,2,0.0,0.8518675721561969,0.8778260869565218,inf
10,autosklearnBBCEnsembleSelectionNoPreSelect_es1_B100_N1.0,best_ensemble_model,MiniBooNE,2,0.0,0.9286856894622721,0.9306272842495591,inf
11,autosklearnBBCEnsembleSelectionNoPreSelect_es1_B100_N1.0,best_ensemble_model,adult,2,0.0,0.8431682164972653,0.8434336365974469,inf
12,autosklearnBBCEnsembleSelectionNoPreSelect_es1_B100_N1.0,best_ensemble_model,cnae-9,2,0.0,0.9407407407407407,0.9572016460905349,inf
13,autosklearnBBCEnsembleSelectionNoPreSelect_es1_B100_N1.0,best_ensemble_model,connect-4,2,0.0,0.6833373509039125,0.6757387064487472,inf
14,autosklearnBBCEnsembleSelectionNoPreSelect_es1_B100_N1.0,best_ensemble_model,higgs,2,0.0,0.7333641050071293,0.7288054676605251,inf
15,autosklearnBBCEnsembleSelectionNoPreSelect_es1_B100_N1.0,best_ensemble_model,kr-vs-kp,2,0.0,0.9962976008766781,0.9965578161674777,inf
