,framework,task,fold,submitted_ta_runs,finished_ta_runs,n_configs,wallclock_time_used,ta_time_used,inc_changed,_n_configs_per_intensify,_n_calls_of_intensify,_ema_n_configs_per_intensifiy,_EMA_ALPHA
0,autosklearn,cnae-9,0,287,287,286,3592.2466492652893,2874.669149875641,12,0,0,0.0,0.2
1,autosklearn,cnae-9,1,296,296,296,3594.4661326408386,2780.1657173633575,8,0,0,0.0,0.2
2,autosklearn,cnae-9,2,231,231,230,3589.5002915859222,2929.148010969162,7,0,0,0.0,0.2
3,autosklearn,cnae-9,3,330,330,329,3588.386519908905,2700.2056889533997,7,0,0,0.0,0.2
4,autosklearn,cnae-9,4,64,64,63,3592.5493693351746,3455.2753887176514,4,0,0,0.0,0.2
5,autosklearn,higgs,0,25,25,24,3588.8764584064484,3098.187739610672,2,0,0,0.0,0.2
6,autosklearn,higgs,1,26,26,25,3588.5642971992493,3091.8184270858765,2,0,0,0.0,0.2
7,autosklearn,higgs,2,25,25,24,3587.2393255233765,3087.4680638313293,2,0,0,0.0,0.2
8,autosklearn,higgs,3,25,25,24,3588.498369693756,3051.0546131134033,2,0,0,0.0,0.2
9,autosklearn,higgs,4,26,26,25,3587.8621592521667,3090.2999579906464,2,0,0,0.0,0.2
10,autosklearn,kr-vs-kp,0,71,71,70,3589.368708372116,3334.984108686447,4,0,0,0.0,0.2
11,autosklearn,kr-vs-kp,1,83,83,82,3589.5455095767975,3271.2262330055237,2,0,0,0.0,0.2
12,autosklearn,kr-vs-kp,2,77,77,76,3589.6902203559875,3320.6083159446716,2,0,0,0.0,0.2
13,autosklearn,kr-vs-kp,3,114,114,114,3595.8800690174103,3129.4195959568024,5,0,0,0.0,0.2
14,autosklearn,kr-vs-kp,4,63,63,63,3595.4542639255524,3382.335172891617,2,0,0,0.0,0.2
15,autosklearn,vehicle,0,206,206,205,3589.197874546051,3097.575761079788,4,0,0,0.0,0.2
16,autosklearn,vehicle,1,476,476,476,3594.5868997573853,2420.8830223083496,10,0,0,0.0,0.2
17,autosklearn,vehicle,2,457,457,456,3586.636001110077,2294.806755542755,3,0,0,0.0,0.2
18,autosklearn,vehicle,3,463,463,462,3590.7380578517914,2496.5916340351105,8,0,0,0.0,0.2
19,autosklearn,vehicle,4,514,514,513,3590.5048685073853,2344.654695034027,8,0,0,0.0,0.2
20,autosklearn,MiniBooNE,0,26,26,25,3591.332950115204,3307.0527515411377,3,0,0,0.0,0.2
21,autosklearn,MiniBooNE,1,26,26,25,3592.1396646499634,3343.129895210266,4,0,0,0.0,0.2
22,autosklearn,MiniBooNE,2,26,26,25,3591.2392358779907,3311.7675030231476,3,0,0,0.0,0.2
23,autosklearn,MiniBooNE,3,26,26,25,3591.5410652160645,3258.4762756824493,3,0,0,0.0,0.2
24,autosklearn,MiniBooNE,4,26,26,25,3592.0057275295258,3315.648159980774,3,0,0,0.0,0.2
25,autosklearn,connect-4,0,34,34,34,3592.5132353305817,3041.6405646800995,3,0,0,0.0,0.2
26,autosklearn,connect-4,1,38,38,37,3592.1043214797974,2948.815852165222,3,0,0,0.0,0.2
27,autosklearn,connect-4,2,37,37,36,3586.429204940796,2973.129376411438,4,0,0,0.0,0.2
28,autosklearn,connect-4,3,41,41,40,3588.5207736492157,2855.7509434223175,4,0,0,0.0,0.2
29,autosklearn,connect-4,4,38,38,37,3591.92528796196,2960.680645942688,3,0,0,0.0,0.2
30,autosklearn,segment,0,243,243,243,3597.002133369446,2778.1622381210327,5,0,0,0.0,0.2
31,autosklearn,segment,1,257,257,257,3597.069876432419,2681.6498284339905,3,0,0,0.0,0.2
32,autosklearn,segment,2,215,215,215,3596.615927219391,2840.0366678237915,4,0,0,0.0,0.2
33,autosklearn,segment,3,330,330,330,3597.298372030258,2406.3968472480774,5,0,0,0.0,0.2
34,autosklearn,segment,4,286,286,286,3591.3347368240356,2625.935800075531,4,0,0,0.0,0.2
35,autosklearn,Australian,0,545,545,545,3591.884031057358,1976.3971047401428,5,0,0,0.0,0.2
36,autosklearn,Australian,1,603,603,602,3587.962158203125,1700.7219274044037,9,0,0,0.0,0.2
37,autosklearn,Australian,2,302,302,301,3590.705242872238,2824.553538799286,4,0,0,0.0,0.2
38,autosklearn,Australian,3,583,583,582,3589.924547433853,1693.2454233169556,3,0,0,0.0,0.2
39,autosklearn,Australian,4,604,604,603,3589.5816929340363,1663.8248658180237,7,0,0,0.0,0.2
40,autosklearn,adult,0,42,42,41,3593.501453638077,2899.2157850265503,3,0,0,0.0,0.2
41,autosklearn,adult,1,43,43,42,3588.7946541309357,2929.7783761024475,3,0,0,0.0,0.2
42,autosklearn,adult,2,40,40,39,3588.6647684574127,3114.214637517929,3,0,0,0.0,0.2
43,autosklearn,adult,3,41,41,40,3588.532669067383,3033.5126192569733,3,0,0,0.0,0.2
44,autosklearn,adult,4,40,40,39,3593.244136095047,3007.162370443344,3,0,0,0.0,0.2
45,autosklearn,Albert,0,22,22,21,3575.262540578842,3142.2807517051697,2,0,0,0.0,0.2
46,autosklearn,Albert,1,22,22,21,3575.753861427307,3162.0303671360016,2,0,0,0.0,0.2
47,autosklearn,Albert,2,22,22,21,3574.8968024253845,3148.6906094551086,2,0,0,0.0,0.2
48,autosklearn,Albert,3,22,22,21,3575.360655069351,3150.7630937099457,2,0,0,0.0,0.2
49,autosklearn,Albert,4,22,22,21,3575.7733278274536,3082.4868009090424,2,0,0,0.0,0.2
