,framework,task,fold,submitted_ta_runs,finished_ta_runs,n_configs,wallclock_time_used,ta_time_used,inc_changed,_n_configs_per_intensify,_n_calls_of_intensify,_ema_n_configs_per_intensifiy,_EMA_ALPHA
0,autosklearnHyperBandFolds_eta2_cv5_repeats10,cnae-9,0,477,477,67,3515.619941473007,2912.2236380577087,6,78,4,25.264000000000003,0.2
1,autosklearnHyperBandFolds_eta2_cv5_repeats10,cnae-9,1,41,41,32,3510.5609657764435,3444.469563961029,2,0,0,0.0,0.2
2,autosklearnHyperBandFolds_eta2_cv5_repeats10,cnae-9,2,402,402,64,3504.1720275878906,2940.061870574951,3,68,3,29.080000000000002,0.2
3,autosklearnHyperBandFolds_eta2_cv5_repeats10,cnae-9,3,486,486,68,3514.7849504947662,2917.9481253623962,4,78,4,25.264000000000003,0.2
4,autosklearnHyperBandFolds_eta2_cv5_repeats10,cnae-9,4,78,78,32,3510.3431782722473,3403.551212787628,4,0,0,0.0,0.2
5,autosklearnHyperBandFolds_eta2_cv5_repeats10,higgs,0,25,25,25,3498.7636365890503,3211.772925376892,2,0,0,0.0,0.2
6,autosklearnHyperBandFolds_eta2_cv5_repeats10,higgs,1,26,26,26,3498.9890887737274,3200.8880338668823,2,0,0,0.0,0.2
7,autosklearnHyperBandFolds_eta2_cv5_repeats10,higgs,2,27,27,27,3501.979937314987,3167.806879043579,2,0,0,0.0,0.2
8,autosklearnHyperBandFolds_eta2_cv5_repeats10,higgs,3,26,26,26,3503.597898244858,3218.8298189640045,2,0,0,0.0,0.2
9,autosklearnHyperBandFolds_eta2_cv5_repeats10,higgs,4,26,26,26,3497.2076354026794,3167.0854935646057,2,0,0,0.0,0.2
10,autosklearnHyperBandFolds_eta2_cv5_repeats10,kr-vs-kp,0,159,159,48,3517.6598315238953,3319.0450949668884,5,37,1,37.0,0.2
11,autosklearnHyperBandFolds_eta2_cv5_repeats10,kr-vs-kp,1,90,90,35,3516.7417035102844,3374.783270597458,3,37,1,37.0,0.2
12,autosklearnHyperBandFolds_eta2_cv5_repeats10,kr-vs-kp,2,114,114,43,3517.0621857643127,3344.8608593940735,3,37,1,37.0,0.2
13,autosklearnHyperBandFolds_eta2_cv5_repeats10,kr-vs-kp,3,168,168,48,3508.89218211174,3264.6637349128723,3,37,1,37.0,0.2
14,autosklearnHyperBandFolds_eta2_cv5_repeats10,kr-vs-kp,4,49,49,32,3508.2503304481506,3419.8005726337433,3,0,0,0.0,0.2
15,autosklearnHyperBandFolds_eta2_cv5_repeats10,vehicle,0,43,43,32,3512.14178276062,3452.372704267502,4,0,0,0.0,0.2
16,autosklearnHyperBandFolds_eta2_cv5_repeats10,vehicle,1,336,336,62,3512.3163888454437,3072.301822423935,7,68,3,29.080000000000002,0.2
17,autosklearnHyperBandFolds_eta2_cv5_repeats10,vehicle,2,955,955,108,3510.277575969696,2222.427062034607,7,91,6,18.488960000000002,0.2
18,autosklearnHyperBandFolds_eta2_cv5_repeats10,vehicle,3,647,647,72,3508.5937089920044,2697.030125617981,9,85,5,21.611200000000004,0.2
19,autosklearnHyperBandFolds_eta2_cv5_repeats10,vehicle,4,797,797,75,3508.572578430176,2533.972557067871,6,85,5,21.611200000000004,0.2
20,autosklearnHyperBandFolds_eta2_cv5_repeats10,MiniBooNE,0,26,26,26,3495.1060030460358,3323.278746366501,3,0,0,0.0,0.2
21,autosklearnHyperBandFolds_eta2_cv5_repeats10,MiniBooNE,1,25,25,25,3493.8781723976135,3333.9647183418274,3,0,0,0.0,0.2
