,framework,task,fold,submitted_ta_runs,finished_ta_runs,n_configs,wallclock_time_used,ta_time_used,inc_changed,_n_configs_per_intensify,_n_calls_of_intensify,_ema_n_configs_per_intensifiy,_EMA_ALPHA
0,autosklearnHyperBandFolds_eta2_cv5_repeats3,cnae-9,0,95,95,17,3561.168276786804,3420.5659811496735,1,22,3,9.0,0.2
1,autosklearnHyperBandFolds_eta2_cv5_repeats3,cnae-9,1,94,94,17,3561.691296815872,3416.248771429062,2,22,3,9.0,0.2
2,autosklearnHyperBandFolds_eta2_cv5_repeats3,cnae-9,2,78,78,16,3568.3493931293488,3471.2949550151825,1,17,2,10.0,0.2
3,autosklearnHyperBandFolds_eta2_cv5_repeats3,cnae-9,3,77,77,16,3566.7788004875183,3461.938718557358,1,17,2,10.0,0.2
4,autosklearnHyperBandFolds_eta2_cv5_repeats3,cnae-9,4,78,78,16,3568.5091955661774,3475.9854834079742,2,17,2,10.0,0.2
5,autosklearnHyperBandFolds_eta2_cv5_repeats3,higgs,0,36,36,12,3565.6320288181305,3459.1365513801575,2,11,1,11.0,0.2
6,autosklearnHyperBandFolds_eta2_cv5_repeats3,higgs,1,36,36,12,3562.174211740494,3446.8092584609985,2,11,1,11.0,0.2
7,autosklearnHyperBandFolds_eta2_cv5_repeats3,higgs,2,38,38,12,3561.730550289154,3444.7877123355865,2,11,1,11.0,0.2
8,autosklearnHyperBandFolds_eta2_cv5_repeats3,higgs,3,38,38,12,3566.48224067688,3457.4066412448883,2,11,1,11.0,0.2
9,autosklearnHyperBandFolds_eta2_cv5_repeats3,higgs,4,42,42,12,3565.221766471863,3447.6858611106873,2,11,1,11.0,0.2
10,autosklearnHyperBandFolds_eta2_cv5_repeats3,kr-vs-kp,0,22,22,8,3569.714970111847,3542.6152079105377,2,0,0,0.0,0.2
11,autosklearnHyperBandFolds_eta2_cv5_repeats3,kr-vs-kp,1,22,22,8,3568.498206138611,3540.4285016059875,2,0,0,0.0,0.2
12,autosklearnHyperBandFolds_eta2_cv5_repeats3,kr-vs-kp,2,22,22,8,3568.4892971515656,3540.8085272312164,2,0,0,0.0,0.2
13,autosklearnHyperBandFolds_eta2_cv5_repeats3,kr-vs-kp,3,24,24,9,3568.262148141861,3541.9055342674255,2,11,1,11.0,0.2
14,autosklearnHyperBandFolds_eta2_cv5_repeats3,kr-vs-kp,4,22,22,8,3568.2316241264343,3535.9182648658752,2,0,0,0.0,0.2
15,autosklearnHyperBandFolds_eta2_cv5_repeats3,vehicle,0,134,134,20,3561.0271072387695,3379.1696383953094,2,22,3,9.0,0.2
16,autosklearnHyperBandFolds_eta2_cv5_repeats3,vehicle,1,134,134,20,3565.646584033966,3370.1882445812225,4,22,3,9.0,0.2
17,autosklearnHyperBandFolds_eta2_cv5_repeats3,vehicle,2,135,135,20,3567.7462265491486,3395.358125925064,4,22,3,9.0,0.2
18,autosklearnHyperBandFolds_eta2_cv5_repeats3,vehicle,3,135,135,20,3569.715954065323,3413.5749382972717,6,22,3,9.0,0.2
19,autosklearnHyperBandFolds_eta2_cv5_repeats3,vehicle,4,135,135,20,3568.255631685257,3406.152874469757,4,22,3,9.0,0.2
20,autosklearnHyperBandFolds_eta2_cv5_repeats3,MiniBooNE,0,64,64,15,3562.8081448078156,3338.056628227234,3,17,2,10.0,0.2
21,autosklearnHyperBandFolds_eta2_cv5_repeats3,MiniBooNE,1,49,49,13,3562.470937728882,3353.183228969574,3,17,2,10.0,0.2
22,autosklearnHyperBandFolds_eta2_cv5_repeats3,MiniBooNE,2,64,64,15,3563.338212251663,3342.751490354538,3,17,2,10.0,0.2
23,autosklearnHyperBandFolds_eta2_cv5_repeats3,MiniBooNE,3,64,64,15,3562.006356239319,3332.7443618774414,3,17,2,10.0,0.2
24,autosklearnHyperBandFolds_eta2_cv5_repeats3,MiniBooNE,4,64,64,15,3565.841690301895,3349.5198969841003,3,17,2,10.0,0.2
25,autosklearnHyperBandFolds_eta2_cv5_repeats3,connect-4,0,52,52,13,3565.6724150180817,3424.3125286102295,3,17,2,10.0,0.2
26,autosklearnHyperBandFolds_eta2_cv5_repeats3,connect-4,1,51,51,13,3565.2098100185394,3427.7639360427856,3,17,2,10.0,0.2
27,autosklearnHyperBandFolds_eta2_cv5_repeats3,connect-4,2,52,52,13,3566.204448223114,3417.467366695404,3,17,2,10.0,0.2
28,autosklearnHyperBandFolds_eta2_cv5_repeats3,connect-4,3,46,46,12,3560.7630050182343,3469.3202652931213,2,11,1,11.0,0.2
29,autosklearnHyperBandFolds_eta2_cv5_repeats3,connect-4,4,46,46,12,3557.754951477051,3464.0087678432465,2,11,1,11.0,0.2
30,autosklearnHyperBandFolds_eta2_cv5_repeats3,segment,0,202,202,34,3568.552696943283,3317.298368692398,5,43,6,8.080000000000002,0.2
31,autosklearnHyperBandFolds_eta2_cv5_repeats3,segment,1,262,262,39,3565.3865230083466,3187.299713611603,3,48,7,7.464000000000002,0.2
32,autosklearnHyperBandFolds_eta2_cv5_repeats3,segment,2,194,194,33,3568.3045077323914,3303.4485261440277,4,43,6,8.080000000000002,0.2
33,autosklearnHyperBandFolds_eta2_cv5_repeats3,segment,3,167,167,29,3573.161277294159,3337.1222245693207,3,37,5,8.600000000000001,0.2
34,autosklearnHyperBandFolds_eta2_cv5_repeats3,segment,4,270,270,40,3570.8388080596924,3239.2882630825043,3,48,7,7.464000000000002,0.2
35,autosklearnHyperBandFolds_eta2_cv5_repeats3,Australian,0,715,715,105,3569.9815158843994,2486.292047023773,5,130,20,5.977282596778805,0.2
36,autosklearnHyperBandFolds_eta2_cv5_repeats3,Australian,1,698,698,100,3565.5062534809113,2516.4690153598785,8,126,19,6.471603245973506,0.2
37,autosklearnHyperBandFolds_eta2_cv5_repeats3,Australian,2,833,833,119,3568.0496163368225,2241.52041721344,5,152,23,6.428368689550749,0.2
