,tool,max_number_models,max_number_folds,max_num_repetitions,stacking_levels,cv_type,allowed_folds_to_use,task,model,fold,train,val,test,overfit,seed
0,autosklearn,10,5,5,2,cv,1.0,1468,best_individual_model,0,0.9890229195319477,0.9207066856249184,0.943798342892746,0.0,43
1,autosklearn,10,5,5,2,cv,1.0,1468,best_ensemble_model,0,0.9429364267694491,inf,0.9310765112851218,0.00015400015400024447,43
2,autosklearn,10,5,5,2,cv,1.0,1468,best_individual_model,1,0.9890229195319477,0.9207066856249184,0.943798342892746,0.0,43
3,autosklearn,10,5,5,2,cv,1.0,1468,best_ensemble_model,1,0.9429364267694491,inf,0.9310765112851218,0.00015400015400024447,43
4,autosklearn,10,5,5,2,cv,1.0,1468,best_individual_model,2,0.9890229195319477,0.9207066856249184,0.943798342892746,0.0,43
5,autosklearn,10,5,5,2,cv,1.0,1468,best_ensemble_model,2,0.9429493372834488,inf,0.9340795142881251,0.0,43
6,autosklearn,10,5,5,2,cv,1.0,1468,best_individual_model,3,0.9890229195319477,0.9207066856249184,0.943798342892746,0.0,43
7,autosklearn,10,5,5,2,cv,1.0,1468,best_ensemble_model,3,0.9431892169894216,inf,0.9340795142881251,0.0,43
8,autosklearn,10,5,5,2,cv,1.0,1468,best_individual_model,4,0.9890229195319477,0.9207066856249184,0.943798342892746,0.0,43
9,autosklearn,10,5,5,2,cv,1.0,1468,best_ensemble_model,4,0.9429493372834488,inf,0.9340795142881251,0.0,43
