,id,task,framework,constraint,fold,result,metric,mode,version,params,tag,utc,duration,models,seed,info,acc
26,openml.org/t/XX,APSFailure,AutoPyTorch_refactor,3600s8c32G,6,0.9942105263,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9942105263
27,openml.org/t/XX,APSFailure,AutoPyTorch_refactor,3600s8c32G,7,0.9939473684000001,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9939473684000001
28,openml.org/t/XX,APSFailure,AutoPyTorch_refactor,3600s8c32G,8,0.9922368421,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9922368421
29,openml.org/t/XX,APSFailure,AutoPyTorch_refactor,3600s8c32G,9,0.9939473684000001,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9939473684000001
30,openml.org/t/XX,bank-marketing,AutoPyTorch_refactor,3600s8c32G,0,0.902034498,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.902034498
31,openml.org/t/XX,bank-marketing,AutoPyTorch_refactor,3600s8c32G,1,0.9026763990000001,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9026763990000001
32,openml.org/t/XX,bank-marketing,AutoPyTorch_refactor,3600s8c32G,2,0.9079849591,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9079849591
33,openml.org/t/XX,bank-marketing,AutoPyTorch_refactor,3600s8c32G,3,0.9062154390999999,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9062154390999999
34,openml.org/t/XX,bank-marketing,AutoPyTorch_refactor,3600s8c32G,4,0.9064366291,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9064366291
35,openml.org/t/14965,bank-marketing,AutoPyTorch_refactor,3600s8c32G,5,0.901349,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-06T22:28:23,3668.2,0,2561922943,,0.901349
36,openml.org/t/XX,bank-marketing,AutoPyTorch_refactor,3600s8c32G,6,0.9024552090000001,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9024552090000001
37,openml.org/t/14965,bank-marketing,AutoPyTorch_refactor,3600s8c32G,7,0.9044459999999999,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-06T22:29:24,3706.9,0,1867297438,,0.9044459999999999
38,openml.org/t/XX,bank-marketing,AutoPyTorch_refactor,3600s8c32G,8,0.9159477992,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9159477992
39,openml.org/t/XX,bank-marketing,AutoPyTorch_refactor,3600s8c32G,9,0.9059942490999999,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9059942490999999
40,openml.org/t/XX,connect-4,AutoPyTorch_refactor,3600s8c32G,0,0.7498519834,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.7498519834
41,openml.org/t/XX,connect-4,AutoPyTorch_refactor,3600s8c32G,1,0.7902605092,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.7902605092
42,openml.org/t/XX,connect-4,AutoPyTorch_refactor,3600s8c32G,2,0.8171995262999999,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.8171995262999999
43,openml.org/t/XX,connect-4,AutoPyTorch_refactor,3600s8c32G,3,0.7898164594,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.7898164594
