,id,task,framework,constraint,fold,result,metric,mode,version,params,tag,utc,duration,models,seed,info,acc,predict_duration
28,openml.org/t/146821,car,autoPyTorch,3600s8c32G,8,0.994186,acc,singularity,reproduce,,stable,2021-03-03T09:32:26,4204.1,1.0,3262296618,,0.994186,0.43295100000000003
29,openml.org/t/146821,car,autoPyTorch,3600s8c32G,9,,acc,singularity,reproduce,,stable,2021-03-03T10:24:49,7221.7,,3240186329,TimeoutError: Interrupting thread current after 7200s timeout.,,
30,openml.org/t/168908,christine,autoPyTorch,3600s8c32G,0,0.749077,acc,singularity,reproduce,,stable,2021-03-03T09:54:09,5359.0,1.0,35700189,,0.749077,0.236921
31,openml.org/t/168908,christine,autoPyTorch,3600s8c32G,1,0.754613,acc,singularity,reproduce,,stable,2021-03-03T09:45:20,4819.3,1.0,1408903070,,0.754613,0.454635
32,openml.org/t/168908,christine,autoPyTorch,3600s8c32G,2,0.719557,acc,singularity,reproduce,,stable,2021-03-03T10:18:40,6731.0,1.0,891319923,,0.719557,0.302749
33,openml.org/t/168908,christine,autoPyTorch,3600s8c32G,3,0.7269369999999999,acc,singularity,reproduce,,stable,2021-03-03T09:35:11,4085.4,1.0,1133555642,,0.7269369999999999,0.194409
34,openml.org/t/168908,christine,autoPyTorch,3600s8c32G,4,0.704797,acc,singularity,reproduce,,stable,2021-03-03T09:53:48,5153.5,1.0,1474523864,,0.704797,0.290001
35,openml.org/t/168908,christine,autoPyTorch,3600s8c32G,5,0.7398520000000001,acc,singularity,reproduce,,stable,2021-03-03T09:54:40,4765.4,1.0,1396287130,,0.7398520000000001,0.20105599999999998
36,openml.org/t/168908,christine,autoPyTorch,3600s8c32G,6,0.7730630000000001,acc,singularity,reproduce,,stable,2021-03-03T10:17:17,6106.2,1.0,943631621,,0.7730630000000001,0.258728
37,openml.org/t/168908,christine,autoPyTorch,3600s8c32G,7,0.736162,acc,singularity,reproduce,,stable,2021-03-03T09:56:39,4789.7,1.0,2475630609,,0.736162,0.28733200000000003
38,openml.org/t/168908,christine,autoPyTorch,3600s8c32G,8,0.750462,acc,singularity,reproduce,,stable,2021-03-03T10:11:54,5667.7,1.0,2471103518,,0.750462,0.328179
39,openml.org/t/168908,christine,autoPyTorch,3600s8c32G,9,0.754159,acc,singularity,reproduce,,stable,2021-03-03T09:42:31,3817.8,1.0,1711200041,,0.754159,0.204153
