,tool,benchmark,task,fold,test_balanced_accuracy
0,AutoPyTorch_refactor,small,blood-transfusion,0,0.5950292397660819
1,AutoPyTorch_refactor,small,phoneme,6,0.9160978196036849
2,AutoPyTorch_refactor,medium,APSFailure,7,0.8904332676867142
3,AutoPyTorch_refactor,small,dilbert,9,0.9832730678740427
4,AutoPyTorch_refactor,small,jasmine,2,0.8298434004474273
5,AutoPyTorch_refactor,small,kr-vs-kp,6,0.9901960784313726
6,AutoPyTorch_refactor,small,blood-transfusion,8,0.6713106295149639
7,AutoPyTorch_refactor,medium,Fashion-MNIST,6,0.1
8,AutoPyTorch_refactor,medium,jungle_chess_2pcs_raw_endgame_complete,1,0.8653880684636338
9,AutoPyTorch_refactor,medium,connect-4,5,0.3333333333333333
10,AutoPyTorch_refactor,medium,Fashion-MNIST,7,0.1
11,AutoPyTorch_refactor,small,Australian,2,0.817062818336163
12,AutoPyTorch_refactor,small,segment,7,0.9523809523809524
13,AutoPyTorch_refactor,medium,Volkert,7,0.5199042350620364
14,AutoPyTorch_refactor,medium,Fashion-MNIST,4,0.1
15,AutoPyTorch_refactor,small,mfeat-factors,0,0.985
16,AutoPyTorch_refactor,small,car,2,1.0
17,AutoPyTorch_refactor,small,dilbert,6,0.9811616061407792
18,AutoPyTorch_refactor,small,jasmine,8,0.8389261744966443
19,AutoPyTorch_refactor,small,christine,4,0.6918819188191883
20,AutoPyTorch_refactor,small,mfeat-factors,7,0.9799999999999999
21,AutoPyTorch_refactor,small,fabert,2,0.6859882977683915
22,AutoPyTorch_refactor,medium,numerai28.6,6,0.5195454289089435
23,AutoPyTorch_refactor,small,Australian,6,0.8404074702886248
24,AutoPyTorch_refactor,small,cnae-9,6,0.9537037037037037
25,AutoPyTorch_refactor,medium,Shuttle,6,0.9998396665063333
26,AutoPyTorch_refactor,medium,Shuttle,8,0.9630252100840336
27,AutoPyTorch_refactor,small,credit-g,1,0.6166666666666667
28,AutoPyTorch_refactor,medium,connect-4,9,0.3333333333333333
29,AutoPyTorch_refactor,small,vehicle,7,0.8479437229437229
30,AutoPyTorch_refactor,medium,Jannis,5,0.5144560692530008
31,AutoPyTorch_refactor,medium,Amazon_employee_access,3,0.6935996453719333
32,AutoPyTorch_refactor,medium,MiniBooNE,1,0.5
33,AutoPyTorch_refactor,medium,Shuttle,1,0.9914361250118026
34,AutoPyTorch_refactor,small,kr-vs-kp,4,1.0
35,AutoPyTorch_refactor,small,mfeat-factors,3,0.975
36,AutoPyTorch_refactor,small,Australian,4,0.8828522920203735
37,AutoPyTorch_refactor,medium,Volkert,0,0.44218656737955964
38,AutoPyTorch_refactor,medium,Jannis,6,0.5110734756658708
39,AutoPyTorch_refactor,small,mfeat-factors,9,0.99
40,AutoPyTorch_refactor,medium,Jannis,7,0.5156642027795849
41,AutoPyTorch_refactor,medium,nomao,0,0.967500717942624
42,AutoPyTorch_refactor,small,phoneme,5,0.888279541387766
43,AutoPyTorch_refactor,small,segment,5,0.974025974025974
44,AutoPyTorch_refactor,medium,APSFailure,9,0.8688281495810658
45,AutoPyTorch_refactor,small,kc1,0,0.7409217877094971
46,AutoPyTorch_refactor,medium,bank-marketing,6,0.6994236582806445
47,AutoPyTorch_refactor,small,car,6,0.993421052631579
48,AutoPyTorch_refactor,small,christine,5,0.7398523985239852
49,AutoPyTorch_refactor,small,cnae-9,3,0.9351851851851851
50,AutoPyTorch_refactor,small,mfeat-factors,5,0.97
51,AutoPyTorch_refactor,small,cnae-9,1,0.9166666666666666
52,AutoPyTorch_refactor,small,credit-g,9,0.7452380952380953
53,AutoPyTorch_refactor,medium,connect-4,7,0.342880292749938
54,AutoPyTorch_refactor,small,vehicle,3,0.8003246753246753
55,AutoPyTorch_refactor,small,kc1,5,0.7282090568607422
56,AutoPyTorch_refactor,medium,bank-marketing,4,0.7338954847312773
57,AutoPyTorch_refactor,medium,Helena,3,0.05577896124994929
58,AutoPyTorch_refactor,medium,APSFailure,4,0.8570612589015787
59,AutoPyTorch_refactor,small,cnae-9,9,0.9537037037037036
60,AutoPyTorch_refactor,small,Australian,1,0.847623089983022
61,AutoPyTorch_refactor,medium,Helena,7,0.04757487831439198
62,AutoPyTorch_refactor,medium,connect-4,2,0.34072819916045516
63,AutoPyTorch_refactor,small,segment,0,0.9826839826839827
64,AutoPyTorch_refactor,small,cnae-9,8,0.9629629629629629
65,AutoPyTorch_refactor,medium,jungle_chess_2pcs_raw_endgame_complete,4,0.8781008756292509
66,AutoPyTorch_refactor,medium,Volkert,3,0.4604011088459242
67,AutoPyTorch_refactor,small,kc1,9,0.6383426966292135
68,AutoPyTorch_refactor,medium,guillermo,3,0.5
69,AutoPyTorch_refactor,small,jasmine,9,0.802013422818792
70,AutoPyTorch_refactor,medium,MiniBooNE,5,0.5
71,AutoPyTorch_refactor,small,kc1,3,0.722080354102826
72,AutoPyTorch_refactor,small,christine,2,0.7343173431734318
73,AutoPyTorch_refactor,medium,Shuttle,2,0.8487394957983193
74,AutoPyTorch_refactor,medium,nomao,6,0.9601718478598271
75,AutoPyTorch_refactor,small,christine,1,0.7601476014760147
76,AutoPyTorch_refactor,medium,Volkert,6,0.507307722107462
77,AutoPyTorch_refactor,medium,APSFailure,0,0.8573292476460515
78,AutoPyTorch_refactor,small,vehicle,5,0.8609307359307359
79,AutoPyTorch_refactor,small,car,4,1.0
80,AutoPyTorch_refactor,medium,MiniBooNE,2,0.5
81,AutoPyTorch_refactor,medium,connect-4,8,0.3333333333333333
82,AutoPyTorch_refactor,small,blood-transfusion,4,0.6812865497076024
83,AutoPyTorch_refactor,medium,connect-4,0,0.3372708177414773
84,AutoPyTorch_refactor,medium,Volkert,8,0.43951594485141465
85,AutoPyTorch_refactor,medium,guillermo,0,0.5
86,AutoPyTorch_refactor,small,kr-vs-kp,7,0.9967105263157895
87,AutoPyTorch_refactor,small,car,9,1.0
88,AutoPyTorch_refactor,medium,numerai28.6,7,0.5145112256480389
89,AutoPyTorch_refactor,medium,jungle_chess_2pcs_raw_endgame_complete,3,0.8820898606016744
90,AutoPyTorch_refactor,small,phoneme,1,0.9007293621785373
91,AutoPyTorch_refactor,small,vehicle,6,0.8277511961722487
92,AutoPyTorch_refactor,medium,numerai28.6,8,0.5123569747279978
93,AutoPyTorch_refactor,small,car,1,1.0
94,AutoPyTorch_refactor,medium,Jannis,0,0.5087371260137658
95,AutoPyTorch_refactor,medium,Jannis,4,0.5136652386182727
96,AutoPyTorch_refactor,small,blood-transfusion,9,0.6594427244582044
97,AutoPyTorch_refactor,medium,riccardo,2,0.5
98,AutoPyTorch_refactor,small,segment,2,0.9826839826839827
99,AutoPyTorch_refactor,small,christine,7,0.7177121771217712
100,AutoPyTorch_refactor,medium,guillermo,8,0.5
101,AutoPyTorch_refactor,medium,jungle_chess_2pcs_raw_endgame_complete,5,0.8795150535938107
102,AutoPyTorch_refactor,small,kc1,1,0.6693435754189945
103,AutoPyTorch_refactor,medium,connect-4,3,0.3333333333333333
104,AutoPyTorch_refactor,small,Australian,5,0.8565365025466893
105,AutoPyTorch_refactor,small,kc1,4,0.6872659176029963
106,AutoPyTorch_refactor,small,car,0,0.9935897435897436
107,AutoPyTorch_refactor,medium,guillermo,9,0.5
108,AutoPyTorch_refactor,small,christine,3,0.6955719557195572
109,AutoPyTorch_refactor,small,dilbert,5,0.9721632662097359
110,AutoPyTorch_refactor,medium,Amazon_employee_access,1,0.6575993091537133
111,AutoPyTorch_refactor,small,christine,8,0.7263769304359711
112,AutoPyTorch_refactor,small,vehicle,0,0.8712121212121212
113,AutoPyTorch_refactor,medium,bank-marketing,1,0.7208865514650639
114,AutoPyTorch_refactor,medium,Jannis,1,0.5191006295902757
115,AutoPyTorch_refactor,small,jasmine,5,0.8087248322147651
116,AutoPyTorch_refactor,small,credit-g,0,0.7666666666666666
117,AutoPyTorch_refactor,medium,Robert,4,0.1
118,AutoPyTorch_refactor,medium,riccardo,7,0.5
119,AutoPyTorch_refactor,small,segment,3,0.9653679653679654
120,AutoPyTorch_refactor,small,Australian,7,0.882051282051282
121,AutoPyTorch_refactor,medium,Robert,9,0.1
122,AutoPyTorch_refactor,medium,bank-marketing,2,0.7209691121373181
123,AutoPyTorch_refactor,medium,Robert,6,0.1
124,AutoPyTorch_refactor,medium,bank-marketing,9,0.7148538570524792
125,AutoPyTorch_refactor,small,jasmine,4,0.7818791946308725
126,AutoPyTorch_refactor,medium,riccardo,6,0.5
127,AutoPyTorch_refactor,small,jasmine,0,0.8089485458612975
128,AutoPyTorch_refactor,medium,Robert,2,0.1
129,AutoPyTorch_refactor,small,kc1,8,0.8157984337759618
130,AutoPyTorch_refactor,small,sylvine,7,0.943359375
131,AutoPyTorch_refactor,small,dilbert,4,0.980058050436065
132,AutoPyTorch_refactor,medium,Fashion-MNIST,0,0.1
133,AutoPyTorch_refactor,medium,Jannis,2,0.5215140085480258
134,AutoPyTorch_refactor,medium,Robert,3,0.1
135,AutoPyTorch_refactor,medium,jungle_chess_2pcs_raw_endgame_complete,8,0.8594499188306749
136,AutoPyTorch_refactor,small,credit-g,6,0.680952380952381
137,AutoPyTorch_refactor,medium,numerai28.6,4,0.5225096798997005
138,AutoPyTorch_refactor,small,kr-vs-kp,3,0.9940119760479043
139,AutoPyTorch_refactor,medium,Fashion-MNIST,1,0.1
140,AutoPyTorch_refactor,small,Australian,9,0.8564102564102565
141,AutoPyTorch_refactor,small,kr-vs-kp,1,0.9787679542875034
142,AutoPyTorch_refactor,small,mfeat-factors,2,0.9799999999999999
143,AutoPyTorch_refactor,medium,MiniBooNE,3,0.5
144,AutoPyTorch_refactor,medium,Amazon_employee_access,4,0.7000298364960019
145,AutoPyTorch_refactor,medium,Helena,9,0.06636733038612663
146,AutoPyTorch_refactor,medium,bank-marketing,7,0.7192724295471851
147,AutoPyTorch_refactor,small,vehicle,8,0.8338744588744589
148,AutoPyTorch_refactor,small,vehicle,4,0.8387445887445888
149,AutoPyTorch_refactor,small,cnae-9,4,0.9722222222222222
150,AutoPyTorch_refactor,small,segment,1,0.9567099567099567
151,AutoPyTorch_refactor,medium,Volkert,1,0.47165927665750057
152,AutoPyTorch_refactor,small,blood-transfusion,6,0.7017543859649122
153,AutoPyTorch_refactor,medium,numerai28.6,2,0.5087504585760315
154,AutoPyTorch_refactor,medium,riccardo,0,0.5
155,AutoPyTorch_refactor,small,credit-g,3,0.7071428571428571
156,AutoPyTorch_refactor,medium,connect-4,1,0.3372834354284462
157,AutoPyTorch_refactor,small,sylvine,6,0.939453125
158,AutoPyTorch_refactor,medium,guillermo,4,0.5
159,AutoPyTorch_refactor,small,jasmine,6,0.8087248322147651
160,AutoPyTorch_refactor,small,sylvine,1,0.9531705982490273
161,AutoPyTorch_refactor,small,car,7,0.9979338842975207
162,AutoPyTorch_refactor,medium,guillermo,2,0.5
163,AutoPyTorch_refactor,small,dilbert,0,0.9641249937368155
164,AutoPyTorch_refactor,medium,riccardo,4,0.5
165,AutoPyTorch_refactor,medium,guillermo,7,0.5
166,AutoPyTorch_refactor,small,dilbert,1,0.9820846666276214
167,AutoPyTorch_refactor,medium,APSFailure,1,0.8055643852739207
168,AutoPyTorch_refactor,small,segment,4,0.9956709956709957
169,AutoPyTorch_refactor,medium,jungle_chess_2pcs_raw_endgame_complete,2,0.8344318890535852
170,AutoPyTorch_refactor,medium,Helena,6,0.04282567639281882
171,AutoPyTorch_refactor,medium,Jannis,3,0.5088900149056224
172,AutoPyTorch_refactor,small,credit-g,5,0.6928571428571428
173,AutoPyTorch_refactor,medium,Shuttle,5,0.9914361250118026
174,AutoPyTorch_refactor,small,jasmine,7,0.7684563758389262
175,AutoPyTorch_refactor,small,credit-g,2,0.6976190476190476
176,AutoPyTorch_refactor,medium,jungle_chess_2pcs_raw_endgame_complete,9,0.8584951478099822
177,AutoPyTorch_refactor,small,fabert,7,0.6710377081440665
178,AutoPyTorch_refactor,small,phoneme,3,0.8517237972932925
179,AutoPyTorch_refactor,medium,jungle_chess_2pcs_raw_endgame_complete,7,0.8711828783202614
180,AutoPyTorch_refactor,small,car,5,1.0
181,AutoPyTorch_refactor,small,kc1,2,0.7425803072625698
182,AutoPyTorch_refactor,small,blood-transfusion,3,0.6637426900584795
183,AutoPyTorch_refactor,small,sylvine,2,0.9513238691634242
184,AutoPyTorch_refactor,small,segment,8,0.9826839826839827
185,AutoPyTorch_refactor,small,kr-vs-kp,2,0.9904700403115339
186,AutoPyTorch_refactor,medium,Volkert,2,0.5097306832857179
187,AutoPyTorch_refactor,medium,Volkert,5,0.5219351476930768
188,AutoPyTorch_refactor,small,cnae-9,2,0.9537037037037037
189,AutoPyTorch_refactor,small,christine,0,0.7306273062730627
190,AutoPyTorch_refactor,medium,Helena,4,0.05432967636881759
191,AutoPyTorch_refactor,medium,Amazon_employee_access,8,0.5573670570985286
192,AutoPyTorch_refactor,small,Australian,3,0.8726655348047538
193,AutoPyTorch_refactor,medium,Jannis,8,0.5177055178595518
194,AutoPyTorch_refactor,medium,Volkert,4,0.5038859580851635
195,AutoPyTorch_refactor,medium,APSFailure,5,0.8468880006525817
196,AutoPyTorch_refactor,medium,bank-marketing,3,0.7197734315511931
197,AutoPyTorch_refactor,small,vehicle,2,0.8365800865800865
198,AutoPyTorch_refactor,small,kr-vs-kp,9,1.0
199,AutoPyTorch_refactor,small,kr-vs-kp,5,1.0
200,AutoPyTorch_refactor,medium,numerai28.6,9,0.5139715418106643
201,AutoPyTorch_refactor,medium,Robert,5,0.1
