,tool,benchmark,task,fold,test_balanced_accuracy
202,AutoPyTorch_refactor,small,jasmine,3,0.8164876957494407
203,AutoPyTorch_refactor,small,phoneme,0,0.8711185748625243
204,AutoPyTorch_refactor,small,segment,9,0.9783549783549784
205,AutoPyTorch_refactor,medium,Shuttle,3,0.8571428571428571
206,AutoPyTorch_refactor,medium,Amazon_employee_access,7,0.7355395290948459
207,AutoPyTorch_refactor,small,car,3,0.9583333333333334
208,AutoPyTorch_refactor,medium,riccardo,5,0.5
209,AutoPyTorch_refactor,small,kr-vs-kp,8,0.9967105263157895
210,AutoPyTorch_refactor,small,christine,6,0.7583025830258303
211,AutoPyTorch_refactor,medium,Robert,1,0.1
212,AutoPyTorch_refactor,medium,connect-4,4,0.3333333333333333
213,AutoPyTorch_refactor,medium,Helena,0,0.04991059160603299
214,AutoPyTorch_refactor,medium,numerai28.6,5,0.5138616301694476
215,AutoPyTorch_refactor,small,phoneme,2,0.8483074846060128
216,AutoPyTorch_refactor,small,mfeat-factors,8,0.985
217,AutoPyTorch_refactor,small,sylvine,0,0.9336469479571985
218,AutoPyTorch_refactor,small,mfeat-factors,4,0.97
219,AutoPyTorch_refactor,small,blood-transfusion,2,0.6388888888888888
220,AutoPyTorch_refactor,small,vehicle,1,0.744534632034632
221,AutoPyTorch_refactor,medium,Helena,2,0.04670902249507627
222,AutoPyTorch_refactor,small,fabert,8,0.6522353687200064
223,AutoPyTorch_refactor,medium,bank-marketing,5,0.7115857423732153
224,AutoPyTorch_refactor,small,credit-g,4,0.6738095238095239
225,AutoPyTorch_refactor,small,phoneme,8,0.8563363541821423
226,AutoPyTorch_refactor,small,phoneme,9,0.8759966324964097
227,AutoPyTorch_refactor,small,sylvine,4,0.947265625
228,AutoPyTorch_refactor,medium,guillermo,1,0.5
229,AutoPyTorch_refactor,medium,APSFailure,6,0.8762085387217943
230,AutoPyTorch_refactor,medium,Jannis,9,0.5062240251766541
231,AutoPyTorch_refactor,medium,Amazon_employee_access,2,0.6882930114401651
232,AutoPyTorch_refactor,medium,Shuttle,4,0.8403361344537815
233,AutoPyTorch_refactor,medium,Helena,8,0.05014642068721507
234,AutoPyTorch_refactor,small,kr-vs-kp,0,0.9901960784313726
235,AutoPyTorch_refactor,small,credit-g,7,0.7952380952380953
236,AutoPyTorch_refactor,medium,connect-4,6,0.3333333333333333
237,AutoPyTorch_refactor,medium,numerai28.6,3,0.5134398350833819
238,AutoPyTorch_refactor,medium,Amazon_employee_access,6,0.7137171159190493
239,AutoPyTorch_refactor,small,phoneme,7,0.87398104579495
240,AutoPyTorch_refactor,medium,bank-marketing,0,0.7206221473590124
241,AutoPyTorch_refactor,medium,APSFailure,3,0.8718607906059186
242,AutoPyTorch_refactor,small,blood-transfusion,1,0.6739766081871346
243,AutoPyTorch_refactor,small,cnae-9,7,0.9444444444444444
244,AutoPyTorch_refactor,small,car,8,1.0
245,AutoPyTorch_refactor,medium,APSFailure,2,0.8311788277155133
246,AutoPyTorch_refactor,small,cnae-9,5,0.9537037037037037
247,AutoPyTorch_refactor,small,blood-transfusion,7,0.685672514619883
248,AutoPyTorch_refactor,small,credit-g,8,0.7261904761904762
249,AutoPyTorch_refactor,medium,MiniBooNE,0,0.5
250,AutoPyTorch_refactor,medium,Helena,1,0.04485202125999578
251,AutoPyTorch_refactor,small,sylvine,8,0.95703125
252,AutoPyTorch_refactor,medium,Robert,0,0.1
253,AutoPyTorch_refactor,medium,Fashion-MNIST,2,0.1
254,AutoPyTorch_refactor,medium,nomao,8,0.9648502770567917
255,AutoPyTorch_refactor,small,christine,9,0.7116851168511684
256,AutoPyTorch_refactor,small,sylvine,5,0.935546875
257,AutoPyTorch_refactor,medium,Amazon_employee_access,9,0.6676924738149228
258,AutoPyTorch_refactor,small,segment,6,0.9913419913419913
259,AutoPyTorch_refactor,medium,nomao,7,0.9709453613626307
260,AutoPyTorch_refactor,small,fabert,3,0.6616187280783373
261,AutoPyTorch_refactor,medium,numerai28.6,1,0.5166806265497357
262,AutoPyTorch_refactor,medium,MiniBooNE,8,0.5
263,AutoPyTorch_refactor,small,dilbert,7,0.9723123614190687
264,AutoPyTorch_refactor,small,kc1,6,0.7506809669731018
265,AutoPyTorch_refactor,small,Australian,0,0.8726655348047538
266,AutoPyTorch_refactor,medium,Fashion-MNIST,9,0.1
267,AutoPyTorch_refactor,medium,bank-marketing,8,0.818908374404764
268,AutoPyTorch_refactor,medium,guillermo,6,0.5
269,AutoPyTorch_refactor,small,phoneme,4,0.8640565975213732
270,AutoPyTorch_refactor,small,jasmine,1,0.7989261744966443
271,AutoPyTorch_refactor,medium,Fashion-MNIST,8,0.1
272,AutoPyTorch_refactor,medium,Robert,8,0.1
273,AutoPyTorch_refactor,medium,jungle_chess_2pcs_raw_endgame_complete,0,0.8672755835383356
274,AutoPyTorch_refactor,medium,Helena,5,0.04339558447619164
275,AutoPyTorch_refactor,medium,guillermo,5,0.5
276,AutoPyTorch_refactor,small,cnae-9,0,0.9629629629629629
277,AutoPyTorch_refactor,small,sylvine,9,0.947265625
278,AutoPyTorch_refactor,medium,riccardo,1,0.5
279,AutoPyTorch_refactor,small,vehicle,9,0.7720238095238096
280,AutoPyTorch_refactor,small,Australian,8,0.8410256410256409
281,AutoPyTorch_refactor,small,mfeat-factors,6,0.9800000000000001
282,AutoPyTorch_refactor,medium,Amazon_employee_access,0,0.6466437755297858
283,AutoPyTorch_refactor,medium,Amazon_employee_access,5,0.6753422672327076
284,AutoPyTorch_refactor,small,dilbert,8,0.9761861603843311
285,AutoPyTorch_refactor,small,sylvine,3,0.9395975194552529
286,AutoPyTorch_refactor,medium,jungle_chess_2pcs_raw_endgame_complete,6,0.8638971526747068
287,AutoPyTorch_refactor,medium,nomao,3,0.9716727764559374
288,AutoPyTorch_refactor,small,blood-transfusion,5,0.652046783625731
289,AutoPyTorch_refactor,medium,MiniBooNE,4,0.5
290,AutoPyTorch_refactor,medium,riccardo,9,0.5
291,AutoPyTorch_refactor,small,mfeat-factors,1,0.985
292,AutoPyTorch_refactor,medium,APSFailure,8,0.8612467419466359
