,id,task,framework,constraint,fold,result,metric,mode,version,params,tag,utc,duration,models,seed,info,acc,predict_duration
0,openml.org/t/146818,Australian,autoPyTorch,3600s8c32G,0,0.884058,acc,singularity,reproduce,,stable,2021-03-09T04:02:06,3158.7,1,3298982979,,0.884058,0.550308
0,openml.org/t/7592,adult,autoPyTorch,3600s8c32G,0,0.8722620000000001,acc,singularity,reproduce,,stable,2021-03-09T00:39:48,4846.7,1.0,1971932693,,0.8722620000000001,0.520007
1,openml.org/t/146818,Australian,autoPyTorch,3600s8c32G,1,0.8405799999999999,acc,singularity,reproduce,,stable,2021-03-09T04:02:14,3131.7,1,2551446700,,0.8405799999999999,0.6854859999999999
1,openml.org/t/7592,adult,autoPyTorch,3600s8c32G,1,0.8739,acc,singularity,reproduce,,stable,2021-03-09T00:40:06,4860.5,1.0,974144151,,0.8739,0.48335500000000003
10,openml.org/t/10101,blood-transfusion,autoPyTorch,3600s8c32G,0,0.746667,acc,singularity,reproduce,,stable,2021-03-09T04:09:24,3265.2,1,2589225643,,0.746667,0.58396
10,openml.org/t/34539,Amazon_employee_access,autoPyTorch,3600s8c32G,0,0.947818,acc,singularity,reproduce,,stable,2021-03-09T00:39:50,4792.3,1.0,2315058623,,0.947818,0.41721899999999995
100,openml.org/t/3,kr-vs-kp,autoPyTorch,3600s8c32G,5,0.996875,acc,singularity,reproduce,,stable,2021-03-09T05:33:08,3160.8,1,1929076681,,0.996875,0.275704
101,openml.org/t/3,kr-vs-kp,autoPyTorch,3600s8c32G,6,0.987461,acc,singularity,reproduce,,stable,2021-03-09T05:36:17,3317.7,1,3208807457,,0.987461,0.325918
102,openml.org/t/3,kr-vs-kp,autoPyTorch,3600s8c32G,7,0.987461,acc,singularity,reproduce,,stable,2021-03-09T05:49:42,4066.4,1,903513164,,0.987461,0.326516
103,openml.org/t/3,kr-vs-kp,autoPyTorch,3600s8c32G,8,0.996865,acc,singularity,reproduce,,stable,2021-03-09T05:42:15,3585.1,1,146403627,,0.996865,0.31564899999999996
104,openml.org/t/3,kr-vs-kp,autoPyTorch,3600s8c32G,9,1.0,acc,singularity,reproduce,,stable,2021-03-09T05:41:07,3432.1,1,76301215,,1.0,0.277807
105,openml.org/t/12,mfeat-factors,autoPyTorch,3600s8c32G,0,0.985,acc,singularity,reproduce,,stable,2021-03-09T05:43:14,3548.2,1,1559580962,,0.985,0.375302
106,openml.org/t/12,mfeat-factors,autoPyTorch,3600s8c32G,3,0.975,acc,singularity,reproduce,,stable,2021-03-09T05:40:44,3371.3,1,605293397,,0.975,0.23512
107,openml.org/t/12,mfeat-factors,autoPyTorch,3600s8c32G,4,0.975,acc,singularity,reproduce,,stable,2021-03-09T05:38:48,3245.0,1,3331460452,,0.975,0.28986100000000004
108,openml.org/t/12,mfeat-factors,autoPyTorch,3600s8c32G,5,0.975,acc,singularity,reproduce,,stable,2021-03-09T05:37:18,3161.9,1,3705138200,,0.975,0.276688
109,openml.org/t/12,mfeat-factors,autoPyTorch,3600s8c32G,6,0.995,acc,singularity,reproduce,,stable,2021-03-09T05:40:44,3352.3,1,1254586680,,0.995,0.24147
11,openml.org/t/10101,blood-transfusion,autoPyTorch,3600s8c32G,1,0.84,acc,singularity,reproduce,,stable,2021-03-09T04:07:37,3156.1,1,1588323394,,0.84,0.74952
