,id,task,framework,constraint,fold,result,metric,mode,version,params,tag,utc,duration,models,seed,info,balacc,models_ensemble_count,predict_duration
0,openml.org/t/146818,Australian,AutoGluon,3600s8c32G,0,0.872666,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:09:35,3453.9,0,3473653492,,0.872666,0,19.6132
0,openml.org/t/7592,adult,AutoGluon,3600s8c32G,0,0.813984,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T14:23:33,3620.2,0.0,1538658440,,0.813984,0.0,46.1523
1,openml.org/t/146818,Australian,AutoGluon,3600s8c32G,1,0.831494,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:06:49,3277.4,0,2378023996,,0.831494,0,27.257
1,openml.org/t/7592,adult,AutoGluon,3600s8c32G,1,0.815695,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T14:23:31,3620.2,0.0,4189422813,,0.815695,0.0,43.609
10,openml.org/t/10101,blood-transfusion,AutoGluon,3600s8c32G,0,0.595029,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:05:43,3218.1,0,2786205347,,0.595029,0,17.514
10,openml.org/t/34539,Amazon_employee_access,AutoGluon,3600s8c32G,0,0.723737,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T14:23:03,3612.2,0.0,3358410608,,0.723737,0.0,31.5056
100,openml.org/t/167119,jungle_chess_2pcs_raw_endgame_complete,AutoGluon,3600s8c32G,0,0.986789,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T15:11:00,3608.5,23.0,2439130137,,0.986789,16.0,46.3038
100,openml.org/t/3,kr-vs-kp,AutoGluon,3600s8c32G,0,0.993738,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:38:37,2782.9,0,3832103007,,0.993738,0,1.69693
101,openml.org/t/167119,jungle_chess_2pcs_raw_endgame_complete,AutoGluon,3600s8c32G,1,0.985735,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T15:11:46,3609.3,23.0,1372832769,,0.985735,19.0,60.2017
101,openml.org/t/3,kr-vs-kp,AutoGluon,3600s8c32G,1,0.98503,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:48:16,3334.9,0,2059416340,,0.98503,0,6.54182
102,openml.org/t/167119,jungle_chess_2pcs_raw_endgame_complete,AutoGluon,3600s8c32G,2,0.910001,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T15:10:01,3606.3,10.0,721761838,,0.910001,5.0,28.7639
102,openml.org/t/3,kr-vs-kp,AutoGluon,3600s8c32G,2,0.996732,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:40:24,2842.9,0,4174996134,,0.996732,0,19.4356
103,openml.org/t/167119,jungle_chess_2pcs_raw_endgame_complete,AutoGluon,3600s8c32G,3,0.991602,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T15:26:30,3608.3,23.0,3797431277,,0.991602,21.0,60.3221
103,openml.org/t/3,kr-vs-kp,AutoGluon,3600s8c32G,3,1.0,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:39:18,2750.1,0,3381303145,,1.0,0,29.933
104,openml.org/t/167119,jungle_chess_2pcs_raw_endgame_complete,AutoGluon,3600s8c32G,4,0.989058,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T15:26:12,3609.0,24.0,3438477337,,0.989058,16.0,49.6371
104,openml.org/t/3,kr-vs-kp,AutoGluon,3600s8c32G,4,1.0,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:38:32,2751.1,0,1855502606,,1.0,0,1.17648
105,openml.org/t/167119,jungle_chess_2pcs_raw_endgame_complete,AutoGluon,3600s8c32G,5,0.989494,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T15:26:20,3608.3,23.0,1410477033,,0.989494,19.0,54.8313
105,openml.org/t/3,kr-vs-kp,AutoGluon,3600s8c32G,5,1.0,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:40:38,2823.4,0,4238660382,,1.0,0,3.03105
106,openml.org/t/167119,jungle_chess_2pcs_raw_endgame_complete,AutoGluon,3600s8c32G,6,0.985027,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T15:26:41,3608.3,23.0,2086494866,,0.985027,22.0,60.2568
106,openml.org/t/3,kr-vs-kp,AutoGluon,3600s8c32G,6,0.986928,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:44:25,2910.0,0,2365451754,,0.986928,0,33.6858
107,openml.org/t/167119,jungle_chess_2pcs_raw_endgame_complete,AutoGluon,3600s8c32G,7,0.980109,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T15:26:19,3609.2,24.0,1312037355,,0.980109,19.0,52.7496
107,openml.org/t/3,kr-vs-kp,AutoGluon,3600s8c32G,7,0.990132,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:45:29,2968.7,0,388268454,,0.990132,0,26.4234
108,openml.org/t/167119,jungle_chess_2pcs_raw_endgame_complete,AutoGluon,3600s8c32G,8,0.988232,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T15:26:19,3608.4,23.0,1653012010,,0.988232,17.0,52.8917
108,openml.org/t/3,kr-vs-kp,AutoGluon,3600s8c32G,8,0.996711,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:47:18,3081.8,0,97225561,,0.996711,0,9.17594
109,openml.org/t/167119,jungle_chess_2pcs_raw_endgame_complete,AutoGluon,3600s8c32G,9,0.987077,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T15:26:33,3609.0,23.0,3218542498,,0.987077,19.0,53.7778
109,openml.org/t/3,kr-vs-kp,AutoGluon,3600s8c32G,9,1.0,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:42:59,2765.2,0,2953656364,,1.0,0,36.2228
11,openml.org/t/10101,blood-transfusion,AutoGluon,3600s8c32G,1,0.612573,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:07:39,3302.0,0,1266425220,,0.612573,0,18.9877
11,openml.org/t/34539,Amazon_employee_access,AutoGluon,3600s8c32G,1,0.72433,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T14:23:18,3612.8,0.0,125532286,,0.72433,0.0,36.9012
