,id,task,framework,constraint,fold,result,metric,mode,version,params,tag,utc,duration,models,seed,info,acc
149,openml.org/t/53,vehicle,AutoPyTorch_refactor,3600s8c32G,7,0.833333,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T18:20:34,3644.1,0,4257330970,,0.833333
15,openml.org/t/10101,blood-transfusion,AutoPyTorch_refactor,3600s8c32G,5,0.786667,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T17:15:59,3668.4,0,25334277,,0.786667
15,openml.org/t/34539,Amazon_employee_access,AutoPyTorch_refactor,3600s8c32G,5,0.948734,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T18:23:07,3663.0,0,319356785,,0.948734
150,openml.org/t/168332,Robert,AutoPyTorch_refactor,3600s8c32G,3,0.099,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T21:13:53,3730.9,0,4230215976,,0.099
150,openml.org/t/53,vehicle,AutoPyTorch_refactor,3600s8c32G,8,0.833333,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T18:21:07,3664.6,0,2625783748,,0.833333
151,openml.org/t/168332,Robert,AutoPyTorch_refactor,3600s8c32G,4,0.099,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T21:14:25,3634.6,0,3797390855,,0.099
151,openml.org/t/XX,vehicle,AutoPyTorch_refactor,3600s8c32G,9,0.8333333333,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.8333333333
152,openml.org/t/168332,Robert,AutoPyTorch_refactor,3600s8c32G,5,0.1,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T21:14:25,3632.9,0,3423115747,,0.1
153,openml.org/t/168332,Robert,AutoPyTorch_refactor,3600s8c32G,6,0.099,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T21:14:17,3624.9,0,2286710908,,0.099
154,openml.org/t/168332,Robert,AutoPyTorch_refactor,3600s8c32G,7,0.099,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T21:14:30,3643.9,0,2521547977,,0.099
155,openml.org/t/168332,Robert,AutoPyTorch_refactor,3600s8c32G,8,0.099,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T21:14:04,3618.4,0,3216716247,,0.099
156,openml.org/t/168332,Robert,AutoPyTorch_refactor,3600s8c32G,9,0.099,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T21:14:12,3621.8,0,3676320932,,0.099
157,openml.org/t/XX,Shuttle,AutoPyTorch_refactor,3600s8c32G,0,0.9998275862,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9998275862
158,openml.org/t/XX,Shuttle,AutoPyTorch_refactor,3600s8c32G,1,0.9994827586,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9994827586
159,openml.org/t/XX,Shuttle,AutoPyTorch_refactor,3600s8c32G,2,0.9996551723999999,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9996551723999999
16,openml.org/t/10101,blood-transfusion,AutoPyTorch_refactor,3600s8c32G,6,0.786667,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T17:16:00,3665.7,0,4260563045,,0.786667
16,openml.org/t/XX,Amazon_employee_access,AutoPyTorch_refactor,3600s8c32G,6,0.9514800122,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9514800122
160,openml.org/t/XX,Shuttle,AutoPyTorch_refactor,3600s8c32G,3,0.9998275862,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9998275862
